Time_s,Phase,Force_N,F_des_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Profile,K_des_N_per_m,Kth_11,Kth_12,Kth_13,Kth_21,Kth_22,Kth_23,Kth_31,Kth_32,Kth_33,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg,Run
0.0011,descent,1.0694,0.7300,34.5410,52.2949,-22.3503,-37.4501,0.021661,0.048513,0.084986,0.000014,hard,211.669400,0.323339,0.222273,0.222273,0.222273,0.230747,0.180747,0.222273,0.180747,0.230747,29.9840,29.9870,29.9870,4
0.0021,descent,1.0694,0.7270,34.4531,52.2949,-22.3136,-36.7279,0.021652,0.048433,0.085009,-0.000009,hard,211.912790,0.323646,0.222724,0.222724,0.222724,0.231278,0.181278,0.222724,0.181278,0.231278,29.9679,29.9739,29.9739,4
0.0033,descent,1.0694,0.7270,34.4531,52.2949,-22.1136,-35.2319,0.021583,0.048273,0.085009,-0.000009,hard,211.912790,0.323646,0.222724,0.222724,0.222724,0.231278,0.181278,0.222724,0.181278,0.231278,29.9518,29.9608,29.9608,4
0.0044,descent,1.0694,0.7285,34.3652,52.2949,-21.9632,-34.4567,0.021591,0.048232,0.084993,0.000007,hard,211.789893,0.323479,0.222791,0.222791,0.222791,0.231497,0.181497,0.222791,0.181497,0.231497,29.9358,29.9477,29.9477,4
0.0055,descent,1.0694,0.7285,34.3652,52.2949,-21.8279,-33.6216,0.021483,0.048007,0.084993,0.000007,hard,211.789893,0.323479,0.222791,0.222791,0.222791,0.231497,0.181497,0.222791,0.181497,0.231497,29.9198,29.9347,29.9347,4
0.0066,descent,1.0694,0.7277,34.3652,52.2949,-21.7061,-32.7326,0.021396,0.047779,0.084997,0.000003,hard,211.856293,0.323565,0.222861,0.222861,0.222861,0.231554,0.181554,0.222861,0.181554,0.231554,29.9037,29.9216,29.9216,4
0.0077,descent,1.0639,0.7277,34.3652,52.2949,-21.5965,-31.9326,0.021316,0.047571,0.084997,0.000003,hard,211.856293,0.323565,0.222861,0.222861,0.222861,0.231554,0.181554,0.222861,0.181554,0.231554,29.8879,29.9087,29.9087,4
0.0088,descent,1.0639,0.7291,34.3652,52.2949,-21.4979,-31.0751,0.021230,0.047347,0.084990,0.000010,hard,211.736484,0.323410,0.222735,0.222735,0.222735,0.231451,0.181451,0.222735,0.181451,0.231451,29.8721,29.8959,29.8959,4
0.0099,descent,1.0639,0.7291,34.2773,52.2949,-21.4091,-30.1660,0.021227,0.047275,0.084990,0.000010,hard,211.736484,0.323403,0.222930,0.222930,0.222930,0.231775,0.181775,0.222930,0.181775,0.231775,29.8564,29.8830,29.8830,4
0.0110,descent,1.0639,0.7281,34.2773,52.2949,-21.3292,-29.2104,0.021135,0.047078,0.084995,0.000005,hard,211.821989,0.323513,0.223020,0.223020,0.223020,0.231848,0.181848,0.223020,0.181848,0.231848,29.8406,29.8702,29.8702,4
0.0121,descent,1.0639,0.7270,34.1895,52.2949,-21.1925,-27.3153,0.021153,0.047017,0.085012,-0.000012,hard,211.912790,0.323623,0.223311,0.223311,0.223311,0.232250,0.182250,0.223311,0.182250,0.232250,29.8247,29.8572,29.8572,4
0.0132,descent,1.0639,0.7270,34.1895,52.2949,-21.1343,-26.3699,0.021070,0.046840,0.085012,-0.000012,hard,211.912790,0.323623,0.223311,0.223311,0.223311,0.232250,0.182250,0.223311,0.182250,0.232250,29.8089,29.8443,29.8443,4
0.0144,descent,1.0639,0.7270,34.1895,52.2949,-21.0818,-25.3818,0.020984,0.046610,0.085005,-0.000005,hard,211.912790,0.323623,0.223311,0.223311,0.223311,0.232250,0.182250,0.223311,0.182250,0.232250,29.7930,29.8314,29.8314,4
0.0155,descent,1.0639,0.7270,34.1016,52.2949,-21.0347,-24.3550,0.020994,0.046561,0.085005,-0.000005,hard,211.912790,0.323616,0.223507,0.223507,0.223507,0.232574,0.182574,0.223507,0.182574,0.232574,29.7772,29.8184,29.8184,4
0.0166,descent,1.0639,0.7287,34.1016,52.2949,-20.9922,-23.2935,0.020901,0.046357,0.084992,0.000008,hard,211.777626,0.323441,0.223364,0.223364,0.223364,0.232458,0.182458,0.223364,0.182458,0.232458,29.7614,29.8055,29.8055,4
0.0177,descent,1.0639,0.7287,34.1016,52.2949,-20.9540,-22.2007,0.020801,0.046090,0.084992,0.000008,hard,211.777626,0.323441,0.223364,0.223364,0.223364,0.232458,0.182458,0.223364,0.182458,0.232458,29.7457,29.7927,29.7927,4
0.0188,descent,1.0639,0.7270,34.0137,52.2949,-21.0570,-21.2173,0.020813,0.046044,0.085007,-0.000007,hard,211.912790,0.323609,0.223702,0.223702,0.223702,0.232898,0.182898,0.223702,0.182898,0.232898,29.7298,29.7797,29.7797,4
0.0199,descent,1.0639,0.7270,34.0137,52.2949,-21.1497,-20.1947,0.020735,0.045873,0.085007,-0.000007,hard,211.912790,0.323609,0.223702,0.223702,0.223702,0.232898,0.182898,0.223702,0.182898,0.232898,29.7140,29.7668,29.7668,4
0.0210,descent,1.0639,0.7270,33.9258,52.2949,-21.2331,-19.2745,0.020746,0.045828,0.085010,-0.000010,hard,211.912790,0.323602,0.223897,0.223897,0.223897,0.233222,0.183222,0.223897,0.183222,0.233222,29.6981,29.7538,29.7538,4
0.0221,descent,1.0639,0.7270,33.9258,52.2949,-21.6368,-17.4397,0.020657,0.045591,0.085000,-0.000000,hard,211.912790,0.323602,0.223897,0.223897,0.223897,0.233222,0.183222,0.223897,0.183222,0.233222,29.6823,29.7408,29.7408,4
0.0232,descent,1.0639,0.7270,33.8379,52.2949,-21.8090,-16.5202,0.020669,0.045547,0.085000,-0.000000,hard,211.912790,0.323595,0.224092,0.224092,0.224092,0.233546,0.183546,0.224092,0.183546,0.233546,29.6665,29.7278,29.7278,4
0.0244,descent,1.0639,0.7271,33.8379,52.2949,-21.9639,-15.5551,0.020578,0.045343,0.085000,0.000000,hard,211.909825,0.323591,0.224089,0.224089,0.224089,0.233544,0.183544,0.224089,0.183544,0.233544,29.6506,29.7149,29.7149,4
0.0255,descent,1.0639,0.7271,33.8379,52.2949,-22.1033,-14.6866,0.020494,0.045116,0.085000,0.000000,hard,211.909825,0.323591,0.224089,0.224089,0.224089,0.233544,0.183544,0.224089,0.183544,0.233544,29.6348,29.7019,29.7019,4
0.0266,descent,1.0639,0.7290,33.7500,52.2949,-22.3661,-13.7676,0.020506,0.045071,0.084991,0.000009,hard,211.749210,0.323376,0.224114,0.224114,0.224114,0.233728,0.183728,0.224114,0.183728,0.233728,29.6190,29.6890,29.6890,4
0.0277,descent,1.0639,0.7290,33.7500,52.2949,-22.6027,-12.9404,0.020399,0.044835,0.084991,0.000009,hard,211.749210,0.323376,0.224114,0.224114,0.224114,0.233728,0.183728,0.224114,0.183728,0.233728,29.6033,29.6761,29.6761,4
0.0288,descent,1.0639,0.7270,33.6621,52.2949,-22.9531,-12.1960,0.020413,0.044798,0.085007,-0.000007,hard,211.912790,0.323581,0.224481,0.224481,0.224481,0.234194,0.184194,0.224481,0.184194,0.234194,29.5875,29.6631,29.6631,4
0.0299,descent,1.0639,0.7270,33.6621,52.2949,-23.2684,-11.3886,0.020340,0.044639,0.085007,-0.000007,hard,211.912790,0.323581,0.224481,0.224481,0.224481,0.234194,0.184194,0.224481,0.184194,0.234194,29.5716,29.6501,29.6501,4
0.0310,descent,1.0639,0.7282,33.6621,52.2949,-23.5521,-10.6619,0.020258,0.044417,0.084994,0.000006,hard,211.811712,0.323450,0.224374,0.224374,0.224374,0.234106,0.184106,0.224374,0.184106,0.234106,29.5558,29.6372,29.6372,4
0.0326,descent,1.0639,0.7297,33.5742,52.2949,-23.8075,-9.8705,0.020260,0.044354,0.084987,0.000013,hard,211.688561,0.323285,0.224438,0.224438,0.224438,0.234322,0.184322,0.224438,0.184322,0.234322,29.5402,29.6243,29.6243,4
0.0333,descent,1.0639,0.7297,33.5742,52.2949,-24.1748,-9.1583,0.020158,0.044130,0.084987,0.000013,hard,211.688561,0.323285,0.224438,0.224438,0.224438,0.234322,0.184322,0.224438,0.184322,0.234322,29.5245,29.6114,29.6114,4
0.0344,descent,1.0639,0.7292,33.4863,52.2949,-24.5053,-8.5172,0.020172,0.044098,0.084990,0.000010,hard,211.729041,0.323330,0.224675,0.224675,0.224675,0.234681,0.184681,0.224675,0.184681,0.234681,29.5087,29.5985,29.5985,4
0.0355,descent,1.0639,0.7292,33.4863,52.2949,-24.8028,-7.8029,0.020086,0.043912,0.084990,0.000010,hard,211.729041,0.323330,0.224675,0.224675,0.224675,0.234681,0.184681,0.224675,0.184681,0.234681,29.4930,29.5855,29.5855,4
0.0366,descent,1.0639,0.7276,33.3984,52.2949,-25.0705,-7.1600,0.020099,0.043879,0.084998,0.000002,hard,211.869394,0.323505,0.225018,0.225018,0.225018,0.235127,0.185127,0.225018,0.185127,0.235127,29.4772,29.5725,29.5725,4
0.0377,descent,1.0639,0.7276,33.3984,52.2949,-25.4488,-6.5814,0.020024,0.043721,0.084998,0.000002,hard,211.869394,0.323505,0.225018,0.225018,0.225018,0.235127,0.185127,0.225018,0.185127,0.235127,29.4614,29.5595,29.5595,4
0.0388,descent,1.0639,0.7270,33.3984,52.2949,-25.7893,-5.9233,0.019942,0.043502,0.085013,-0.000013,hard,211.912790,0.323561,0.225065,0.225065,0.225065,0.235165,0.185165,0.225065,0.185165,0.235165,29.4456,29.5465,29.5465,4
0.0399,descent,1.0639,0.7270,33.3105,52.2949,-26.0958,-5.3310,0.019959,0.043492,0.085013,-0.000013,hard,211.912790,0.323555,0.225259,0.225259,0.225259,0.235489,0.185489,0.225259,0.185489,0.235489,29.4297,29.5335,29.5335,4
0.0411,descent,1.0639,0.7270,33.2227,52.2949,-26.5090,-4.7979,0.019964,0.043555,0.085002,-0.000002,hard,211.912790,0.323548,0.225453,0.225453,0.225453,0.235813,0.185813,0.225453,0.185813,0.235813,29.4139,29.5204,29.5204,4
0.0421,descent,1.0639,0.7270,33.2227,52.2949,-27.2156,-3.8863,0.019877,0.044471,0.085005,-0.000005,hard,211.912790,0.323548,0.225453,0.225453,0.225453,0.235813,0.185813,0.225453,0.185813,0.235813,29.3981,29.5074,29.5074,4
0.0432,descent,1.0639,0.7270,33.1348,52.2949,-27.6543,-3.4976,0.019891,0.046423,0.085005,-0.000005,hard,211.912790,0.323542,0.225646,0.225646,0.225646,0.236137,0.186137,0.225646,0.186137,0.236137,29.3822,29.4943,29.4943,4
0.0444,descent,1.0639,0.7270,33.1348,52.2949,-28.0490,-3.1479,0.019801,0.050045,0.085003,-0.000003,hard,211.912790,0.323542,0.225646,0.225646,0.225646,0.236137,0.186137,0.225646,0.186137,0.236137,29.3664,29.4812,29.4812,4
0.0455,descent,1.0639,0.7270,33.0469,52.2949,-28.4043,-2.8331,0.019814,0.056253,0.085003,-0.000003,hard,211.912790,0.323536,0.225840,0.225840,0.225840,0.236461,0.186461,0.225840,0.186461,0.236461,29.3506,29.4682,29.4682,4
0.0467,descent,1.0639,0.7275,33.0469,52.2949,-28.8615,-2.5498,0.019724,0.065000,0.084998,0.000002,hard,211.875645,0.323488,0.225800,0.225800,0.225800,0.236428,0.186428,0.225800,0.186428,0.236428,29.3348,29.4551,29.4551,4
0.0477,descent,1.0639,0.7275,33.0469,52.2949,-29.2730,-2.2948,0.019639,0.076284,0.084998,0.000002,hard,211.875645,0.323488,0.225800,0.225800,0.225800,0.236428,0.186428,0.225800,0.186428,0.236428,29.3189,29.4421,29.4421,4
0.0489,descent,1.0639,0.7312,32.9590,52.2949,-29.6433,-2.0653,0.019652,0.089826,0.084980,0.000020,hard,211.563495,0.323079,0.225661,0.225661,0.225661,0.236476,0.186476,0.225661,0.186476,0.236476,29.3033,29.4292,29.4292,4
0.0499,descent,1.0639,0.7312,32.9590,52.2949,-29.9765,-1.8588,0.019531,0.104476,0.084980,0.000020,hard,211.563495,0.323079,0.225661,0.225661,0.225661,0.236476,0.186476,0.225661,0.186476,0.236476,29.2877,29.4163,29.4163,4
0.0510,descent,1.0639,0.7270,32.8711,52.2949,-30.2765,-1.6729,0.019544,0.119915,0.085005,-0.000005,hard,211.912790,0.323524,0.226227,0.226227,0.226227,0.237108,0.187108,0.226227,0.187108,0.237108,29.2719,29.4032,29.4032,4
0.0521,descent,1.0639,0.7280,32.7832,52.2949,-30.9268,-1.3551,0.019587,0.149862,0.084995,0.000005,hard,211.828268,0.323409,0.226330,0.226330,0.226330,0.237357,0.187357,0.226330,0.187357,0.237357,29.2561,29.3901,29.3901,4
0.0532,descent,1.0639,0.7280,32.7832,52.2949,-31.2691,-1.2196,0.019487,0.163129,0.084995,0.000005,hard,211.828268,0.323409,0.226330,0.226330,0.226330,0.237357,0.187357,0.226330,0.187357,0.237357,29.2404,29.3771,29.3771,4
0.0544,descent,1.0639,0.7276,32.6953,52.2949,-31.5772,-1.0976,0.019500,0.175248,0.084997,0.000003,hard,211.861637,0.323446,0.226558,0.226558,0.226558,0.237710,0.187710,0.226558,0.187710,0.237710,29.2246,29.3640,29.3640,4
0.0555,descent,1.0639,0.7276,32.6953,52.2949,-31.8545,-0.9878,0.019411,0.185793,0.084997,0.000003,hard,211.861637,0.323446,0.226558,0.226558,0.226558,0.237710,0.187710,0.226558,0.187710,0.237710,29.2088,29.3509,29.3509,4
0.0566,descent,1.0639,0.7287,32.6074,52.2949,-32.1040,-0.8891,0.019423,0.195089,0.084992,0.000008,hard,211.770292,0.323323,0.226653,0.226653,0.226653,0.237953,0.187953,0.226653,0.187953,0.237953,29.1930,29.3378,29.3378,4
0.0577,descent,1.0639,0.7287,32.6074,52.2949,-32.4660,-0.8001,0.019323,0.202871,0.084992,0.000008,hard,211.770292,0.323323,0.226653,0.226653,0.226653,0.237953,0.187953,0.226653,0.187953,0.237953,29.1773,29.3248,29.3248,4
0.0588,descent,1.0639,0.7298,32.5195,52.2949,-32.7918,-0.7201,0.019336,0.209626,0.084987,0.000013,hard,211.685075,0.323207,0.226755,0.226755,0.226755,0.238200,0.188200,0.226755,0.188200,0.238200,29.1616,29.3118,29.3118,4
0.0600,descent,1.0639,0.7298,32.5195,52.2949,-33.0850,-0.6481,0.019236,0.215120,0.084987,0.000013,hard,211.685075,0.323207,0.226755,0.226755,0.226755,0.238200,0.188200,0.226755,0.188200,0.238200,29.1459,29.2988,29.2988,4
0.0611,descent,1.0639,0.7270,32.5195,52.2949,-33.3489,-0.5833,0.019153,0.219673,0.085007,-0.000007,hard,211.912790,0.323501,0.226998,0.226998,0.226998,0.238403,0.188403,0.226998,0.188403,0.238403,29.1301,29.2856,29.2856,4
0.0622,descent,1.0639,0.7291,32.3438,52.2949,-33.9376,-0.4725,0.019286,0.227097,0.084990,0.000010,hard,211.737550,0.323264,0.227195,0.227195,0.227195,0.238894,0.188894,0.227195,0.188894,0.238894,29.1144,29.2726,29.2726,4
0.0633,descent,1.0639,0.7291,32.3438,52.2949,-34.2536,-0.4252,0.019167,0.229581,0.084990,0.000010,hard,211.737550,0.323264,0.227195,0.227195,0.227195,0.238894,0.188894,0.227195,0.188894,0.238894,29.0987,29.2595,29.2595,4
0.0644,descent,1.0639,0.7270,32.3438,52.3828,-34.5381,-0.2453,0.018898,0.236731,0.085002,-0.000002,hard,211.912790,0.323807,0.227131,0.227131,0.227131,0.238412,0.188412,0.227131,0.188412,0.238412,29.0829,29.2464,29.2464,4
0.0655,descent,1.0639,0.7270,32.2559,52.3828,-34.7941,-0.0834,0.018975,0.240317,0.085002,-0.000002,hard,211.912790,0.323801,0.227323,0.227323,0.227323,0.238735,0.188735,0.227323,0.188735,0.238735,29.0670,29.2332,29.2332,4
0.0666,descent,1.0639,0.7270,32.1680,52.4707,-35.1619,0.0624,0.018791,0.240040,0.085008,-0.000008,hard,211.912790,0.324113,0.227263,0.227263,0.227263,0.238420,0.188420,0.227263,0.188420,0.238420,29.0512,29.2201,29.2201,4
0.0677,descent,1.0639,0.7270,32.1680,52.4707,-35.4929,0.3309,0.018747,0.232839,0.085008,-0.000008,hard,211.912790,0.324113,0.227263,0.227263,0.227263,0.238420,0.188420,0.227263,0.188420,0.238420,29.0354,29.2070,29.2070,4
0.0688,descent,1.0639,0.7270,32.1680,52.5586,-35.7908,0.7100,0.018477,0.208044,0.085001,-0.000001,hard,211.912790,0.324434,0.227010,0.227010,0.227010,0.237782,0.187782,0.227010,0.187782,0.237782,29.0195,29.1939,29.1939,4
0.0700,descent,1.0639,0.7270,32.0801,52.5586,-36.0589,1.0512,0.018538,0.176991,0.085001,-0.000001,hard,211.912790,0.324426,0.227202,0.227202,0.227202,0.238105,0.188105,0.227202,0.188105,0.238105,29.0037,29.1807,29.1807,4
0.0711,descent,1.0639,0.7270,31.9922,52.6465,-36.4376,1.4957,0.018354,0.132700,0.085003,-0.000003,hard,211.912790,0.324739,0.227142,0.227142,0.227142,0.237790,0.187790,0.227142,0.187790,0.237790,28.9878,29.1676,29.1676,4
0.0722,descent,1.0639,0.7270,31.9043,52.7344,-37.0852,2.5168,0.018222,0.061830,0.085004,-0.000004,hard,211.912790,0.325054,0.227081,0.227081,0.227081,0.237475,0.187475,0.227081,0.187475,0.237475,28.9719,29.1545,29.1545,4
0.0733,descent,1.0639,0.7270,31.9043,52.8223,-37.3613,3.2269,0.017991,0.043601,0.085004,-0.000004,hard,211.912790,0.325380,0.226828,0.226828,0.226828,0.236836,0.186836,0.226828,0.186836,0.236836,28.9561,29.1414,29.1414,4
0.0744,descent,1.0639,0.7319,31.8164,52.9102,-37.6098,4.0034,0.017867,0.038077,0.084977,0.000023,hard,211.510893,0.325174,0.226336,0.226336,0.226336,0.236166,0.186166,0.226336,0.186166,0.236166,28.9404,29.1286,29.1286,4
0.0755,descent,1.0639,0.7319,31.8164,52.9980,-37.8334,4.8397,0.017601,0.036504,0.084977,0.000023,hard,211.510893,0.325504,0.226083,0.226083,0.226083,0.235528,0.185528,0.226083,0.185528,0.235528,28.9248,29.1157,29.1157,4
0.0766,descent,1.0639,0.7270,31.8164,53.0859,-38.0346,5.7297,0.017384,0.035743,0.085003,-0.000003,hard,211.912790,0.326360,0.226260,0.226260,0.226260,0.235242,0.185242,0.226260,0.185242,0.235242,28.9089,29.1027,29.1027,4
0.0777,descent,1.0639,0.7270,31.7285,53.1738,-38.2158,6.8056,0.017299,0.035309,0.085003,-0.000003,hard,211.912790,0.326682,0.226198,0.226198,0.226198,0.234925,0.184925,0.226198,0.184925,0.234925,28.8929,29.0897,29.0897,4
0.0788,descent,1.0639,0.7270,31.6406,53.3496,-38.5162,8.0486,0.016981,0.034324,0.085008,-0.000008,hard,211.912790,0.327343,0.225882,0.225882,0.225882,0.233969,0.183969,0.225882,0.183969,0.233969,28.8770,29.0767,29.0767,4
0.0799,descent,1.0639,0.7270,31.6406,53.4375,-38.7866,9.4421,0.016806,0.033652,0.085008,-0.000008,hard,211.912790,0.327685,0.225628,0.225628,0.225628,0.233329,0.183329,0.225628,0.183329,0.233329,28.8610,29.0638,29.0638,4
0.0811,descent,1.0639,0.7293,31.5527,53.5254,-39.0299,10.9711,0.016688,0.033133,0.084989,0.000011,hard,211.719989,0.327759,0.225360,0.225360,0.225360,0.232846,0.182846,0.225360,0.182846,0.232846,28.8452,29.0509,29.0509,4
0.0822,descent,1.0639,0.7283,31.4648,53.7891,-39.4460,14.3826,0.016173,0.031568,0.084994,0.000006,hard,211.807146,0.328900,0.224881,0.224881,0.224881,0.231324,0.181324,0.224881,0.181324,0.231324,28.8293,29.0381,29.0381,4
0.0833,descent,1.0639,0.7283,31.4648,53.8770,-39.7608,16.2420,0.016067,0.030945,0.084994,0.000006,hard,211.807146,0.329254,0.224626,0.224626,0.224626,0.230684,0.180684,0.224626,0.180684,0.230684,28.8133,29.0252,29.0252,4
0.0844,descent,1.0639,0.7286,31.3770,53.9648,-40.0442,18.1902,0.015954,0.030426,0.084993,0.000007,hard,211.785583,0.329560,0.224539,0.224539,0.224539,0.230348,0.180348,0.224539,0.180348,0.230348,28.7974,29.0124,29.0124,4
0.0855,descent,1.0639,0.7286,31.2891,54.0527,-40.2991,20.2183,0.015825,0.029905,0.084993,0.000007,hard,211.785583,0.329895,0.224476,0.224476,0.224476,0.230030,0.180030,0.224476,0.180030,0.230030,28.7814,28.9996,28.9996,4
0.0866,descent,1.0639,0.7270,31.1133,54.2285,-40.5286,22.4559,0.015610,0.029100,0.085000,-0.000000,hard,211.912790,0.330736,0.224482,0.224482,0.224482,0.229501,0.179501,0.224482,0.179501,0.229501,28.7654,28.9868,28.9868,4
0.0877,descent,1.0639,0.7270,31.1133,54.3164,-40.8726,24.7445,0.015441,0.028455,0.085000,-0.000000,hard,211.912790,0.331100,0.224226,0.224226,0.224226,0.228860,0.178860,0.224226,0.178860,0.228860,28.7493,28.9740,28.9740,4
0.0888,descent,1.0639,0.7275,31.1133,54.4043,-41.1821,27.0791,0.015233,0.027750,0.084998,0.000002,hard,211.877134,0.331420,0.223932,0.223932,0.223932,0.228188,0.178188,0.223932,0.178188,0.228188,28.7333,28.9612,28.9612,4
0.0900,descent,1.0639,0.7275,31.0254,54.4922,-41.4607,29.4550,0.015122,0.027224,0.084998,0.000002,hard,211.877134,0.331761,0.223867,0.223867,0.223867,0.227869,0.177869,0.223867,0.177869,0.227869,28.7172,28.9485,28.9485,4
0.0911,descent,1.0639,0.7270,30.9375,54.5801,-41.7114,32.0055,0.014997,0.026699,0.085001,-0.000001,hard,211.912790,0.332151,0.223840,0.223840,0.223840,0.227579,0.177579,0.223840,0.177579,0.227579,28.7011,28.9357,28.9357,4
0.0922,descent,1.0639,0.7274,30.9375,54.7559,-42.2776,37.1637,0.014596,0.025433,0.084998,0.000002,hard,211.878583,0.332856,0.223289,0.223289,0.223289,0.226267,0.176267,0.223289,0.176267,0.226267,28.6850,28.9230,28.9230,4
0.0933,descent,1.0639,0.7274,30.8496,54.7559,-42.5840,39.7678,0.014734,0.025417,0.084998,0.000002,hard,211.878583,0.332825,0.223481,0.223481,0.223481,0.226589,0.176589,0.223481,0.176589,0.226589,28.6689,28.9103,28.9103,4
0.0944,descent,1.0639,0.7270,30.7617,54.8438,-42.8598,42.3862,0.014548,0.024847,0.085020,-0.000020,hard,211.912790,0.333217,0.223451,0.223451,0.223451,0.226297,0.176297,0.223451,0.176297,0.226297,28.6528,28.8976,28.8976,4
