Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad
0.0007,descent,0.4892,21.3574,38.4082,4.1220,-26.1060,0.023478,0.022850,0.085000,-0.000000,0.2000
0.0018,descent,0.4892,21.4453,38.4082,4.1220,-26.1060,0.023420,0.022854,0.085000,-0.000000,0.2000
0.0029,descent,0.4892,21.5332,38.4082,5.4960,-26.1060,0.022719,0.022857,0.084994,0.000006,0.2000
0.0040,descent,0.4892,21.6211,38.4082,8.2440,-26.1060,0.022624,0.022861,0.084994,0.000006,0.2000
0.0051,descent,0.4892,21.7090,38.3203,9.6180,-26.1060,0.022548,0.023089,0.084977,0.000023,0.2000
0.0063,descent,0.4892,21.8848,38.3203,13.7400,-26.1060,0.022388,0.023097,0.084977,0.000023,0.2000
0.0074,descent,0.4892,21.9727,38.2324,15.1140,-27.4800,0.022312,0.023379,0.085008,-0.000008,0.2000
0.0085,descent,0.4892,22.0605,38.2324,17.8620,-27.4800,0.022225,0.023383,0.084994,0.000006,0.2000
0.0096,descent,0.4892,22.1484,38.2324,20.6100,-27.4800,0.022138,0.023387,0.084994,0.000006,0.2000
0.0107,descent,0.4892,22.3242,38.1445,24.7320,-27.4800,0.021975,0.023618,0.084985,0.000015,0.2000
0.0119,descent,0.4892,22.4121,38.1445,27.4800,-27.4800,0.021888,0.023622,0.084985,0.000015,0.2000
0.0129,descent,0.4892,22.5879,38.0566,30.2280,-27.4800,0.021739,0.023854,0.084988,0.000012,0.2000
0.0142,descent,0.4892,22.6758,38.0566,34.3500,-27.4800,0.021638,0.023858,0.084988,0.000012,0.2000
0.0151,descent,0.4892,22.7637,38.0566,37.0980,-27.4800,0.021551,0.023862,0.084973,0.000027,0.2000
0.0163,descent,0.4892,23.1152,37.9687,43.9680,-28.8540,0.021242,0.024155,0.084973,0.000027,0.2000
0.0173,descent,0.4892,23.2031,37.9687,48.0900,-28.8540,0.021141,0.024159,0.084987,0.000013,0.2000
0.0185,descent,0.4892,23.2910,37.8809,52.2120,-28.8540,0.021036,0.024387,0.084993,0.000007,0.2000
0.0196,descent,0.4892,23.4668,37.8809,54.9600,-28.8540,0.020891,0.024395,0.084993,0.000007,0.2000
0.0207,descent,0.4892,23.6426,37.8809,59.0820,-28.8540,0.020731,0.024402,0.084975,0.000025,0.2000
0.0218,descent,0.4892,23.7305,37.7930,63.2040,-28.8540,0.020626,0.024630,0.084975,0.000025,0.2000
0.0229,descent,0.4892,23.8184,37.7930,67.3260,-28.8540,0.020525,0.024634,0.084994,0.000006,0.2000
0.0240,descent,0.4892,23.9941,37.7930,71.4480,-28.8540,0.020366,0.024642,0.084994,0.000006,0.2000
0.0251,descent,0.4892,24.0820,37.7930,74.1960,-28.8540,0.020279,0.024646,0.084991,0.000009,0.2000
0.0263,descent,0.4892,24.3457,37.7051,82.4400,-28.8540,0.020015,0.024881,0.084991,0.000009,0.2000
0.0273,descent,0.4892,24.5215,37.7051,86.5620,-28.8540,0.019855,0.024889,0.084977,0.000023,0.2000
0.0285,descent,0.4892,24.6094,37.6172,90.6840,-28.8540,0.019750,0.025117,0.084983,0.000017,0.2000
0.0296,descent,0.4892,24.6973,37.6172,93.4320,-28.8540,0.019664,0.025121,0.084983,0.000017,0.2000
0.0307,descent,0.4892,24.8730,37.6172,97.5540,-28.8540,0.019504,0.025128,0.084984,0.000016,0.2000
0.0318,descent,0.4892,24.9609,37.5293,100.3020,-28.8540,0.019414,0.025356,0.084984,0.000016,0.2000
0.0329,descent,0.4892,25.0488,37.5293,103.0500,-28.8540,0.019327,0.025360,0.084987,0.000013,0.2000
0.0340,descent,0.4892,25.1367,37.5293,105.7980,-27.4800,0.019240,0.025309,0.084987,0.000013,0.2000
0.0351,descent,0.4892,25.3125,37.5293,107.1720,-27.4800,0.019109,0.025317,0.084982,0.000018,0.2000
0.0363,descent,0.4892,25.5762,37.4414,111.2940,-27.4800,0.018888,0.025553,0.084982,0.000018,0.2000
0.0373,descent,0.4892,25.6641,37.3535,114.0420,-28.8540,0.018797,0.025835,0.084976,0.000024,0.2000
0.0384,descent,0.4892,25.7520,37.3535,115.4160,-28.8540,0.018725,0.025839,0.084972,0.000028,0.2000
0.0396,descent,0.4892,25.8398,37.3535,116.7900,-27.4800,0.018652,0.025788,0.084972,0.000028,0.2000
0.0407,descent,0.4892,25.9277,37.3535,116.7900,-27.4800,0.018594,0.025792,0.084981,0.000019,0.2000
0.0418,descent,0.4892,26.0156,37.2656,118.1640,-28.8540,0.018518,0.026075,0.084981,0.000019,0.2000
