Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0011,0.4000,1.082317,1.128617,1.128662,-0.010033,43.4180,41.5723,29.991530,29.996489,29.996489
0.0022,0.4000,1.079326,1.128617,1.128662,-0.010033,43.5059,41.5723,29.983089,29.992992,29.992992
0.0034,0.4000,1.076334,1.128617,1.128662,-0.010033,43.5938,41.5723,29.974678,29.989509,29.989509
0.0045,0.4000,1.073339,1.128617,1.128662,-0.010033,43.6816,41.5723,29.966296,29.986040,29.986040
0.0056,0.4000,1.070342,1.128482,1.128528,-0.010238,43.7695,41.5723,29.957943,29.982586,29.982586
0.0067,0.4000,1.069491,1.128482,1.128528,-0.010238,43.7695,41.5723,29.949602,29.979136,29.979136
0.0078,0.4000,1.066493,1.128482,1.128528,-0.010238,43.8574,41.5723,29.941289,29.975700,29.975700
0.0089,0.4000,1.063493,1.128482,1.128528,-0.010238,43.9453,41.5723,29.933007,29.972279,29.972279
0.0100,0.4000,1.060490,1.128482,1.128528,-0.010238,44.0332,41.5723,29.924754,29.968871,29.968871
0.0111,0.4000,1.059648,1.128482,1.128528,-0.010238,44.0332,41.5723,29.916512,29.965469,29.965469
0.0122,0.4000,1.056643,1.128482,1.128528,-0.010238,44.1211,41.5723,29.908300,29.962080,29.962080
0.0134,0.4000,1.051792,1.128482,1.128528,-0.010238,44.2090,41.6602,29.900125,29.958715,29.958715
0.0145,0.4000,1.048779,1.128482,1.128528,-0.010238,44.2969,41.6602,29.891980,29.955365,29.955365
0.0156,0.4000,1.047945,1.128482,1.128528,-0.010238,44.2969,41.6602,29.883846,29.952018,29.952018
0.0167,0.4000,1.044931,1.128482,1.128528,-0.010238,44.3848,41.6602,29.875742,29.948686,29.948686
0.0178,0.4000,1.044101,1.128482,1.128528,-0.010238,44.3848,41.6602,29.867648,29.945359,29.945359
0.0189,0.4000,1.041084,1.128482,1.128528,-0.010238,44.4727,41.6602,29.859585,29.942046,29.942046
0.0200,0.4000,1.040258,1.128482,1.128528,-0.010238,44.4727,41.6602,29.851532,29.938737,29.938737
0.0211,0.4000,1.037239,1.128482,1.128528,-0.010238,44.5605,41.6602,29.843510,29.935442,29.935442
0.0222,0.4000,1.036417,1.128482,1.128528,-0.010238,44.5605,41.6602,29.835497,29.932152,29.932152
0.0234,0.4000,1.033397,1.128482,1.128528,-0.010238,44.6484,41.6602,29.827516,29.928876,29.928876
0.0245,0.4000,1.032578,1.128482,1.128528,-0.010238,44.6484,41.6602,29.819544,29.925605,29.925605
0.0256,0.4000,1.029556,1.128482,1.128528,-0.010238,44.7363,41.6602,29.811604,29.922348,29.922348
0.0267,0.4000,1.028740,1.128482,1.128528,-0.010238,44.7363,41.6602,29.803673,29.919095,29.919095
0.0278,0.4000,1.027926,1.128482,1.128528,-0.010238,44.7363,41.6602,29.795753,29.915847,29.915847
0.0289,0.4000,1.027113,1.128482,1.128528,-0.010238,44.7363,41.6602,29.787843,29.912603,29.912603
0.0300,0.4000,1.024090,1.128482,1.128528,-0.010238,44.8242,41.6602,29.779964,29.909373,29.909373
0.0311,0.4000,1.023280,1.128482,1.128528,-0.010238,44.8242,41.6602,29.772095,29.906148,29.906148
0.0322,0.4000,1.022472,1.128482,1.128528,-0.010238,44.8242,41.6602,29.764236,29.902926,29.902926
0.0334,0.4000,1.019448,1.128482,1.128528,-0.010238,44.9121,41.6602,29.756408,29.899720,29.899720
0.0345,0.4000,1.018643,1.128482,1.128528,-0.010238,44.9121,41.6602,29.748590,29.896517,29.896517
0.0356,0.4000,1.017839,1.128482,1.128528,-0.010238,44.9121,41.6602,29.740783,29.893319,29.893319
0.0367,0.4000,1.017036,1.128482,1.128528,-0.010238,44.9121,41.6602,29.732985,29.890124,29.890124
0.0378,0.4000,1.016235,1.128482,1.128528,-0.010238,44.9121,41.6602,29.725198,29.886934,29.886934
0.0389,0.4000,1.015434,1.128482,1.128528,-0.010238,44.9121,41.6602,29.717421,29.883748,29.883748
0.0400,0.4000,1.014634,1.128482,1.128528,-0.010238,44.9121,41.6602,29.709653,29.880566,29.880566
