Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0546,0.4000,1.001391,0.834621,0.868379,0.239771,45.2637,41.4844,29.628029,29.850782,29.850782
0.0557,0.4000,1.002558,0.834621,0.868379,0.239771,45.2637,41.3965,29.620431,29.847660,29.847660
0.0569,0.4000,1.006234,0.834621,0.868379,0.239771,45.0879,41.3965,29.612800,29.844522,29.844522
0.0580,0.4000,1.005450,0.834621,0.868379,0.239771,45.0879,41.3965,29.605179,29.841387,29.841387
0.0590,0.4000,1.006892,0.834621,0.868379,0.239771,45.0000,41.3965,29.597547,29.838246,29.838246
0.0602,0.4000,1.006109,0.834621,0.868379,0.239771,45.0000,41.3965,29.589925,29.835109,29.835109
0.0613,0.4000,1.005612,0.834621,0.868379,0.239771,44.9121,41.4844,29.582301,29.831975,29.831975
0.0624,0.4000,1.004830,0.834621,0.868379,0.239771,44.9121,41.4844,29.574688,29.828845,29.828845
0.0635,0.4000,1.006271,0.834621,0.868379,0.239771,44.8242,41.4844,29.567063,29.825709,29.825709
0.0646,0.4000,1.009638,0.834621,0.868379,0.239771,44.7363,41.3965,29.559418,29.822557,29.822557
0.0657,0.4000,1.006924,0.834621,0.868379,0.239771,44.7363,41.4844,29.551793,29.819418,29.819418
0.0668,0.4000,1.008359,0.834621,0.868379,0.239771,44.6484,41.4844,29.544156,29.816273,29.816273
0.0679,0.4000,1.009789,0.834621,0.868379,0.239771,44.5605,41.4844,29.536509,29.813122,29.813122
0.0690,0.4000,1.009006,0.834621,0.868379,0.239771,44.5605,41.4844,29.528872,29.809974,29.809974
0.0702,0.4000,1.010434,0.834621,0.868379,0.239771,44.4727,41.4844,29.521223,29.806821,29.806821
0.0713,0.4000,1.009652,0.834621,0.868379,0.239771,44.4727,41.4844,29.513585,29.803671,29.803671
0.0724,0.4000,1.011077,0.834621,0.868379,0.239771,44.3848,41.4844,29.505936,29.800516,29.800516
0.0735,0.4000,1.012499,0.834621,0.868379,0.239771,44.2969,41.4844,29.498276,29.797353,29.797353
0.0746,0.4000,1.011716,0.834621,0.868379,0.239771,44.2969,41.4844,29.490626,29.794195,29.794195
0.0757,0.4000,1.013135,0.834621,0.868379,0.239771,44.2090,41.4844,29.482966,29.791031,29.791031
0.0772,0.4000,1.014550,0.834621,0.868379,0.239771,44.1211,41.4844,29.475295,29.787861,29.787861
0.0781,0.4000,1.013767,0.834621,0.868379,0.239771,44.1211,41.4844,29.467634,29.784694,29.784694
0.0791,0.4000,1.015180,0.834621,0.868379,0.239771,44.0332,41.4844,29.459962,29.781521,29.781521
0.0803,0.4000,1.016589,0.834621,0.868379,0.239771,43.9453,41.4844,29.452280,29.778343,29.778343
0.0813,0.4000,1.015806,0.834621,0.868379,0.239771,43.9453,41.4844,29.444607,29.775168,29.775168
0.0824,0.4000,1.017212,0.834621,0.868379,0.239771,43.8574,41.4844,29.436925,29.771987,29.771987
0.0835,0.4000,1.018614,0.834621,0.868379,0.239771,43.7695,41.4844,29.429232,29.768799,29.768799
0.0846,0.4000,1.017831,0.834621,0.868379,0.239771,43.7695,41.4844,29.421548,29.765616,29.765616
0.0857,0.4000,1.019231,0.834621,0.868379,0.239771,43.6816,41.4844,29.413855,29.762427,29.762427
0.0868,0.4000,1.020627,0.834621,0.868379,0.239771,43.5938,41.4844,29.406151,29.759232,29.759232
0.0879,0.4000,1.019844,0.834621,0.868379,0.239771,43.5938,41.4844,29.398457,29.756040,29.756040
0.0891,0.4000,1.021238,0.834621,0.868379,0.239771,43.5059,41.4844,29.390752,29.752843,29.752843
0.0902,0.4000,1.020455,0.834621,0.868379,0.239771,43.5059,41.4844,29.383058,29.749649,29.749649
0.0913,0.4000,1.021847,0.834621,0.868379,0.239771,43.4180,41.4844,29.375353,29.746450,29.746450
0.0924,0.4000,1.023234,0.834621,0.868379,0.239771,43.3301,41.4844,29.367638,29.743244,29.743244
0.0936,0.4000,1.024618,0.834621,0.868379,0.239771,43.2422,41.4844,29.359914,29.740033,29.740033
0.0946,0.4000,1.021953,0.834621,0.868379,0.239771,43.2422,41.5723,29.352207,29.736834,29.736834
0.0957,0.4000,1.023339,0.834621,0.868379,0.239771,43.1543,41.5723,29.344491,29.733630,29.733630
0.0968,0.4000,1.022848,0.834621,0.868379,0.239771,43.0664,41.6602,29.336772,29.730428,29.730428
0.0979,0.4000,1.022364,0.834621,0.868379,0.239771,42.9785,41.7480,29.329053,29.727229,29.727229
0.0990,0.4000,1.019716,0.834621,0.868379,0.239771,42.9785,41.8359,29.321351,29.724043,29.724043
0.1002,0.4000,1.019246,0.834621,0.868379,0.239771,42.8906,41.9238,29.313648,29.720861,29.720861
0.1013,0.4000,1.016606,0.834621,0.868379,0.239771,42.8906,42.0117,29.305962,29.717691,29.717691
0.1024,0.4000,1.018002,0.834621,0.868379,0.239771,42.8027,42.0117,29.298267,29.714514,29.714514
0.1035,0.4000,1.017546,0.834621,0.868379,0.239771,42.7148,42.0996,29.290569,29.711341,29.711341
0.1046,0.4000,1.014917,0.834621,0.868379,0.239771,42.7148,42.1875,29.282890,29.708181,29.708181
0.1057,0.4000,1.012640,0.834621,0.868379,0.239771,42.6270,42.3633,29.275217,29.705032,29.705032
0.1068,0.4000,1.010387,0.834621,0.868379,0.239771,42.5391,42.5391,29.267549,29.701894,29.701894
0.1080,0.4000,1.009975,0.834621,0.868379,0.239771,42.4512,42.6270,29.259879,29.698760,29.698760
0.1091,0.4000,1.007374,0.834192,0.867866,0.239407,42.4512,42.7148,29.252227,29.695638,29.695638
0.1102,0.4000,1.006976,0.834192,0.867866,0.239407,42.3633,42.8027,29.244572,29.692518,29.692518
0.1113,0.4000,1.006193,0.834192,0.867866,0.239407,42.3633,42.8027,29.236928,29.689403,29.689403
0.1124,0.4000,1.005803,0.834192,0.867866,0.239407,42.2754,42.8906,29.229280,29.686290,29.686290
0.1135,0.4000,1.005420,0.834192,0.867866,0.239407,42.1875,42.9785,29.221630,29.683179,29.683179
0.1146,0.4000,1.002840,0.834192,0.867866,0.239407,42.1875,43.0664,29.213997,29.680082,29.680082
0.1157,0.4000,1.002473,0.834192,0.867866,0.239407,42.0996,43.1543,29.206362,29.676986,29.676986
0.1168,0.4000,1.002112,0.834192,0.867866,0.239407,42.0117,43.2422,29.198723,29.673894,29.673894
0.1179,0.4000,1.001759,0.834192,0.867866,0.239407,41.9238,43.3301,29.191081,29.670803,29.670803
0.1190,0.4000,1.000974,0.834192,0.867866,0.239407,41.9238,43.3301,29.183449,29.667716,29.667716
0.1202,0.4000,1.000628,0.834192,0.867866,0.239407,41.8359,43.4180,29.175814,29.664632,29.664632
0.1213,0.4000,0.998076,0.834192,0.867866,0.239407,41.8359,43.5059,29.168197,29.661560,29.661560
0.1224,0.4000,0.999506,0.834192,0.867866,0.239407,41.7480,43.5059,29.160568,29.658482,29.658482
0.1235,0.4000,0.996960,0.834192,0.867866,0.239407,41.7480,43.5937,29.152957,29.655417,29.655417
0.1246,0.4000,0.994887,0.834192,0.867866,0.239407,41.6602,43.7695,29.145350,29.652362,29.652362
0.1257,0.4000,0.994103,0.834192,0.867866,0.239407,41.6602,43.7695,29.137753,29.649312,29.649312
0.1268,0.4000,0.996017,0.834192,0.867866,0.239407,41.4844,43.8574,29.130131,29.646253,29.646253
0.1279,0.4000,0.995232,0.834192,0.867866,0.239407,41.4844,43.8574,29.122520,29.643198,29.643198
0.1290,0.4000,0.996665,0.834192,0.867866,0.239407,41.3965,43.8574,29.114897,29.640136,29.640136
0.1302,0.4000,0.994145,0.834192,0.867866,0.239407,41.3965,43.9453,29.107291,29.637087,29.637087
0.1313,0.4000,0.995580,0.834192,0.867866,0.239407,41.3086,43.9453,29.099674,29.634032,29.634032
0.1324,0.4000,0.997012,0.834192,0.867866,0.239407,41.2207,43.9453,29.092046,29.630970,29.630970
0.1335,0.4000,0.996226,0.834192,0.867866,0.239407,41.2207,43.9453,29.084428,29.627913,29.627913
0.1346,0.4000,0.997655,0.834192,0.867866,0.239407,41.1328,43.9453,29.076799,29.624849,29.624849
0.1357,0.4000,0.996871,0.834192,0.867866,0.239407,41.1328,43.9453,29.069181,29.621788,29.621788
0.1368,0.4000,0.998785,0.834192,0.867866,0.239407,40.9570,44.0332,29.061537,29.618720,29.618720
0.1379,0.4000,0.999718,0.834192,0.867866,0.239407,40.9570,43.9453,29.053896,29.615647,29.615647
0.1390,0.4000,0.998933,0.834192,0.867866,0.239407,40.9570,43.9453,29.046265,29.612578,29.612578
0.1402,0.4000,1.000353,0.834192,0.867866,0.239407,40.8691,43.9453,29.038624,29.609503,29.609503
0.1413,0.4000,1.001769,0.834192,0.867866,0.239407,40.7813,43.9453,29.030971,29.606422,29.606422
0.1424,0.4000,1.000984,0.834192,0.867866,0.239407,40.7813,43.9453,29.023328,29.603344,29.603344
0.1435,0.4000,1.000200,0.834192,0.867866,0.239407,40.7813,43.9453,29.015696,29.600271,29.600271
0.1446,0.4000,1.001615,0.834192,0.867866,0.239407,40.6934,43.9453,29.008053,29.597191,29.597191
0.1457,0.4000,1.003026,0.834192,0.867866,0.239407,40.6055,43.9453,29.000398,29.594105,29.594105
0.1468,0.4000,1.004433,0.834192,0.867866,0.239407,40.5176,43.9453,28.992734,29.591013,29.591013
0.1479,0.4000,1.003648,0.834192,0.867866,0.239407,40.5176,43.9453,28.985079,29.587924,29.587924
0.1490,0.4000,1.005052,0.834192,0.867866,0.239407,40.4297,43.9453,28.977413,29.584830,29.584830
0.1502,0.4000,1.004268,0.834192,0.867866,0.239407,40.4297,43.9453,28.969758,29.581739,29.581739
0.1513,0.4000,1.005197,0.834192,0.867866,0.239407,40.4297,43.8574,28.962105,29.578644,29.578644
