Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0011,0.4000,1.046546,1.113734,1.113945,0.021673,43.8574,42.8027,29.991714,29.996659,29.996659
0.0022,0.4000,1.045689,1.113734,1.113945,0.021673,43.8574,42.8027,29.983439,29.993323,29.993323
0.0033,0.4000,1.047040,1.113734,1.113945,0.021673,43.7695,42.8027,29.975155,29.989980,29.989980
0.0044,0.4000,1.046183,1.113734,1.113945,0.021673,43.7695,42.8027,29.966881,29.986642,29.986642
0.0056,0.4000,1.047532,1.113734,1.113945,0.021673,43.6816,42.8027,29.958599,29.983299,29.983299
0.0067,0.4000,1.046676,1.113734,1.113945,0.021673,43.6816,42.8027,29.950327,29.979959,29.979959
0.0078,0.4000,1.048023,1.113734,1.113945,0.021673,43.5938,42.8027,29.942046,29.976614,29.976614
0.0089,0.4000,1.047168,1.113734,1.113945,0.021673,43.5938,42.8027,29.933776,29.973273,29.973273
0.0100,0.4000,1.048513,1.113734,1.113945,0.021673,43.5059,42.8027,29.925496,29.969926,29.969926
0.0111,0.4000,1.047658,1.113734,1.113945,0.021673,43.5059,42.8027,29.917228,29.966584,29.966584
0.0122,0.4000,1.049001,1.113734,1.113945,0.021673,43.4180,42.8027,29.908950,29.963236,29.963236
0.0133,0.4000,1.048147,1.113734,1.113945,0.021673,43.4180,42.8027,29.900683,29.959892,29.959892
0.0145,0.4000,1.049488,1.113734,1.113945,0.021673,43.3301,42.8027,29.892406,29.956542,29.956542
0.0156,0.4000,1.048635,1.113734,1.113945,0.021673,43.3301,42.8027,29.884141,29.953197,29.953197
0.0167,0.4000,1.049973,1.113734,1.113945,0.021673,43.2422,42.8027,29.875867,29.949846,29.949846
0.0179,0.4000,1.051308,1.113734,1.113945,0.021673,43.1543,42.8027,29.867583,29.946489,29.946489
0.0189,0.4000,1.050456,1.113734,1.113945,0.021673,43.1543,42.8027,29.859310,29.943137,29.943137
0.0200,0.4000,1.049604,1.113734,1.113945,0.021673,43.1543,42.8027,29.851048,29.939789,29.939789
0.0211,0.4000,1.050939,1.113734,1.113945,0.021673,43.0664,42.8027,29.842777,29.936435,29.936435
0.0222,0.4000,1.050088,1.113734,1.113945,0.021673,43.0664,42.8027,29.834517,29.933085,29.933085
0.0233,0.4000,1.051420,1.113734,1.113945,0.021673,42.9785,42.8027,29.826247,29.929730,29.929730
0.0244,0.4000,1.050570,1.113734,1.113945,0.021673,42.9785,42.8027,29.817989,29.926379,29.926379
0.0256,0.4000,1.051901,1.113734,1.113945,0.021673,42.8906,42.8027,29.809721,29.923022,29.923022
0.0267,0.4000,1.051051,1.113734,1.113945,0.021673,42.8906,42.8027,29.801464,29.919670,29.919670
0.0282,0.4000,1.050203,1.113734,1.113945,0.021673,42.8906,42.8027,29.793218,29.916322,29.916322
0.0289,0.4000,1.051533,1.113734,1.113945,0.021673,42.8027,42.8027,29.784962,29.912968,29.912968
0.0300,0.4000,1.050686,1.113734,1.113945,0.021673,42.8027,42.8027,29.776718,29.909619,29.909619
0.0311,0.4000,1.052014,1.113734,1.113945,0.021673,42.7148,42.8027,29.768464,29.906264,29.906264
0.0322,0.4000,1.051167,1.113734,1.113945,0.021673,42.7148,42.8027,29.760221,29.902913,29.902913
0.0333,0.4000,1.052494,1.113734,1.113945,0.021673,42.6270,42.8027,29.751969,29.899556,29.899556
0.0344,0.4000,1.051647,1.113734,1.113945,0.021673,42.6270,42.8027,29.743728,29.896204,29.896204
0.0356,0.4000,1.050802,1.113734,1.113945,0.021673,42.6270,42.8027,29.735498,29.892856,29.892856
0.0367,0.4000,1.050387,1.113734,1.113945,0.021673,42.5391,42.8906,29.727264,29.889511,29.889511
0.0377,0.4000,1.049542,1.113734,1.113945,0.021673,42.5391,42.8906,29.719041,29.886170,29.886170
0.0389,0.4000,1.050870,1.113734,1.113945,0.021673,42.4512,42.8906,29.710809,29.882823,29.882823
0.0400,0.4000,1.048288,1.113734,1.113945,0.021673,42.4512,42.9785,29.702594,29.879490,29.879490
0.0411,0.4000,1.049619,1.113734,1.113945,0.021673,42.3633,42.9785,29.694370,29.876150,29.876150
0.0422,0.4000,1.047043,1.113734,1.113945,0.021673,42.3633,43.0664,29.686162,29.872823,29.872823
0.0433,0.4000,1.046200,1.113734,1.113945,0.021673,42.3633,43.0664,29.677965,29.869500,29.869500
0.0444,0.4000,1.043628,1.113734,1.113945,0.021673,42.3633,43.1543,29.669785,29.866191,29.866191
0.0456,0.4000,1.043243,1.113734,1.113945,0.021673,42.2754,43.2422,29.661602,29.862883,29.862883
0.0467,0.4000,1.040680,1.113734,1.113945,0.021673,42.2754,43.3301,29.653435,29.859589,29.859589
0.0477,0.4000,1.038121,1.113734,1.113945,0.021673,42.2754,43.4180,29.645285,29.856307,29.856307
