Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad
0.0006,descent,0.4036,20.3027,33.6621,-42.5940,-8.2440,0.007531,0.014263,0.084988,0.000012,0.1000
0.0018,descent,0.4036,20.3027,33.5742,-41.2200,-9.6180,0.007513,0.014426,0.085007,-0.000007,0.1000
0.0031,descent,0.4036,20.2148,33.4863,-41.2200,-12.3660,0.007537,0.014641,0.084987,0.000013,0.1000
0.0041,descent,0.4036,20.1270,33.4863,-42.5940,-12.3660,0.007580,0.014637,0.084987,0.000013,0.1000
0.0052,descent,0.4036,20.1270,33.4863,-42.5940,-13.7400,0.007580,0.014692,0.084999,0.000001,0.1000
0.0063,descent,0.4036,20.0391,33.4863,-42.5940,-13.7400,0.007608,0.014688,0.084999,0.000001,0.1000
0.0074,descent,0.4036,20.0391,33.4863,-42.5940,-15.1140,0.007608,0.014743,0.084989,0.000011,0.1000
0.0085,descent,0.4036,20.0391,33.4863,-42.5940,-15.1140,0.007608,0.014743,0.084989,0.000011,0.1000
0.0096,descent,0.4036,19.9512,33.3984,-42.5940,-16.4880,0.007632,0.014902,0.084979,0.000021,0.1000
0.0107,descent,0.4036,19.9512,33.3984,-41.2200,-16.4880,0.007618,0.014902,0.084979,0.000021,0.1000
0.0118,descent,0.4036,19.8633,33.3984,-41.2200,-17.8620,0.007646,0.014953,0.084986,0.000014,0.1000
0.0129,descent,0.4036,19.7754,33.3984,-41.2200,-17.8620,0.007674,0.014950,0.084997,0.000003,0.1000
0.0140,descent,0.4036,19.7754,33.3105,-41.2200,-17.8620,0.007671,0.015059,0.084997,0.000003,0.1000
0.0151,descent,0.4036,19.6875,33.3105,-41.2200,-19.2360,0.007699,0.015110,0.084988,0.000012,0.1000
0.0162,descent,0.4036,19.6875,33.3105,-41.2200,-19.2360,0.007699,0.015110,0.084988,0.000012,0.1000
0.0173,descent,0.4036,19.5996,33.3105,-41.2200,-19.2360,0.007727,0.015106,0.084985,0.000015,0.1000
0.0184,descent,0.4036,19.5996,33.3105,-41.2200,-19.2360,0.007727,0.015106,0.084985,0.000015,0.1000
0.0196,descent,0.4036,19.5117,33.2227,-41.2200,-19.2360,0.007752,0.015212,0.084982,0.000018,0.1000
0.0207,descent,0.4036,19.5117,33.2227,-41.2200,-19.2360,0.007752,0.015212,0.084982,0.000018,0.1000
0.0219,descent,0.4036,19.5117,33.2227,-41.2200,-20.6100,0.007752,0.015266,0.085005,-0.000005,0.1000
0.0230,descent,0.4036,19.5117,33.2227,-41.2200,-20.6100,0.007752,0.015266,0.084978,0.000022,0.1000
0.0241,descent,0.4036,19.5117,33.2227,-39.8460,-19.2360,0.007737,0.015212,0.084978,0.000022,0.1000
0.0251,descent,0.4036,19.3359,33.1348,-39.8460,-20.6100,0.007790,0.015368,0.084981,0.000019,0.1000
0.0262,descent,0.4036,19.3359,33.1348,-39.8460,-20.6100,0.007790,0.015368,0.084981,0.000019,0.1000
0.0273,descent,0.4036,19.2480,33.1348,-39.8460,-19.2360,0.007818,0.015310,0.084977,0.000023,0.1000
0.0284,descent,0.4036,19.2480,33.0469,-39.8460,-20.6100,0.007815,0.015474,0.084977,0.000023,0.1000
0.0296,descent,0.4036,19.2480,33.0469,-39.8460,-19.2360,0.007815,0.015419,0.084974,0.000026,0.1000
0.0307,descent,0.4036,19.1602,33.0469,-38.4720,-19.2360,0.007828,0.015416,0.084974,0.000026,0.1000
0.0318,descent,0.4036,19.0723,32.9590,-39.8460,-19.2360,0.007867,0.015521,0.084985,0.000015,0.1000
0.0329,descent,0.4036,19.0723,32.9590,-38.4720,-19.2360,0.007853,0.015521,0.084979,0.000021,0.1000
0.0340,descent,0.4036,18.9844,32.9590,-38.4720,-19.2360,0.007881,0.015518,0.084979,0.000021,0.1000
0.0351,descent,0.4036,18.9844,32.9590,-38.4720,-19.2360,0.007881,0.015518,0.084960,0.000040,0.1000
0.0363,descent,0.4036,18.9844,32.8711,-38.4720,-19.2360,0.007878,0.015627,0.084960,0.000040,0.1000
0.0374,descent,0.4036,18.8965,32.8711,-38.4720,-19.2360,0.007906,0.015624,0.084974,0.000026,0.1000
0.0385,descent,0.4036,18.8965,32.8711,-37.0980,-19.2360,0.007892,0.015624,0.084974,0.000026,0.1000
0.0396,descent,0.4036,18.8965,32.8711,-37.0980,-19.2360,0.007892,0.015624,0.084972,0.000028,0.1000
0.0407,descent,0.4036,18.8086,32.8711,-37.0980,-19.2360,0.007920,0.015620,0.084972,0.000028,0.1000
