Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm
0.0008,descent,1.5216,-0.4867,99.4043,28.9160,-17.8620,-23.3580,0.046984,0.030333,0.084990,0.000010,100.00
0.0019,descent,1.5216,-0.4867,99.4043,28.9160,-17.8620,-23.3580,0.046984,0.030333,0.084990,0.000010,100.00
0.0030,descent,1.5216,-0.4867,99.4043,28.9160,-17.8620,-23.3580,0.046984,0.030333,0.085003,-0.000003,100.00
0.0041,descent,1.5216,-0.4867,99.3164,28.9160,-17.8620,-23.3580,0.047099,0.030433,0.085003,-0.000003,100.00
0.0052,descent,1.5216,-0.4867,99.3164,28.9160,-17.8620,-21.9840,0.047093,0.030375,0.084988,0.000012,100.00
0.0063,descent,1.5216,-0.4867,99.3164,28.8281,-17.8620,-21.9840,0.047194,0.030532,0.084988,0.000012,100.00
0.0074,descent,1.5216,-0.4867,99.3164,28.8281,-16.4880,-21.9840,0.047169,0.030526,0.084977,0.000023,100.00
0.0085,descent,1.5216,-0.4867,99.3164,28.8281,-16.4880,-21.9840,0.047169,0.030526,0.084977,0.000023,100.00
0.0097,descent,1.5216,-0.4867,99.2285,28.8281,-16.4880,-20.6100,0.047278,0.030568,0.084985,0.000015,100.00
0.0107,descent,1.5216,-0.4867,99.2285,28.8281,-16.4880,-20.6100,0.047278,0.030568,0.085000,-0.000000,100.00
0.0119,descent,1.5216,-0.4867,99.2285,28.7402,-16.4880,-20.6100,0.047379,0.030725,0.085000,-0.000000,100.00
0.0139,descent,1.5216,-0.4867,99.2285,28.7402,-16.4880,-20.6100,0.047379,0.030725,0.085004,-0.000004,100.00
0.0141,descent,1.5216,-0.4867,99.2285,28.7402,-16.4880,-20.6100,0.047379,0.030725,0.085004,-0.000004,100.00
0.0152,descent,1.5216,-0.4867,99.2285,28.7402,-16.4880,-19.2360,0.047373,0.030667,0.084985,0.000015,100.00
