Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm
0.0007,descent,1.6605,-0.6327,98.4375,30.4980,-8.2440,-15.1140,0.046252,0.028235,0.084992,0.000008,100.00
0.0013,descent,1.6605,-0.6327,98.3496,30.4980,-8.2440,-13.7400,0.046360,0.028275,0.084992,0.000008,100.00
0.0025,descent,1.6605,-0.6327,98.3496,30.4980,-8.2440,-13.7400,0.046360,0.028275,0.084986,0.000014,100.00
0.0037,descent,1.6605,-0.6327,98.4375,30.4980,-6.8700,-13.7400,0.046223,0.028172,0.084993,0.000007,100.00
0.0048,descent,1.6605,-0.6327,98.4375,30.4980,-6.8700,-12.3660,0.046217,0.028114,0.084993,0.000007,100.00
0.0058,descent,1.6605,-0.6327,98.3496,30.4980,-6.8700,-12.3660,0.046330,0.028211,0.085004,-0.000004,100.00
0.0069,descent,1.6605,-0.6327,98.3496,30.4980,-5.4960,-12.3660,0.046313,0.028206,0.085004,-0.000004,100.00
0.0080,descent,1.6605,-0.6327,98.3496,30.4980,-5.4960,-12.3660,0.046313,0.028206,0.084987,0.000013,100.00
0.0090,descent,1.6605,-0.6327,98.3496,30.4980,-5.4960,-10.9920,0.046308,0.028148,0.084987,0.000013,100.00
0.0103,descent,1.6605,-0.6327,98.3496,30.4980,-5.4960,-9.6180,0.046302,0.028090,0.084992,0.000008,100.00
0.0113,descent,1.6605,-0.6327,98.3496,30.4980,-5.4960,-9.6180,0.046302,0.028090,0.084992,0.000008,100.00
0.0124,descent,1.6605,-0.6327,98.3496,30.4980,-4.1220,-9.6180,0.046907,0.028085,0.085001,-0.000001,100.00
0.0135,descent,1.6605,-0.6327,98.4375,30.4980,-4.1220,-8.2440,0.046788,0.027930,0.085001,-0.000001,100.00
0.0146,descent,1.6605,-0.6327,98.4375,30.4980,-2.7480,-8.2440,0.061652,0.027924,0.084992,0.000008,100.00
0.0157,descent,1.6605,-0.6327,98.3496,30.4980,-2.7480,-8.2440,0.061765,0.028021,0.085005,-0.000005,100.00
0.0168,descent,1.6605,-0.6327,98.3496,30.4980,-2.7480,-6.8700,0.061759,0.027963,0.085005,-0.000005,100.00
0.0180,descent,1.6605,-0.6327,98.3496,30.4980,-2.7480,-6.8700,0.061759,0.027963,0.084983,0.000017,100.00
0.0190,descent,1.6605,-0.6327,98.3496,30.4980,-2.7480,-6.8700,0.061759,0.027963,0.084983,0.000017,100.00
0.0201,descent,1.6605,-0.6327,98.4375,30.4980,-1.3740,-5.4960,0.151659,0.027810,0.084992,0.000008,100.00
0.0216,descent,1.6605,-0.6327,98.4375,30.4980,-1.3740,-5.4960,0.151659,0.027810,0.084992,0.000008,100.00
0.0224,descent,1.6605,-0.6327,98.3496,30.4980,-1.3740,-5.4960,0.151772,0.027907,0.084993,0.000007,100.00
0.0235,descent,1.6605,-0.6327,98.3496,30.4980,-1.3740,-5.4960,0.151772,0.027907,0.084993,0.000007,100.00
0.0246,descent,1.6605,-0.6327,98.3496,30.4980,-1.3740,-4.1220,0.151766,0.028478,0.084996,0.000004,100.00
