Time_s,Force_Ref_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,k_scalar
0.0011,0.5000,1.147814,1.147857,-0.009885,49.0430,44.0332,0.499935
0.0023,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499870
0.0033,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499806
0.0044,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499741
0.0055,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499676
0.0066,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499611
0.0077,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499547
0.0088,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499482
0.0099,0.5000,1.147814,1.147857,-0.009885,48.9551,44.0332,0.499417
0.0112,0.5000,1.147814,1.147857,-0.009885,48.8672,44.0332,0.499352
0.0122,0.5000,1.147814,1.147857,-0.009885,48.8672,44.0332,0.499287
0.0133,0.5000,1.147814,1.147857,-0.009885,48.8672,44.0332,0.499223
0.0144,0.5000,1.147814,1.147857,-0.009885,48.8672,44.0332,0.499158
0.0155,0.5000,1.147814,1.147857,-0.009885,48.8672,44.0332,0.499093
0.0166,0.5000,1.147814,1.147857,-0.009885,48.7793,44.0332,0.499028
0.0177,0.5000,1.147814,1.147857,-0.009885,48.7793,44.0332,0.498963
0.0188,0.5000,1.147814,1.147857,-0.009885,48.7793,44.0332,0.498899
0.0199,0.5000,1.147814,1.147857,-0.009885,48.7793,44.0332,0.498834
0.0211,0.5000,1.147814,1.147857,-0.009885,48.7793,44.0332,0.498769
0.0222,0.5000,1.147814,1.147857,-0.009885,48.7793,44.0332,0.498704
0.0233,0.5000,1.147814,1.147857,-0.009885,48.7793,44.0332,0.498640
0.0244,0.5000,1.147814,1.147857,-0.009885,48.6914,44.0332,0.498575
0.0255,0.5000,1.147814,1.147857,-0.009885,48.6914,44.0332,0.498510
0.0266,0.5000,1.147814,1.147857,-0.009885,48.6914,44.0332,0.498445
0.0279,0.5000,1.147814,1.147857,-0.009885,48.6914,44.0332,0.498380
0.0289,0.5000,1.147814,1.147857,-0.009885,48.6035,44.0332,0.498316
0.0300,0.5000,1.147814,1.147857,-0.009885,48.6035,44.0332,0.498251
0.0312,0.5000,1.147814,1.147857,-0.009885,48.6035,44.0332,0.498186
0.0322,0.5000,1.147814,1.147857,-0.009885,48.6035,44.0332,0.498121
0.0333,0.5000,1.147814,1.147857,-0.009885,48.5156,44.0332,0.498057
0.0344,0.5000,1.147814,1.147857,-0.009885,48.5156,44.0332,0.497992
0.0355,0.5000,1.147814,1.147857,-0.009885,48.5156,44.0332,0.497927
0.0366,0.5000,1.147814,1.147857,-0.009885,48.5156,44.0332,0.497862
0.0377,0.5000,1.147814,1.147857,-0.009885,48.5156,44.0332,0.497797
0.0388,0.5000,1.147814,1.147857,-0.009885,48.5156,44.1211,0.497733
0.0400,0.5000,1.147814,1.147857,-0.009885,48.5156,44.2090,0.497668
0.0412,0.5000,1.147814,1.147857,-0.009885,48.5156,44.2969,0.497603
0.0422,0.5000,1.147814,1.147857,-0.009885,48.5156,44.2969,0.497538
0.0433,0.5000,1.147814,1.147857,-0.009885,48.5156,44.3848,0.497474
0.0444,0.5000,1.147814,1.147857,-0.009885,48.5156,44.4727,0.497409
0.0455,0.5000,1.147814,1.147857,-0.009885,48.5156,44.5605,0.497344
0.0466,0.5000,1.147814,1.147857,-0.009885,48.5156,44.6484,0.497279
0.0477,0.5000,1.147814,1.147857,-0.009885,48.5156,44.7363,0.497214
0.0489,0.5000,1.147814,1.147857,-0.009885,48.5156,44.8242,0.497150
0.0500,0.5000,1.147814,1.147857,-0.009885,48.5156,44.9121,0.497085
0.0511,0.5000,1.147814,1.147857,-0.009885,48.5156,45.0000,0.497020
0.0521,0.5000,1.147814,1.147857,-0.009885,48.5156,45.1758,0.496955
0.0533,0.5000,1.147814,1.147857,-0.009885,48.5156,45.3516,0.496890
0.0544,0.5000,1.147814,1.147857,-0.009885,48.5156,45.5273,0.496826
0.0555,0.5000,1.147814,1.147857,-0.009885,48.5156,45.6152,0.496761
0.0566,0.5000,1.147814,1.147857,-0.009885,48.5156,45.7031,0.496696
