Time_s,Force_Ref_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,k_scalar
0.0012,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499924
0.0023,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499847
0.0033,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499771
0.0044,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499695
0.0056,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499618
0.0067,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499542
0.0078,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499466
0.0089,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499389
0.0100,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499313
0.0112,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499237
0.0123,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499160
0.0135,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499084
0.0145,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.499008
0.0156,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498931
0.0167,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498855
0.0178,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498778
0.0189,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498702
0.0200,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498626
0.0212,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498549
0.0223,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498473
0.0233,0.5000,1.263456,1.269217,-0.120789,45.3516,43.7695,0.498397
0.0244,0.5000,1.263456,1.269217,-0.120789,45.3516,43.8574,0.498320
0.0256,0.5000,1.263456,1.269217,-0.120789,45.3516,43.8574,0.498244
0.0267,0.5000,1.263456,1.269217,-0.120789,45.3516,43.9453,0.498168
0.0278,0.5000,1.263456,1.269217,-0.120789,45.3516,43.9453,0.498091
0.0289,0.5000,1.263456,1.269217,-0.120789,45.3516,44.0332,0.498015
0.0300,0.5000,1.263456,1.269217,-0.120789,45.3516,44.0332,0.497939
0.0312,0.5000,1.263456,1.269217,-0.120789,45.3516,44.1211,0.497862
0.0323,0.5000,1.263456,1.269217,-0.120789,45.3516,44.2090,0.497786
0.0334,0.5000,1.263456,1.269217,-0.120789,45.3516,44.3848,0.497710
0.0345,0.5000,1.263456,1.269217,-0.120789,45.3516,44.4727,0.497633
0.0356,0.5000,1.263456,1.269217,-0.120789,45.3516,44.5605,0.497557
0.0367,0.5000,1.263456,1.269217,-0.120789,45.3516,44.7363,0.497481
0.0378,0.5000,1.263456,1.269217,-0.120789,45.3516,44.8242,0.497404
0.0389,0.5000,1.263456,1.269217,-0.120789,45.3516,44.9121,0.497328
0.0400,0.5000,1.263456,1.269217,-0.120789,45.3516,45.0000,0.497252
0.0412,0.5000,1.263456,1.269217,-0.120789,45.3516,45.1758,0.497175
0.0423,0.5000,1.263456,1.269217,-0.120789,45.3516,45.2637,0.497099
0.0433,0.5000,1.263456,1.269217,-0.120789,45.3516,45.3516,0.497023
0.0445,0.5000,1.263456,1.269217,-0.120789,45.4395,45.5273,0.496946
0.0456,0.5000,1.244921,1.251312,-0.126306,45.4395,45.6152,0.496872
0.0467,0.5000,1.244921,1.251312,-0.126306,45.4395,45.7031,0.496797
0.0478,0.5000,1.244921,1.251312,-0.126306,45.5273,45.7910,0.496723
