time_s,k_rot,weight_step,q_5,q_6,qdot_5,qdot_6,tau_5,tau_6
203.3837,0.6,0,1.1121360712170896,-1.4603497100671303,0.023974059140393588,0.01907870395013445,0.01484103979420505,-0.023009660974118447
203.4078,0.6,0,1.1121360712170896,-1.4618836908550163,0.02397791190556463,0.014208508963408074,0.014840152640263261,-0.02391907389390466
203.4316,0.6,0,1.1121360712170896,-1.4618836908550163,0.023979570394638595,0.007532340883532188,0.014839569402804714,-0.025289370886661874
203.4553,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398028431980308,0.011770246559948445,0.014839436224494785,-0.024878744856762707
203.4792,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398056583215175,0.025405509249198124,0.014839176377131363,-0.021244187382491262
203.5036,0.6,0,1.1121360712170896,-1.4603497100671303,0.0239807239329511,0.008739988786867336,0.014839159604176918,-0.025478929236376437
203.5279,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398078088022209,0.009295357545361397,0.01483923928879603,-0.024992333976418705
203.5523,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980805394154953,0.009388854550087101,0.014839409692939513,-0.024975137005393847
203.5765,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398081594659924,0.011463898835494474,0.014839281517633526,-0.024558239851538693
203.6007,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980820489080488,0.014456277198966166,0.014839332918691498,-0.02385730014572615
203.6245,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082244446972,0.01873382349369691,0.014839334235438425,-0.022718370552982776
203.6483,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823286200662,0.01314705634314121,0.014839268414293866,-0.024176601586712386
203.6722,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082364853823,0.01931724221876921,0.014839190087215239,-0.022943113645965872
203.6965,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823804512674,0.01656244470972187,0.014839115909036985,-0.02369832858833523
203.7202,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082387165456,0.014482896310798134,0.014839363225944209,-0.023850654031568774
203.7440,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823900556943,0.006234411967628565,0.014839176025911392,-0.025859465066494867
203.7677,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823912998467,0.011199763570250605,0.014839126786159212,-0.0250020497428088
203.7915,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823918354134,0.022742861365727073,0.014839310012800687,-0.021593030070303665
203.8152,0.6,0,1.1121360712170896,-1.4603497100671303,0.0141604367161967,0.008216674221972524,0.017599922969237368,-0.025567760016674216
203.8390,0.6,0,1.1121360712170896,-1.4618836908550163,0.01132924952925946,0.010428813091650337,0.0182786685129864,-0.024774232725418337
203.8627,0.6,0,1.1121360712170896,-1.4618836908550163,0.018534735991278542,0.012736267422088275,0.01640805204497145,-0.02427296192312303
203.8865,0.6,0,1.1121360712170896,-1.4618836908550163,0.021636461645276665,0.015326284993990512,0.015513878048866937,-0.02363596193694742
203.9102,0.6,0,1.1121360712170896,-1.4603497100671303,0.022971652833738664,0.019108333321899297,0.015128098375657859,-0.023001401560321412
203.9339,0.6,0,1.1121360712170896,-1.4618836908550163,0.02354640885945248,0.015771293007427144,0.01496336467470396,-0.023520307267324292
203.9577,0.6,0,1.1121360712170896,-1.4603497100671303,0.023793822482272197,0.014666964965747984,0.014892639077983296,-0.024191608110532906
203.9814,0.6,0,1.1121360712170896,-1.4603497100671303,0.023900325934203392,0.010577512321930533,0.014862125472986109,-0.025131434582140177
204.0054,0.6,0,1.1121360712170896,-1.4603497100671303,0.023946172178011586,0.013847256356504294,0.014849134888591823,-0.024395317472169685
204.0292,0.6,0,1.1121360712170896,-1.4603497100671303,0.023965907482672674,0.014686783097906286,0.01484342501119774,-0.024186592517426483
204.0529,0.6,0,1.1121360712170896,-1.4603497100671303,0.02397440288420863,0.011615458374367274,0.014840953169682983,-0.02491262244333644
204.0767,0.6,0,1.1121360712170896,-1.4618836908550163,0.023978059876005646,0.0102641046184915,0.014840201133684474,-0.024807170247475557
204.1004,0.6,0,1.1121360712170896,-1.4618836908550163,0.023979634091061502,0.006839795157037756,0.01483958813708805,-0.025390871761387865
204.1241,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398031173902454,0.007500664083477953,0.01483950099822991,-0.02529422036621641
204.1479,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980578946680375,0.015267263183613641,0.01483939605352571,-0.023651199239362937
204.1717,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980718468386647,0.01040953453754741,0.014839318360246528,-0.02477810197807189
204.1958,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398077852790628,0.007890324460879996,0.014839126046394913,-0.025620720184749222
204.2201,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980804381560125,0.0224652517198045,0.014839377639164356,-0.021670905645121565
204.2444,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980816351879538,0.010882790017685596,0.014839366875013962,-0.024681409529860355
204.2682,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082066354037,0.010404350569661092,0.014839491456125425,-0.024779174287122237
204.2920,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980822363698633,0.015089156412613257,0.014839169722156847,-0.02408421186535455
204.3158,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082325143136,0.017755170224975435,0.014839520761222275,-0.022988341129398196
204.3396,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082363357119,0.009391220653763363,0.014839367713408663,-0.0249746925639735
204.3633,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082379806986,0.015302395716104087,0.014839362716557603,-0.02364214669778237
204.3871,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082386888114,0.007861618894841809,0.014839296997739072,-0.02523803295723833
204.4108,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823899363072,0.011456354292265604,0.014839345027828247,-0.024559890390143793
204.4345,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823912484548,0.016191368031747297,0.01483915613545675,-0.023409740089092943
204.4583,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823918132915,0.016790240227172334,0.01483927150551818,-0.023250061463049827
204.4821,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392056435,0.017603596180203185,0.0148392395591022,-0.023029729281919806
204.5059,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823921611,0.0075777709336587225,0.014839273157130826,-0.025669698707850824
204.5296,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392206155,0.012363490921599178,0.01483929553275542,-0.02435865501716421
204.5534,0.6,0,1.1121360712170896,-1.4603497100671303,0.0239808239222555,0.013569082789795213,0.014839018355116985,-0.024462886960011622
204.5771,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922338988,0.01904327511128093,0.014839323183906503,-0.022632282315928065
204.6011,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922371903,0.009108339451572826,0.014839391769698899,-0.025026382679747435
204.6249,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922389094,0.006318923863691693,0.014839218842483204,-0.025848534027021003
204.6486,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922396494,0.017524950454983264,0.014839369091289769,-0.023051209063042047
204.6724,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392239968,0.011713553270455597,0.014839120555231084,-0.024891179751383885
204.6962,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240105,0.019711444929406914,0.014839119810716492,-0.02283279577264654
204.7199,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922401643,0.011497908519700558,0.014839258022523498,-0.024550893129293663
204.7437,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922401896,0.007581509513655502,0.014839096549339367,-0.025669088372707302
204.7674,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922402004,0.01210193973194834,0.014839260385151255,-0.024417751788995905
204.7912,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922402052,0.008531072153491862,0.014839123297946927,-0.02551495314671727
204.8150,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.014932129991006533,0.014839222915026313,-0.024124346817695097
204.8387,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.01598493700087956,0.014839201503980656,-0.023851512977602966
204.8629,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.013566290745519249,0.014839132747076282,-0.024463572874066614
204.8873,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.010688600456697134,0.01483903817377747,-0.025108712698102054
204.9116,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.004601092017399142,0.014839358608112833,-0.02565552447117698
204.9357,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.010227624590597159,0.014839286716038163,-0.024814395050361378
204.9595,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.019808724641409273,0.01483938033212082,-0.022418288593876803
204.9833,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.012696643172756423,0.01483914779175963,-0.024669400492872876
205.0071,0.6,0,1.1121360712170896,-1.4618836908550163,0.010322958367377679,0.014859489284009165,0.018494944210770123,-0.023755568486185034
205.0309,0.6,0,1.1121360712170896,-1.4603497100671303,0.014264082291814103,0.014702580540318843,0.01757336917808,-0.024182588705988117
205.0547,0.6,0,1.1121360712170896,-1.4618836908550163,0.01979808526239203,0.01385710597721055,0.016045912703295175,-0.024005663280240352
205.0786,0.6,0,1.1121360712170896,-1.4618836908550163,0.02218029208126842,0.004022583010969582,0.015356686971315021,-0.02570737688430006
205.1024,0.6,0,1.1121360712170896,-1.4603497100671303,0.023205754004233116,0.011844377874356597,0.015060944827436166,-0.024862390282153382
205.1262,0.6,0,1.1121360712170896,-1.4618836908550163,0.023647181737172965,0.0068468183617031286,0.014934572044796191,-0.02538989431780906
205.1501,0.6,0,1.1121360712170896,-1.4618836908550163,0.02383720190178821,0.005345413189779325,0.014880336701865024,-0.02557865263368162
205.1744,0.6,0,1.1121360712170896,-1.4603497100671303,0.023918999351893865,0.015958890657125913,0.014856809714837802,-0.02385836721960223
205.2000,0.6,0,1.1121360712170896,-1.4603497100671303,0.023954210472025964,0.020527644690892466,0.01484675349382273,-0.022603526911676608
205.2273,0.6,0,1.1121360712170896,-1.4603497100671303,0.023970513326443392,0.0177544765985204,0.014842076001201646,-0.02337575647595854
205.2521,0.6,0,1.1121360712170896,-1.4618836908550163,0.02397682938627389,0.005130245941794719,0.014840454557417813,-0.0256020114045031
205.2759,0.6,0,1.1121360712170896,-1.4618836908550163,0.02397891334815503,0.00846584762809836,0.014839894746053073,-0.025138797033702108
205.2997,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980001482836463,0.008394871027780474,0.014839518021802875,-0.025150784273864933
205.3235,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980469889136876,0.022009209857948735,0.014839377208434163,-0.022186348513228194
205.3473,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398067152269017,0.014885103369966018,0.014839149807492794,-0.024136293101801674
205.3712,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980758319323295,0.011818409126341198,0.014839183473071445,-0.02486811843465761
205.3949,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398079568242779,0.01632386847951144,0.01483911543382354,-0.02376187817348961
205.4188,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398081176601914,0.018936553611863527,0.014839427725843348,-0.022662033734480662
205.4426,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980818689477837,0.012971082471322132,0.014839238693066472,-0.024605393297316674
205.4663,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980821669799784,0.011414421531980874,0.014839272411821341,-0.024568904879983585
205.4901,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082295273066,0.014307534911702889,0.014839162448382293,-0.024281718153294513
205.5139,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082350499033,0.018693147102817064,0.014839459498563395,-0.022729671949649387
205.5377,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082374272001,0.007783544339300014,0.014839049905659703,-0.025637636793587777
205.5616,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823845054844,0.012247446290860947,0.01483914344541096,-0.02477224827673474
205.5853,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823889106634,0.02052672373355236,0.014839357376397045,-0.022216527235981977
205.6091,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082390806949,0.005988260333859738,0.014839254936589375,-0.025503225018067392
205.6329,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082391554685,0.01865695377559128,0.014839110344417459,-0.023126950679513106
205.6567,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823919451128,0.01713271584864575,0.014839220718257343,-0.023544998753867348
205.6805,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823921131794,0.010364497920432045,0.014838997748190069,-0.025174379416346808
205.7043,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823921855264,0.01682687564846612,0.014839389119541729,-0.023240235230495256
205.7281,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922166702,0.012829098627916789,0.01483916772648072,-0.024251353755565235
205.7518,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922300762,0.00709588815072297,0.014839151505388747,-0.025741642862903806
205.7756,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922358473,0.014021929753329736,0.014839179006529623,-0.02435244897270572
205.7997,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392238331,0.01513748998949985,0.014839348984353537,-0.02368456996301148
205.8236,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922394007,0.006516193082182931,0.014839428024049165,-0.02543523515393222
205.8473,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922398614,0.014041438332165389,0.014839328386139864,-0.02396038488318477
205.8712,0.6,0,1.1121360712170896,-1.4618836908550163,0.0239808239224006,0.008465813462001894,0.014839221783150901,-0.025138790507908473
205.8952,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922401442,0.011716440241888166,0.014839130300402584,-0.02489053572547538
205.9191,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240181,0.018701408897081735,0.014839269304014496,-0.022727369157080384
205.9431,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922401966,0.010945540749092141,0.014839143378068229,-0.025055572931330795
205.9670,0.6,0,1.1121360712170896,-1.4618836908550163,0.023980823922402035,0.012626543342967896,0.014839308510223725,-0.024298364687968168
205.9910,0.6,0,1.1121360712170896,-1.4603497100671303,0.023980823922402066,0.011138664804200941,0.014839179118001745,-0.025015017340004764
206.0149,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.013041835308303655,0.014839328637628726,-0.024201476009613684
206.0388,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.009750503361940764,0.014839304293572435,-0.024907181954636218
206.0628,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.016708142159181594,0.014839242399458615,-0.023659360659919304
206.0867,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.018691898741554497,0.014839193058033131,-0.02311726623227077
206.1106,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.012310114334836728,0.014839285013384398,-0.024370785131693665
206.1348,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.005299100572498174,0.014839140567871379,-0.025970994612251615
206.1586,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.013517519915209497,0.014839271316957961,-0.02408807617680597
206.1823,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.01122970929213,0.014839082304607525,-0.024995688766058514
206.2061,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.018491887183118682,0.014839276825227173,-0.0227854319888914
206.2298,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.008102381833613134,0.014839320263877766,-0.02519925956014899
206.2536,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.014156249727951818,0.01483916073844899,-0.02431927738308269
206.2774,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.021026106184093615,0.014839336091688277,-0.022075911104186018
206.3011,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.01203402395393812,0.014839245936356573,-0.02443296102374629
206.3249,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.016147635295140874,0.014839145525540698,-0.02342130898573356
206.3487,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.016345028234663973,0.01483916737502867,-0.023368986515276073
206.3725,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.016137507711315037,0.014839284231105542,-0.023424003414630933
206.3965,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.0053732860632944674,0.014839338031825593,-0.025575531796549582
206.4203,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.013250511783520784,0.014839183584870342,-0.02453930609552906
206.4441,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.011114771046634647,0.014839054040384913,-0.025020042142650287
206.4679,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.011446491708431058,0.014839195362014272,-0.024949271290731212
206.4916,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.014894556103383179,0.01483934485568139,-0.023746655599628654
206.5154,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.009716887537181095,0.014839293161908561,-0.024913582320343977
206.5391,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.00899709335729748,0.014839448994752522,-0.025046354382952378
206.5629,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.01238311954829088,0.014839301966128017,-0.024354183730203087
206.5867,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.013169647213941775,0.014839131715308776,-0.024558515651783346
206.6104,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.020601406152508724,0.01483921227744303,-0.022582773692561994
206.6342,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.012705708179108792,0.014839437743512837,-0.024280060201473164
206.6580,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.01613783077661683,0.014839370446507641,-0.023423936527559475
206.6818,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.005672367685247852,0.014839300080619039,-0.0259285792119283
206.7056,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.005763352213054715,0.014839201731703531,-0.025917803812385856
206.7294,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.009727773669065838,0.014839232948220562,-0.024911508288255967
206.7536,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.02082832783356624,0.014839275839144864,-0.022131616558698546
206.7779,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.014213628436364437,0.014839195734899278,-0.024305064206186035
206.8023,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.015675727655689926,0.01483915612845007,-0.0239325396663701
206.8266,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.0158493957584327,0.01483925551193278,-0.023499855053053544
206.8523,0.6,0,1.1121360712170896,-1.4603497100671303,0.02398082392240207,0.009670466334481691,0.014839247625894263,-0.025309678926042238
206.8772,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.011519779383748431,0.014839395663939804,-0.02454617387761429
206.9010,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.007380321969905314,0.014839431836407886,-0.025312451889435053
206.9248,0.6,0,1.1121360712170896,-1.4618836908550163,0.02398082392240207,0.011423991954200926,0.01483939159098035,-0.024566868778976708
