Time_s,Phase,Force_N,UR5_Z_m,UR5_displacement_m
0.0009,descent,0.2658,0.099992,0.000008
0.0061,descent,0.2658,0.099990,0.000010
0.0114,descent,0.2658,0.100002,-0.000002
0.0166,descent,0.2658,0.099975,0.000025
0.0218,descent,0.2658,0.099982,0.000018
0.0271,descent,0.2658,0.099980,0.000020
0.0324,descent,0.2658,0.100000,0.000000
0.0377,descent,0.2658,0.099987,0.000013
0.0430,descent,0.2658,0.099990,0.000010
0.0482,descent,0.2658,0.099996,0.000004
0.0534,descent,0.2658,0.099984,0.000016
0.0586,descent,0.2658,0.099990,0.000010
0.0638,descent,0.2658,0.099984,0.000016
0.0691,descent,0.2658,0.099957,0.000043
0.0743,descent,0.2658,0.099987,0.000013
0.0794,descent,0.2658,0.099970,0.000030
0.0845,descent,0.2658,0.099959,0.000041
0.0896,descent,0.2658,0.099952,0.000048
0.0910,descent,0.2666,0.099952,0.000048
0.0962,descent,0.2666,0.099955,0.000045
0.1013,descent,0.2666,0.099957,0.000043
0.1064,descent,0.2666,0.099943,0.000057
0.1115,descent,0.2666,0.099940,0.000060
0.1168,descent,0.2666,0.099945,0.000055
0.1220,descent,0.2666,0.099928,0.000072
0.1273,descent,0.2666,0.099915,0.000085
0.1326,descent,0.2666,0.099911,0.000089
0.1378,descent,0.2666,0.099926,0.000074
0.1431,descent,0.2666,0.099903,0.000097
0.1484,descent,0.2666,0.099884,0.000116
0.1537,descent,0.2666,0.099877,0.000123
0.1589,descent,0.2666,0.099863,0.000137
0.1641,descent,0.2666,0.099860,0.000140
0.1694,descent,0.2666,0.099848,0.000152
0.1747,descent,0.2666,0.099829,0.000171
0.1800,descent,0.2666,0.099832,0.000168
0.1808,descent,0.2684,0.099832,0.000168
0.1860,descent,0.2684,0.099809,0.000191
0.1913,descent,0.2684,0.099795,0.000205
0.1965,descent,0.2684,0.099776,0.000224
0.2017,descent,0.2684,0.099777,0.000223
0.2070,descent,0.2684,0.099747,0.000253
0.2122,descent,0.2684,0.099733,0.000267
0.2174,descent,0.2684,0.099727,0.000273
0.2227,descent,0.2684,0.099712,0.000288
0.2279,descent,0.2684,0.099687,0.000313
0.2331,descent,0.2684,0.099680,0.000320
0.2382,descent,0.2684,0.099663,0.000337
0.2434,descent,0.2684,0.099639,0.000361
0.2486,descent,0.2684,0.099630,0.000370
0.2537,descent,0.2684,0.099612,0.000388
0.2590,descent,0.2684,0.099604,0.000396
0.2643,descent,0.2684,0.099584,0.000416
0.2659,descent,0.2792,0.099574,0.000426
0.2711,descent,0.2792,0.099568,0.000432
0.2763,descent,0.2792,0.099532,0.000468
0.2815,descent,0.2792,0.099519,0.000481
0.2867,descent,0.2792,0.099503,0.000497
0.2918,descent,0.2792,0.099499,0.000501
0.2970,descent,0.2792,0.099489,0.000511
0.3022,descent,0.2792,0.099482,0.000518
0.3074,descent,0.2792,0.099453,0.000547
0.3126,descent,0.2792,0.099457,0.000543
0.3178,descent,0.2792,0.099447,0.000553
0.3231,descent,0.2792,0.099454,0.000546
0.3284,descent,0.2792,0.099435,0.000565
0.3337,descent,0.2792,0.099431,0.000569
0.3390,descent,0.2792,0.099421,0.000579
0.3444,descent,0.2792,0.099421,0.000579
0.3497,descent,0.2792,0.099418,0.000582
0.3550,descent,0.2792,0.099407,0.000593
0.3559,descent,0.3110,0.099391,0.000609
0.3612,descent,0.3110,0.099390,0.000610
0.3665,descent,0.3110,0.099381,0.000619
0.3718,descent,0.3110,0.099358,0.000642
0.3771,descent,0.3110,0.099371,0.000629
0.3823,descent,0.3110,0.099360,0.000640
0.3875,descent,0.3110,0.099332,0.000668
0.3928,descent,0.3110,0.099346,0.000654
0.3981,descent,0.3110,0.099319,0.000681
0.4034,descent,0.3110,0.099314,0.000686
0.4087,descent,0.3110,0.099294,0.000706
0.4140,descent,0.3110,0.099292,0.000708
0.4193,descent,0.3110,0.099272,0.000728
0.4247,descent,0.3110,0.099249,0.000751
0.4300,descent,0.3110,0.099250,0.000750
