Time_s,Phase,Force_N,UR5_Z_m,UR5_displacement_m
0.0055,descent,0.3605,0.099993,0.000007
0.0107,descent,0.3605,0.099992,0.000008
0.0161,descent,0.3605,0.099981,0.000019
0.0214,descent,0.3605,0.099996,0.000004
0.0266,descent,0.3605,0.099986,0.000014
0.0318,descent,0.3605,0.099974,0.000026
0.0362,descent,0.3611,0.099986,0.000014
0.0414,descent,0.3611,0.099981,0.000019
0.0466,descent,0.3611,0.099992,0.000008
0.0518,descent,0.3611,0.099984,0.000016
0.0569,descent,0.3611,0.099990,0.000010
0.0620,descent,0.3611,0.099982,0.000018
0.0672,descent,0.3611,0.099986,0.000014
0.0724,descent,0.3611,0.099976,0.000024
0.0776,descent,0.3611,0.099961,0.000039
0.0828,descent,0.3611,0.099956,0.000044
0.0879,descent,0.3611,0.099964,0.000036
0.0931,descent,0.3611,0.099951,0.000049
0.0983,descent,0.3611,0.099948,0.000052
0.1035,descent,0.3611,0.099946,0.000054
0.1087,descent,0.3611,0.099929,0.000071
0.1139,descent,0.3611,0.099939,0.000061
0.1191,descent,0.3611,0.099924,0.000076
0.1197,descent,0.3610,0.099924,0.000076
0.1248,descent,0.3610,0.099919,0.000081
0.1300,descent,0.3610,0.099918,0.000082
0.1352,descent,0.3610,0.099912,0.000088
0.1404,descent,0.3610,0.099893,0.000107
0.1456,descent,0.3610,0.099894,0.000106
0.1507,descent,0.3610,0.099880,0.000120
0.1559,descent,0.3610,0.099858,0.000142
0.1611,descent,0.3610,0.099853,0.000147
0.1662,descent,0.3610,0.099840,0.000160
0.1714,descent,0.3610,0.099854,0.000146
0.1766,descent,0.3610,0.099837,0.000163
0.1818,descent,0.3610,0.099804,0.000196
0.1870,descent,0.3610,0.099814,0.000186
0.1921,descent,0.3610,0.099804,0.000196
0.1972,descent,0.3610,0.099776,0.000224
0.2023,descent,0.3610,0.099767,0.000233
0.2074,descent,0.3610,0.099759,0.000241
0.2095,descent,0.3623,0.099758,0.000242
0.2146,descent,0.3623,0.099745,0.000255
0.2197,descent,0.3623,0.099722,0.000278
0.2248,descent,0.3623,0.099711,0.000289
0.2299,descent,0.3623,0.099690,0.000310
0.2350,descent,0.3623,0.099672,0.000328
0.2400,descent,0.3623,0.099658,0.000342
0.2451,descent,0.3623,0.099649,0.000351
0.2502,descent,0.3623,0.099630,0.000370
0.2553,descent,0.3623,0.099621,0.000379
0.2604,descent,0.3623,0.099592,0.000408
0.2655,descent,0.3623,0.099590,0.000410
0.2708,descent,0.3623,0.099566,0.000434
0.2760,descent,0.3623,0.099553,0.000447
