Time_s,Phase,Force_N,UR5_Z_m,UR5_displacement_m
0.0053,descent,0.2590,0.099985,0.000015
0.0104,descent,0.2590,0.100003,-0.000003
0.0155,descent,0.2590,0.099994,0.000006
0.0206,descent,0.2590,0.099993,0.000007
0.0257,descent,0.2590,0.100000,-0.000000
0.0308,descent,0.2590,0.100000,0.000000
0.0360,descent,0.2590,0.099989,0.000011
0.0411,descent,0.2590,0.099991,0.000009
0.0462,descent,0.2590,0.099978,0.000022
0.0514,descent,0.2590,0.099974,0.000026
0.0566,descent,0.2590,0.100002,-0.000002
0.0618,descent,0.2590,0.099988,0.000012
0.0670,descent,0.2590,0.099971,0.000029
0.0722,descent,0.2590,0.099976,0.000024
0.0773,descent,0.2590,0.099969,0.000031
0.0793,descent,0.2596,0.099962,0.000038
0.0845,descent,0.2596,0.099959,0.000041
0.0896,descent,0.2596,0.099954,0.000046
0.0948,descent,0.2596,0.099963,0.000037
0.1000,descent,0.2596,0.099952,0.000048
0.1052,descent,0.2596,0.099936,0.000064
0.1104,descent,0.2596,0.099924,0.000076
0.1156,descent,0.2596,0.099932,0.000068
0.1208,descent,0.2596,0.099923,0.000077
0.1259,descent,0.2596,0.099925,0.000075
0.1311,descent,0.2596,0.099899,0.000101
0.1363,descent,0.2596,0.099900,0.000100
0.1414,descent,0.2596,0.099896,0.000104
0.1466,descent,0.2596,0.099892,0.000108
0.1518,descent,0.2596,0.099871,0.000129
0.1569,descent,0.2596,0.099867,0.000133
0.1621,descent,0.2596,0.099857,0.000143
0.1673,descent,0.2596,0.099845,0.000155
0.1692,descent,0.2614,0.099846,0.000154
0.1744,descent,0.2614,0.099821,0.000179
0.1796,descent,0.2614,0.099823,0.000177
0.1847,descent,0.2614,0.099810,0.000190
0.1899,descent,0.2614,0.099789,0.000211
0.1951,descent,0.2614,0.099769,0.000231
0.2003,descent,0.2614,0.099769,0.000231
0.2054,descent,0.2614,0.099758,0.000242
0.2106,descent,0.2614,0.099746,0.000254
0.2158,descent,0.2614,0.099732,0.000268
0.2209,descent,0.2614,0.099729,0.000271
0.2261,descent,0.2614,0.099703,0.000297
0.2312,descent,0.2614,0.099670,0.000330
0.2365,descent,0.2614,0.099670,0.000330
0.2416,descent,0.2614,0.099652,0.000348
0.2468,descent,0.2614,0.099631,0.000369
0.2519,descent,0.2614,0.099625,0.000375
0.2571,descent,0.2614,0.099610,0.000390
0.2592,descent,0.2724,0.099599,0.000401
0.2644,descent,0.2724,0.099590,0.000410
0.2696,descent,0.2724,0.099559,0.000441
0.2749,descent,0.2724,0.099536,0.000464
0.2800,descent,0.2724,0.099539,0.000461
0.2852,descent,0.2724,0.099516,0.000484
0.2904,descent,0.2724,0.099485,0.000515
0.2955,descent,0.2724,0.099487,0.000513
0.3007,descent,0.2724,0.099482,0.000518
0.3059,descent,0.2724,0.099461,0.000539
0.3110,descent,0.2724,0.099457,0.000543
0.3162,descent,0.2724,0.099433,0.000567
0.3214,descent,0.2724,0.099451,0.000549
0.3267,descent,0.2724,0.099436,0.000564
0.3319,descent,0.2724,0.099430,0.000570
0.3372,descent,0.2724,0.099430,0.000570
0.3425,descent,0.2724,0.099422,0.000578
0.3441,descent,0.3026,0.099428,0.000572
0.3493,descent,0.3026,0.099402,0.000598
0.3543,descent,0.3026,0.099406,0.000594
0.3595,descent,0.3026,0.099382,0.000618
