Time_s,Phase,Force_N,UR5_Z_m,UR5_displacement_m
0.0054,descent,0.7160,0.100007,-0.000007
0.0107,descent,0.7160,0.100001,-0.000001
0.0159,descent,0.7160,0.100002,-0.000002
0.0211,descent,0.7160,0.100004,-0.000004
0.0263,descent,0.7160,0.099988,0.000012
0.0314,descent,0.7160,0.099998,0.000002
0.0366,descent,0.7160,0.100007,-0.000007
0.0418,descent,0.7160,0.099990,0.000010
0.0470,descent,0.7160,0.099981,0.000019
0.0521,descent,0.7160,0.099975,0.000025
0.0573,descent,0.7160,0.099988,0.000012
0.0625,descent,0.7160,0.099974,0.000026
0.0631,descent,0.7176,0.099974,0.000026
0.0683,descent,0.7176,0.099986,0.000014
0.0734,descent,0.7176,0.099973,0.000027
0.0785,descent,0.7176,0.099961,0.000039
0.0836,descent,0.7176,0.099961,0.000039
0.0888,descent,0.7176,0.099971,0.000029
0.0939,descent,0.7176,0.099968,0.000032
0.0990,descent,0.7176,0.099949,0.000051
0.1042,descent,0.7176,0.099960,0.000040
0.1094,descent,0.7176,0.099937,0.000063
0.1147,descent,0.7176,0.099931,0.000069
0.1199,descent,0.7176,0.099930,0.000070
0.1251,descent,0.7176,0.099938,0.000062
0.1304,descent,0.7176,0.099912,0.000088
0.1356,descent,0.7176,0.099903,0.000097
0.1408,descent,0.7176,0.099900,0.000100
0.1460,descent,0.7176,0.099882,0.000118
0.1511,descent,0.7176,0.099883,0.000117
0.1531,descent,0.7190,0.099892,0.000108
0.1582,descent,0.7190,0.099879,0.000121
0.1634,descent,0.7190,0.099866,0.000134
0.1685,descent,0.7190,0.099847,0.000153
0.1736,descent,0.7190,0.099842,0.000158
0.1787,descent,0.7190,0.099830,0.000170
0.1838,descent,0.7190,0.099825,0.000175
0.1889,descent,0.7190,0.099792,0.000208
0.1941,descent,0.7190,0.099793,0.000207
0.1993,descent,0.7190,0.099771,0.000229
0.2045,descent,0.7190,0.099769,0.000231
0.2097,descent,0.7190,0.099741,0.000259
0.2148,descent,0.7190,0.099738,0.000262
0.2200,descent,0.7190,0.099727,0.000273
0.2252,descent,0.7190,0.099697,0.000303
0.2303,descent,0.7190,0.099685,0.000315
0.2355,descent,0.7190,0.099670,0.000330
0.2406,descent,0.7190,0.099651,0.000349
0.2430,descent,0.7250,0.099644,0.000356
0.2481,descent,0.7250,0.099642,0.000358
0.2532,descent,0.7250,0.099615,0.000385
0.2583,descent,0.7250,0.099605,0.000395
0.2635,descent,0.7250,0.099586,0.000414
0.2686,descent,0.7250,0.099567,0.000433
0.2739,descent,0.7250,0.099549,0.000451
0.2791,descent,0.7250,0.099521,0.000479
0.2843,descent,0.7250,0.099506,0.000494
0.2896,descent,0.7250,0.099507,0.000493
0.2947,descent,0.7250,0.099494,0.000506
0.2999,descent,0.7250,0.099502,0.000498
0.3052,descent,0.7250,0.099477,0.000523
0.3103,descent,0.7250,0.099463,0.000537
0.3155,descent,0.7250,0.099469,0.000531
0.3207,descent,0.7250,0.099464,0.000536
0.3259,descent,0.7250,0.099454,0.000546
0.3312,descent,0.7250,0.099432,0.000568
0.3332,descent,0.7511,0.099451,0.000549
0.3384,descent,0.7511,0.099430,0.000570
0.3436,descent,0.7511,0.099424,0.000576
0.3487,descent,0.7511,0.099419,0.000581
0.3538,descent,0.7511,0.099419,0.000581
0.3590,descent,0.7511,0.099392,0.000608
0.3642,descent,0.7511,0.099416,0.000584
0.3693,descent,0.7511,0.099397,0.000603
0.3745,descent,0.7511,0.099353,0.000647
0.3797,descent,0.7511,0.099373,0.000627
0.3849,descent,0.7511,0.099338,0.000662
0.3900,descent,0.7511,0.099352,0.000648
0.3952,descent,0.7511,0.099327,0.000673
0.4004,descent,0.7511,0.099316,0.000684
0.4056,descent,0.7511,0.099315,0.000685
0.4108,descent,0.7511,0.099306,0.000694
0.4159,descent,0.7511,0.099290,0.000710
0.4182,descent,0.8048,0.099278,0.000722
0.4234,descent,0.8048,0.099274,0.000726
0.4286,descent,0.8048,0.099254,0.000746
0.4337,descent,0.8048,0.099234,0.000766
0.4389,descent,0.8048,0.099232,0.000768
0.4440,descent,0.8048,0.099196,0.000804
0.4492,descent,0.8048,0.099196,0.000804
0.4544,descent,0.8048,0.099189,0.000811
0.4595,descent,0.8048,0.099173,0.000827
0.4646,descent,0.8048,0.099159,0.000841
0.4697,descent,0.8048,0.099170,0.000830
0.4748,descent,0.8048,0.099129,0.000871
0.4799,descent,0.8048,0.099129,0.000871
0.4850,descent,0.8048,0.099107,0.000893
0.4901,descent,0.8048,0.099103,0.000897
0.4952,descent,0.8048,0.099076,0.000924
0.5004,descent,0.8048,0.099071,0.000929
0.5056,descent,0.8048,0.099065,0.000935
0.5081,descent,0.8615,0.099038,0.000962
0.5133,descent,0.8615,0.099052,0.000948
0.5185,descent,0.8615,0.099022,0.000978
0.5236,descent,0.8615,0.099017,0.000983
0.5288,descent,0.8615,0.098987,0.001013
0.5340,descent,0.8615,0.098985,0.001015
0.5391,descent,0.8615,0.098975,0.001025
0.5443,descent,0.8615,0.098982,0.001018
0.5495,descent,0.8615,0.098954,0.001046
0.5546,descent,0.8615,0.098955,0.001045
0.5598,descent,0.8615,0.098957,0.001043
0.5650,descent,0.8615,0.098944,0.001056
0.5701,descent,0.8615,0.098931,0.001069
0.5753,descent,0.8615,0.098919,0.001081
0.5805,descent,0.8615,0.098914,0.001086
0.5857,descent,0.8615,0.098895,0.001105
0.5910,descent,0.8615,0.098899,0.001101
0.5961,descent,0.8615,0.098877,0.001123
0.5981,descent,0.8965,0.098877,0.001123
0.6032,descent,0.8965,0.098870,0.001130
0.6084,descent,0.8965,0.098854,0.001146
0.6136,descent,0.8965,0.098852,0.001148
0.6189,descent,0.8965,0.098839,0.001161
0.6256,descent,0.8965,0.098832,0.001168
0.6309,descent,0.8965,0.098819,0.001181
0.6361,descent,0.8965,0.098813,0.001187
0.6413,descent,0.8965,0.098793,0.001207
0.6465,descent,0.8965,0.098787,0.001213
0.6517,descent,0.8965,0.098779,0.001221
0.6569,descent,0.8965,0.098772,0.001228
0.6620,descent,0.8965,0.098753,0.001247
0.6672,descent,0.8965,0.098742,0.001258
0.6725,descent,0.8965,0.098730,0.001270
0.6777,descent,0.8965,0.098720,0.001280
0.6829,descent,0.8965,0.098711,0.001289
0.6882,descent,0.9372,0.098707,0.001293
0.6934,descent,0.9372,0.098695,0.001305
0.6986,descent,0.9372,0.098689,0.001311
0.7038,descent,0.9372,0.098667,0.001333
0.7090,descent,0.9372,0.098666,0.001334
0.7142,descent,0.9372,0.098643,0.001357
0.7194,descent,0.9372,0.098647,0.001353
0.7247,descent,0.9372,0.098620,0.001380
0.7323,descent,0.9372,0.098606,0.001394
0.7375,descent,0.9372,0.098602,0.001398
0.7427,descent,0.9372,0.098597,0.001403
0.7479,descent,0.9372,0.098561,0.001439
0.7530,descent,0.9372,0.098562,0.001438
0.7582,descent,0.9372,0.098538,0.001462
0.7634,descent,0.9372,0.098537,0.001463
0.7686,descent,0.9372,0.098517,0.001483
0.7732,descent,0.9786,0.098533,0.001467
0.7784,descent,0.9786,0.098510,0.001490
0.7836,descent,0.9786,0.098474,0.001526
0.7887,descent,0.9786,0.098479,0.001521
0.7939,descent,0.9786,0.098490,0.001510
0.7991,descent,0.9786,0.098461,0.001539
0.8042,descent,0.9786,0.098452,0.001548
0.8094,descent,0.9786,0.098442,0.001558
0.8146,descent,0.9786,0.098416,0.001584
0.8198,descent,0.9786,0.098406,0.001594
0.8249,descent,0.9786,0.098403,0.001597
0.8301,descent,0.9786,0.098391,0.001609
0.8353,descent,0.9786,0.098383,0.001617
0.8405,descent,0.9786,0.098368,0.001632
0.8456,descent,0.9786,0.098365,0.001635
0.8508,descent,0.9786,0.098337,0.001663
0.8560,descent,0.9786,0.098331,0.001669
0.8611,descent,0.9786,0.098338,0.001662
0.8632,descent,1.0148,0.098340,0.001660
0.8683,descent,1.0148,0.098324,0.001676
0.8735,descent,1.0148,0.098306,0.001694
0.8786,descent,1.0148,0.098310,0.001690
0.8836,descent,1.0148,0.098282,0.001718
0.8887,descent,1.0148,0.098284,0.001716
0.8938,descent,1.0148,0.098266,0.001734
0.8989,descent,1.0148,0.098258,0.001742
0.9040,descent,1.0148,0.098249,0.001751
0.9091,descent,1.0148,0.098240,0.001760
0.9141,descent,1.0148,0.098233,0.001767
0.9192,descent,1.0148,0.098212,0.001788
0.9243,descent,1.0148,0.098222,0.001778
0.9294,descent,1.0148,0.098206,0.001794
0.9346,descent,1.0148,0.098200,0.001800
0.9397,descent,1.0148,0.098174,0.001826
0.9449,descent,1.0148,0.098172,0.001828
0.9502,descent,1.0148,0.098160,0.001840
0.9533,descent,1.0501,0.098156,0.001844
0.9585,descent,1.0501,0.098147,0.001853
0.9636,descent,1.0501,0.098133,0.001867
0.9688,descent,1.0501,0.098123,0.001877
0.9740,descent,1.0501,0.098113,0.001887
0.9791,descent,1.0501,0.098102,0.001898
0.9843,descent,1.0501,0.098096,0.001904
0.9895,descent,1.0501,0.098103,0.001897
0.9946,descent,1.0501,0.098077,0.001923
0.9998,descent,1.0501,0.098071,0.001929
1.0050,descent,1.0501,0.098052,0.001948
1.0102,descent,1.0501,0.098047,0.001953
1.0154,descent,1.0501,0.098040,0.001960
1.0206,descent,1.0501,0.098030,0.001970
1.0257,descent,1.0501,0.098016,0.001984
1.0309,descent,1.0501,0.097998,0.002002
1.0361,descent,1.0501,0.097984,0.002016
1.0412,descent,1.0501,0.097985,0.002015
1.0431,descent,1.0850,0.097977,0.002023
1.0482,descent,1.0850,0.097963,0.002037
1.0534,descent,1.0850,0.097944,0.002056
1.0586,descent,1.0850,0.097942,0.002058
