Time_s,Phase,Force_N,UR5_Z_m,UR5_displacement_m
0.0053,descent,0.7828,0.099984,0.000016
0.0063,descent,0.7845,0.099984,0.000016
0.0115,descent,0.7845,0.099993,0.000007
0.0167,descent,0.7845,0.099999,0.000001
0.0218,descent,0.7845,0.099984,0.000016
0.0271,descent,0.7845,0.099989,0.000011
0.0324,descent,0.7845,0.099988,0.000012
0.0376,descent,0.7845,0.099985,0.000015
0.0428,descent,0.7845,0.099978,0.000022
0.0480,descent,0.7845,0.099984,0.000016
0.0532,descent,0.7845,0.099987,0.000013
0.0585,descent,0.7845,0.099975,0.000025
0.0637,descent,0.7845,0.099976,0.000024
0.0689,descent,0.7845,0.099983,0.000017
0.0741,descent,0.7845,0.099968,0.000032
0.0794,descent,0.7845,0.099966,0.000034
0.0846,descent,0.7845,0.099956,0.000044
0.0898,descent,0.7845,0.099963,0.000037
0.0950,descent,0.7845,0.099961,0.000039
0.0965,descent,0.7859,0.099961,0.000039
0.1017,descent,0.7859,0.099954,0.000046
0.1069,descent,0.7859,0.099938,0.000062
0.1121,descent,0.7859,0.099927,0.000073
0.1173,descent,0.7859,0.099927,0.000073
0.1225,descent,0.7859,0.099918,0.000082
0.1277,descent,0.7859,0.099917,0.000083
0.1329,descent,0.7859,0.099906,0.000094
0.1381,descent,0.7859,0.099888,0.000112
0.1434,descent,0.7859,0.099885,0.000115
0.1487,descent,0.7859,0.099892,0.000108
0.1539,descent,0.7859,0.099891,0.000109
0.1591,descent,0.7859,0.099861,0.000139
0.1643,descent,0.7859,0.099840,0.000160
0.1695,descent,0.7859,0.099834,0.000166
0.1747,descent,0.7859,0.099849,0.000151
0.1799,descent,0.7859,0.099806,0.000194
0.1852,descent,0.7859,0.099812,0.000188
0.1864,descent,0.7877,0.099812,0.000188
0.1917,descent,0.7877,0.099780,0.000220
0.1969,descent,0.7877,0.099769,0.000231
0.2021,descent,0.7877,0.099758,0.000242
0.2073,descent,0.7877,0.099764,0.000236
0.2125,descent,0.7877,0.099728,0.000272
0.2177,descent,0.7877,0.099734,0.000266
0.2229,descent,0.7877,0.099712,0.000288
0.2281,descent,0.7877,0.099703,0.000297
0.2333,descent,0.7877,0.099671,0.000329
0.2385,descent,0.7877,0.099659,0.000341
0.2437,descent,0.7877,0.099645,0.000355
0.2489,descent,0.7877,0.099617,0.000383
0.2541,descent,0.7877,0.099605,0.000395
0.2593,descent,0.7877,0.099607,0.000393
0.2646,descent,0.7877,0.099585,0.000415
0.2698,descent,0.7877,0.099567,0.000433
0.2749,descent,0.7877,0.099540,0.000460
0.2762,descent,0.7978,0.099540,0.000460
0.2814,descent,0.7978,0.099521,0.000479
0.2866,descent,0.7978,0.099502,0.000498
0.2918,descent,0.7978,0.099499,0.000501
0.2970,descent,0.7978,0.099476,0.000524
0.3022,descent,0.7978,0.099477,0.000523
0.3074,descent,0.7978,0.099452,0.000548
0.3125,descent,0.7978,0.099468,0.000532
0.3177,descent,0.7978,0.099441,0.000559
0.3230,descent,0.7978,0.099443,0.000557
0.3282,descent,0.7978,0.099438,0.000562
0.3334,descent,0.7978,0.099437,0.000563
0.3386,descent,0.7978,0.099421,0.000579
0.3438,descent,0.7978,0.099430,0.000570
0.3490,descent,0.7978,0.099421,0.000579
0.3542,descent,0.7978,0.099395,0.000605
0.3594,descent,0.7978,0.099396,0.000604
0.3613,descent,0.8317,0.099396,0.000604
0.3665,descent,0.8317,0.099387,0.000613
0.3717,descent,0.8317,0.099378,0.000622
0.3769,descent,0.8317,0.099363,0.000637
0.3821,descent,0.8317,0.099375,0.000625
0.3873,descent,0.8317,0.099336,0.000664
0.3925,descent,0.8317,0.099347,0.000653
0.3977,descent,0.8317,0.099333,0.000667
0.4029,descent,0.8317,0.099302,0.000698
0.4080,descent,0.8317,0.099295,0.000705
0.4132,descent,0.8317,0.099282,0.000718
0.4184,descent,0.8317,0.099272,0.000728
0.4236,descent,0.8317,0.099266,0.000734
0.4288,descent,0.8317,0.099261,0.000739
0.4340,descent,0.8317,0.099239,0.000761
0.4392,descent,0.8317,0.099220,0.000780
0.4443,descent,0.8317,0.099196,0.000804
0.4495,descent,0.8317,0.099184,0.000816
0.4514,descent,0.8886,0.099198,0.000802
0.4566,descent,0.8886,0.099170,0.000830
0.4618,descent,0.8886,0.099157,0.000843
0.4670,descent,0.8886,0.099146,0.000854
0.4722,descent,0.8886,0.099143,0.000857
0.4773,descent,0.8886,0.099139,0.000861
0.4825,descent,0.8886,0.099115,0.000885
0.4877,descent,0.8886,0.099088,0.000912
0.4928,descent,0.8886,0.099093,0.000907
0.4980,descent,0.8886,0.099058,0.000942
0.5032,descent,0.8886,0.099065,0.000935
0.5083,descent,0.8886,0.099059,0.000941
0.5135,descent,0.8886,0.099035,0.000965
0.5187,descent,0.8886,0.099031,0.000969
0.5239,descent,0.8886,0.099005,0.000995
0.5290,descent,0.8886,0.098999,0.001001
0.5342,descent,0.8886,0.098990,0.001010
0.5394,descent,0.8886,0.098988,0.001012
0.5412,descent,0.9395,0.098981,0.001019
0.5464,descent,0.9395,0.098974,0.001026
0.5516,descent,0.9395,0.098949,0.001051
0.5568,descent,0.9395,0.098936,0.001064
0.5619,descent,0.9395,0.098960,0.001040
0.5671,descent,0.9395,0.098933,0.001067
0.5723,descent,0.9395,0.098941,0.001059
0.5775,descent,0.9395,0.098915,0.001085
0.5827,descent,0.9395,0.098914,0.001086
0.5879,descent,0.9395,0.098889,0.001111
0.5930,descent,0.9395,0.098887,0.001113
0.5982,descent,0.9395,0.098860,0.001140
0.6034,descent,0.9395,0.098871,0.001129
0.6086,descent,0.9395,0.098861,0.001139
0.6138,descent,0.9395,0.098842,0.001158
0.6209,descent,0.9395,0.098840,0.001160
0.6262,descent,0.9395,0.098838,0.001162
0.6315,descent,0.9728,0.098809,0.001191
0.6316,descent,0.9728,0.098809,0.001191
0.6369,descent,0.9728,0.098816,0.001184
0.6423,descent,0.9728,0.098799,0.001201
0.6475,descent,0.9728,0.098772,0.001228
0.6547,descent,0.9728,0.098759,0.001241
0.6599,descent,0.9728,0.098756,0.001244
0.6651,descent,0.9728,0.098754,0.001246
0.6703,descent,0.9728,0.098737,0.001263
0.6754,descent,0.9728,0.098723,0.001277
0.6806,descent,0.9728,0.098711,0.001289
0.6857,descent,0.9728,0.098699,0.001301
0.6909,descent,0.9728,0.098689,0.001311
0.6960,descent,0.9728,0.098678,0.001322
0.7012,descent,0.9728,0.098672,0.001328
0.7064,descent,0.9728,0.098656,0.001344
0.7116,descent,0.9728,0.098650,0.001350
0.7164,descent,1.0143,0.098637,0.001363
0.7216,descent,1.0143,0.098610,0.001390
0.7267,descent,1.0143,0.098619,0.001381
0.7319,descent,1.0143,0.098613,0.001387
0.7372,descent,1.0143,0.098580,0.001420
0.7425,descent,1.0143,0.098603,0.001397
0.7478,descent,1.0143,0.098571,0.001429
0.7529,descent,1.0143,0.098562,0.001438
0.7581,descent,1.0143,0.098541,0.001459
0.7633,descent,1.0143,0.098537,0.001463
0.7684,descent,1.0143,0.098524,0.001476
0.7736,descent,1.0143,0.098511,0.001489
0.7788,descent,1.0143,0.098507,0.001493
0.7839,descent,1.0143,0.098491,0.001509
0.7891,descent,1.0143,0.098489,0.001511
0.7943,descent,1.0143,0.098472,0.001528
0.7995,descent,1.0143,0.098481,0.001519
0.8048,descent,1.0143,0.098442,0.001558
0.8063,descent,1.0541,0.098445,0.001555
