Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm
0.0011,descent,0.6598,-0.1552,32.6074,37.5293,-32.9760,-17.8620,0.026558,0.023227,0.084996,0.000004,20.00
0.0017,descent,0.6369,-0.1664,32.6074,37.5293,-32.9760,-17.8620,0.026558,0.023227,0.084996,0.000004,20.00
0.0028,descent,0.6369,-0.1664,32.5195,37.4414,-32.9760,-17.8620,0.026645,0.023333,0.085004,-0.000004,20.00
0.0039,descent,0.6369,-0.1664,32.5195,37.4414,-32.9760,-17.8620,0.026645,0.023333,0.085004,-0.000004,20.00
0.0050,descent,0.6369,-0.1664,32.4316,37.4414,-32.9760,-17.8620,0.026687,0.023376,0.084998,0.000002,20.00
0.0063,descent,0.6369,-0.1664,32.3438,37.3535,-32.9760,-17.8620,0.026774,0.023482,0.084987,0.000013,20.00
0.0073,descent,0.6369,-0.1664,32.3438,37.3535,-32.9760,-17.8620,0.026774,0.023482,0.084987,0.000013,20.00
0.0083,descent,0.6369,-0.1664,32.2559,37.3535,-32.9760,-17.8620,0.026817,0.023526,0.084994,0.000006,20.00
0.0095,descent,0.6369,-0.1664,32.2559,37.3535,-34.3500,-17.8620,0.026856,0.023545,0.084994,0.000006,20.00
0.0105,descent,0.6369,-0.1664,32.2559,37.2656,-34.3500,-19.2360,0.026919,0.023678,0.084988,0.000012,20.00
0.0115,descent,0.6369,-0.1664,32.1680,37.2656,-34.3500,-19.2360,0.026962,0.023722,0.084988,0.000012,20.00
0.0126,descent,0.6369,-0.1664,32.1680,37.2656,-34.3500,-19.2360,0.026962,0.023722,0.084998,0.000002,20.00
0.0138,descent,0.6369,-0.1664,32.0801,37.2656,-34.3500,-19.2360,0.027005,0.023766,0.084998,0.000002,20.00
0.0148,descent,0.6369,-0.1664,32.0801,37.2656,-34.3500,-19.2360,0.027005,0.023766,0.084974,0.000026,20.00
0.0160,descent,0.6369,-0.1664,31.9922,37.1777,-34.3500,-17.8620,0.027073,0.023803,0.084974,0.000026,20.00
0.0171,descent,0.6369,-0.1664,31.9922,37.1777,-34.3500,-17.8620,0.027073,0.023803,0.084992,0.000008,20.00
0.0182,descent,0.6369,-0.1664,31.9922,37.1777,-34.3500,-17.8620,0.027073,0.023803,0.084992,0.000008,20.00
0.0193,descent,0.6369,-0.1664,31.9043,37.1777,-34.3500,-17.8620,0.027116,0.023846,0.084997,0.000003,20.00
0.0204,descent,0.6369,-0.1664,31.9043,37.0898,-34.3500,-19.2360,0.027180,0.023980,0.084989,0.000011,20.00
0.0215,descent,0.6369,-0.1664,31.8164,37.0898,-34.3500,-19.2360,0.027223,0.024024,0.084989,0.000011,20.00
0.0226,descent,0.6369,-0.1664,31.8164,37.0898,-34.3500,-19.2360,0.027223,0.024024,0.084981,0.000019,20.00
0.0237,descent,0.6369,-0.1664,31.7285,37.0898,-34.3500,-19.2360,0.027267,0.024068,0.084981,0.000019,20.00
0.0249,descent,0.6369,-0.1664,31.7285,37.0898,-34.3500,-19.2360,0.027267,0.024068,0.084996,0.000004,20.00
0.0260,descent,0.6369,-0.1664,31.6406,37.0020,-34.3500,-17.8620,0.027335,0.024105,0.084996,0.000004,20.00
0.0271,descent,0.6369,-0.1664,31.6406,37.0020,-34.3500,-17.8620,0.027335,0.024105,0.084989,0.000011,20.00
0.0282,descent,0.6369,-0.1664,31.5527,37.0020,-34.3500,-17.8620,0.027378,0.024149,0.084989,0.000011,20.00
0.0293,descent,0.6369,-0.1664,31.5527,37.0020,-34.3500,-17.8620,0.027378,0.024149,0.084982,0.000018,20.00
0.0305,descent,0.6369,-0.1664,31.5527,37.0020,-34.3500,-17.8620,0.027378,0.024149,0.085001,-0.000001,20.00
0.0315,descent,0.6369,-0.1664,31.5527,36.9141,-34.3500,-17.8620,0.027423,0.024213,0.085001,-0.000001,20.00
0.0327,descent,0.6369,-0.1664,31.4648,36.9141,-34.3500,-17.8620,0.027466,0.024257,0.084977,0.000023,20.00
