Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad
0.0007,descent,0.3362,26.5430,28.0371,17.8620,-9.6180,0.004697,0.021531,0.084990,0.000010,0.1000
0.0018,descent,0.3362,26.6309,28.0371,20.6100,-9.6180,0.004641,0.021534,0.084991,0.000009,0.1000
0.0029,descent,0.3362,26.7188,28.0371,23.3580,-9.6180,0.004584,0.021538,0.084995,0.000005,0.1000
0.0040,descent,0.3362,26.8066,28.0371,26.1060,-9.6180,0.004528,0.021541,0.084995,0.000005,0.1000
0.0051,descent,0.3362,26.8945,28.0371,28.8540,-8.2440,0.004471,0.021490,0.084996,0.000004,0.1000
0.0062,descent,0.3362,26.9824,28.0371,31.6020,-8.2440,0.004415,0.021493,0.084996,0.000004,0.1000
0.0073,descent,0.3362,27.0703,28.0371,35.7240,-8.2440,0.004344,0.021497,0.084992,0.000008,0.1000
0.0084,descent,0.3362,27.1582,28.0371,38.4720,-8.2440,0.004287,0.021500,0.084992,0.000008,0.1000
0.0095,descent,0.3362,27.2461,28.0371,41.2200,-8.2440,0.004231,0.021503,0.084984,0.000016,0.1000
0.0107,descent,0.3061,27.3340,28.0371,43.9680,-8.2440,0.004175,0.021507,0.084984,0.000016,0.1000
0.0119,descent,0.3061,27.4219,28.0371,46.7160,-6.8700,0.004118,0.021456,0.084992,0.000008,0.1000
0.0132,descent,0.3061,27.4219,27.9492,48.0900,-6.8700,0.004100,0.021565,0.084977,0.000023,0.1000
0.0141,descent,0.3061,27.4219,27.9492,48.0900,-6.8700,0.004100,0.021565,0.084977,0.000023,0.1000
0.0153,descent,0.3061,27.5098,27.9492,50.8380,-6.8700,0.004044,0.021568,0.084988,0.000012,0.1000
0.0163,descent,0.3061,27.5977,27.9492,54.9600,-6.8700,0.003973,0.021571,0.084988,0.000012,0.1000
0.0175,descent,0.3061,27.6855,27.9492,57.7080,-6.8700,0.003917,0.021575,0.084986,0.000014,0.1000
0.0184,descent,0.3061,27.7734,27.9492,60.4560,-6.8700,0.003860,0.021578,0.084986,0.000014,0.1000
0.0195,descent,0.3061,27.8613,27.9492,61.8300,-6.8700,0.003818,0.021582,0.084977,0.000023,0.1000
0.0207,descent,0.3061,27.8613,27.9492,63.2040,-6.8700,0.003804,0.021582,0.084977,0.000023,0.1000
0.0218,descent,0.3061,27.9492,27.9492,64.5780,-6.8700,0.003762,0.021585,0.084988,0.000012,0.1000
0.0229,descent,0.3061,27.9492,27.9492,65.9520,-6.8700,0.003747,0.021585,0.084993,0.000007,0.1000
0.0240,descent,0.3061,28.0371,27.9492,65.9520,-5.4960,0.003719,0.021541,0.084993,0.000007,0.1000
0.0251,descent,0.3061,28.1250,27.9492,67.3260,-5.4960,0.003677,0.021545,0.084988,0.000012,0.1000
0.0262,descent,0.3061,28.1250,27.9492,67.3260,-5.4960,0.003677,0.021545,0.084988,0.000012,0.1000
0.0273,descent,0.3061,28.2129,27.9492,68.7000,-5.4960,0.003635,0.021548,0.084986,0.000014,0.1000
0.0284,descent,0.3061,28.2129,27.9492,68.7000,-5.4960,0.003635,0.021548,0.084986,0.000014,0.1000
0.0296,descent,0.3061,28.3008,27.9492,67.3260,-5.4960,0.003622,0.021551,0.084970,0.000030,0.1000
0.0307,descent,0.3061,28.3008,27.9492,67.3260,-5.4960,0.003622,0.021551,0.084970,0.000030,0.1000
0.0318,descent,0.3061,28.3887,27.9492,67.3260,-4.1220,0.003594,0.022129,0.084986,0.000014,0.1000
0.0329,descent,0.3061,28.3887,27.9492,65.9520,-4.1220,0.003608,0.022129,0.084988,0.000012,0.1000
0.0340,descent,0.3061,28.4766,27.9492,65.9520,-4.1220,0.003580,0.022133,0.084988,0.000012,0.1000
0.0351,descent,0.3061,28.4766,27.8613,64.5780,-4.1220,0.003591,0.022242,0.084973,0.000027,0.1000
0.0362,descent,0.3061,28.4766,27.8613,63.2040,-4.1220,0.003606,0.022242,0.084973,0.000027,0.1000
0.0373,descent,0.3061,28.5645,27.8613,60.4560,-4.1220,0.003606,0.022245,0.084985,0.000015,0.1000
0.0384,descent,0.3061,28.5645,27.8613,59.0820,-4.1220,0.003621,0.022245,0.084985,0.000015,0.1000
0.0396,descent,0.3061,28.5645,27.8613,57.7080,-4.1220,0.003635,0.022245,0.084985,0.000015,0.1000
0.0407,descent,0.3061,28.6523,27.8613,56.3340,-4.1220,0.003621,0.022248,0.084985,0.000015,0.1000
0.0418,descent,0.3061,28.6523,27.8613,54.9600,-4.1220,0.003636,0.022248,0.084966,0.000034,0.1000
0.0429,descent,0.3061,28.6523,27.8613,53.5860,-4.1220,0.003650,0.022248,0.084966,0.000034,0.1000
0.0440,descent,0.3061,28.6523,27.8613,52.2120,-4.1220,0.003664,0.022248,0.084966,0.000034,0.1000
0.0451,descent,0.3061,28.6523,27.8613,50.8380,-4.1220,0.003679,0.022248,0.084968,0.000032,0.1000
0.0462,descent,0.3061,28.6523,27.8613,49.4640,-4.1220,0.003693,0.022248,0.084968,0.000032,0.1000
0.0473,descent,0.3061,28.6523,27.8613,45.3420,-2.7480,0.003736,0.037082,0.084958,0.000042,0.1000
0.0484,descent,0.3061,28.7402,27.8613,43.9680,-2.7480,0.003722,0.037086,0.084958,0.000042,0.1000
0.0496,descent,0.3061,28.7402,27.8613,42.5940,-2.7480,0.003737,0.037086,0.084964,0.000036,0.1000
0.0507,descent,0.3061,28.6523,27.8613,39.8460,-2.7480,0.003793,0.037082,0.084964,0.000036,0.1000
0.0518,descent,0.3061,28.6523,27.8613,38.4720,-2.7480,0.003807,0.037082,0.084964,0.000036,0.1000
0.0529,descent,0.3061,28.6523,27.8613,35.7240,-2.7480,0.003836,0.037082,0.084969,0.000031,0.1000
0.0540,descent,0.3061,28.6523,27.8613,34.3500,-2.7480,0.003850,0.037082,0.084969,0.000031,0.1000
0.0551,descent,0.3061,28.6523,27.8613,32.9760,-2.7480,0.003865,0.037082,0.084959,0.000041,0.1000
0.0562,descent,0.3061,28.6523,27.8613,30.2280,-2.7480,0.003893,0.037082,0.084959,0.000041,0.1000
0.0573,descent,0.3061,28.6523,27.8613,27.4800,-2.7480,0.003922,0.037082,0.084959,0.000041,0.1000
0.0584,descent,0.3061,28.6523,27.8613,24.7320,-2.7480,0.003951,0.037082,0.084959,0.000041,0.1000
0.0596,descent,0.3061,28.6523,27.8613,23.3580,-2.7480,0.003965,0.037082,0.084960,0.000040,0.1000
0.0607,descent,0.3061,28.6523,27.8613,21.9840,-2.7480,0.003979,0.037082,0.084960,0.000040,0.1000
0.0618,descent,0.3061,28.6523,27.8613,20.6100,-2.7480,0.003994,0.037082,0.084954,0.000046,0.1000
0.0629,descent,0.3061,28.6523,27.8613,19.2360,-2.7480,0.004008,0.037082,0.084957,0.000043,0.1000
0.0640,descent,0.3061,28.5645,27.8613,17.8620,-2.7480,0.004050,0.037079,0.084957,0.000043,0.1000
0.0651,descent,0.3061,28.5645,27.8613,16.4880,-2.7480,0.004064,0.037079,0.084942,0.000058,0.1000
0.0662,descent,0.3061,28.5645,27.8613,13.7400,-2.7480,0.004093,0.037079,0.084942,0.000058,0.1000
0.0673,descent,0.3061,28.5645,27.9492,10.9920,-1.3740,0.004125,0.126957,0.084943,0.000057,0.1000
0.0684,descent,0.3061,28.5645,27.9492,9.6180,0.0000,0.004139,0.221337,0.084943,0.000057,0.1000
0.0696,descent,0.3061,28.5645,27.9492,8.2440,0.0000,0.004154,0.221337,0.084941,0.000059,0.1000
0.0707,descent,0.3061,28.4766,27.9492,6.8700,1.3740,0.004196,0.126845,0.084941,0.000059,0.1000
0.0718,descent,0.3061,28.4766,27.9492,5.4960,1.3740,0.004217,0.126845,0.084937,0.000063,0.1000
