Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
0.1324,0.0000,0.0000,-0.9016,0.7567
0.1335,0.0000,0.0000,-0.9016,0.7567
0.1347,0.0000,0.0000,-0.8624,0.7567
0.1357,0.0000,0.0000,-0.8624,0.8108
0.1368,0.0000,0.0000,-0.8624,0.8108
0.1379,0.0000,0.0000,-0.8624,0.8108
0.1390,0.0000,0.0000,-0.8624,0.8108
0.1401,0.0000,0.0000,-0.8232,0.8649
0.1412,0.0000,0.0000,-0.8232,0.8649
0.1423,0.0000,0.0000,-0.8232,0.8649
0.1434,0.0000,0.0000,-0.8232,0.8649
0.1446,0.0000,0.0000,-0.8232,0.8649
0.1457,0.0000,0.0000,-0.7840,0.8649
0.1468,0.0000,0.0000,-0.7840,0.9189
0.1479,0.0000,0.0000,-0.7840,0.9189
0.1491,0.0000,0.0000,-0.7840,0.9189
0.1501,0.0000,0.0000,-0.7448,0.9189
0.1512,0.0000,0.0000,-0.7448,0.9189
0.1524,0.0000,0.0000,-0.7448,0.9189
0.1535,0.0000,0.0000,-0.7448,0.9189
0.1547,0.0000,0.0000,-0.7056,0.9189
0.1557,0.0000,0.0000,-0.7056,0.9189
0.1567,0.0000,0.0000,-0.7056,0.9189
0.1579,0.0000,0.0000,-0.7056,0.9189
0.1590,0.0000,0.0000,-0.6664,0.9189
0.1602,0.0000,0.0000,-0.6664,0.9189
0.1612,0.0000,0.0000,-0.6664,0.9189
0.1624,0.0000,0.0000,-0.6664,0.8649
0.1635,0.0000,0.0000,-0.6664,0.8649
0.1646,0.0000,0.0000,-0.6664,0.8649
0.1657,0.0000,0.0000,-0.6272,0.8649
0.1669,0.0000,0.0000,-0.6272,0.8649
0.1680,0.0000,0.0000,-0.6272,0.8649
0.1692,0.0000,0.0000,-0.6272,0.8649
0.1701,0.0000,0.0000,-0.6272,0.8649
0.1713,0.0000,0.0000,-0.5880,0.8108
0.1724,0.0000,0.0000,-0.5880,0.8108
0.1735,0.0000,0.0000,-0.5880,0.8108
0.1746,0.0000,0.0000,-0.5880,0.8108
0.1757,0.0000,0.0000,-0.5880,0.8108
0.1768,0.0000,0.0000,-0.5880,0.8108
0.1780,0.0000,0.0000,-0.5880,0.8108
0.1793,0.0000,0.0000,-0.5880,0.8108
0.1801,0.0000,0.0000,-0.5880,0.8108
0.1812,0.0000,0.0000,-0.5488,0.7567
0.1824,0.0000,0.0000,-0.5488,0.7567
0.1835,0.0000,0.0000,-0.5488,0.7567
0.1847,0.0000,0.0000,-0.5488,0.7567
0.1857,0.0000,0.0000,-0.5488,0.7567
0.1868,0.0000,0.0000,-0.5488,0.7567
0.1883,0.0000,0.0000,-0.5488,0.7027
0.1889,0.0000,0.0000,-0.5488,0.7027
0.1903,0.0000,0.0000,-0.5488,0.7027
0.1912,0.0000,0.0000,-0.5488,0.7027
0.1924,0.0000,0.0000,-0.5488,0.6486
0.1935,0.0000,0.0000,-0.5488,0.6486
0.1947,0.0000,0.0000,-0.5488,0.5946
0.1957,0.0000,0.0000,-0.5488,0.5946
0.1969,0.0000,0.0000,-0.5488,0.5405
0.1980,0.0000,0.0000,-0.5488,0.5405
0.1993,0.0000,0.0000,-0.5488,0.4865
0.2001,0.0000,0.0000,-0.5488,0.4865
0.2013,0.0000,0.0000,-0.5488,0.4324
0.2024,0.0000,0.0000,-0.5488,0.4324
0.2035,0.0000,0.0000,-0.5488,0.3784
0.2047,0.0000,0.0000,-0.5488,0.3784
0.2057,0.0000,0.0000,-0.5488,0.3784
0.2068,0.0000,0.0000,-0.5488,0.3243
0.2083,0.0000,0.0000,-0.5488,0.2703
0.2089,0.0000,0.0000,-0.5488,0.2703
0.2102,0.0000,0.0000,-0.5488,0.2162
0.2113,0.0000,0.0000,-0.5488,0.2162
0.2124,0.0000,0.0000,-0.5488,0.1622
0.2135,0.0000,0.0000,-0.5488,0.1622
0.2147,0.0000,0.0000,-0.5488,0.1622
0.2157,0.0000,0.0000,-0.5488,0.1622
0.2169,0.0000,0.0000,-0.5488,0.1081
0.2180,0.0000,0.0000,-0.5488,0.1081
0.2193,0.0000,0.0000,-0.5488,0.0541
0.2201,0.0000,0.0000,-0.5488,0.0541
0.2213,0.0000,0.0000,-0.5488,0.0000
0.2224,0.0000,0.0000,-0.5488,0.0000
0.2235,0.0000,0.0000,-0.5488,0.0000
0.2247,0.0000,0.0000,-0.5488,-0.0541
0.2257,0.0000,0.0000,-0.5488,-0.0541
0.2269,0.0000,0.0000,-0.5488,-0.0541
0.2280,0.0000,0.0000,-0.5488,-0.1081
0.2292,0.0000,0.0000,-0.5488,-0.1081
0.2301,0.0000,0.0000,-0.5488,-0.1622
0.2313,0.0000,0.0000,-0.5488,-0.1622
0.2324,0.0000,0.0000,-0.5096,-0.1622
0.2335,0.0000,0.0000,-0.5096,-0.2162
0.2346,0.0000,0.0000,-0.5096,-0.2162
0.2357,0.0000,0.0000,-0.5096,-0.2703
0.2368,0.0000,0.0000,-0.5096,-0.2703
0.2383,0.0000,0.0000,-0.4704,-0.3243
0.2390,0.0000,0.0000,-0.4312,-0.3243
0.2403,0.0000,0.0000,-0.3920,-0.3243
0.2413,0.0000,0.0000,-0.3528,-0.3784
0.2424,0.0000,0.0000,-0.3136,-0.3784
0.2435,0.0000,0.0000,-0.3136,-0.3784
0.2447,0.0000,0.0000,-0.2744,-0.3784
0.2457,0.0000,0.0000,-0.2352,-0.4324
0.2469,0.0000,0.0000,-0.1960,-0.4324
0.2480,0.0000,0.0000,-0.1176,-0.4324
0.2493,0.0000,0.0000,-0.0784,-0.4865
0.2501,0.0000,0.0000,-0.0392,-0.4865
0.2512,0.0000,0.0000,0.0000,-0.4865
0.2529,0.0000,0.0000,0.0392,-0.4865
0.2535,0.0000,0.0000,0.0784,-0.5405
0.2545,0.0000,0.0000,0.0784,-0.5405
0.2557,0.0000,0.0000,0.1176,-0.5405
0.2568,0.0000,0.0000,0.1960,-0.5405
0.2579,0.0000,0.0000,0.2352,-0.5405
0.2590,0.0000,0.0000,0.3136,-0.5946
0.2603,0.0000,0.0000,0.3528,-0.5946
0.2612,0.0000,0.0000,0.3920,-0.5946
0.2623,0.0000,0.0000,0.4312,-0.5946
0.2634,0.0000,0.0000,0.4312,-0.6486
0.2645,0.0000,0.0000,0.4704,-0.6486
0.2657,0.0000,0.0000,0.5096,-0.6486
0.2668,0.0000,0.0000,0.5488,-0.6486
0.2679,0.0000,0.0000,0.5880,-0.6486
0.2690,0.0000,0.0000,0.6272,-0.6486
0.2701,0.0000,0.0000,0.6664,-0.6486
0.2712,0.0000,0.0000,0.6664,-0.6486
0.2723,0.0000,0.0000,0.7056,-0.6486
0.2734,0.0000,0.0000,0.7448,-0.6486
0.2745,0.0000,0.0000,0.7840,-0.6486
0.2757,0.0000,0.0000,0.7840,-0.6486
0.2768,0.0000,0.0000,0.8232,-0.6486
0.2779,0.0000,0.0000,0.9016,-0.6486
0.2790,0.0000,0.0000,0.9016,-0.6486
0.2801,0.0000,0.0000,0.9408,-0.6486
0.2812,0.0000,0.0000,0.9408,-0.6486
0.2823,0.0000,0.0000,0.9800,-0.6486
0.2834,0.0000,0.0000,0.9800,-0.6486
0.2845,0.0000,0.0000,1.0192,-0.6486
0.2857,0.0000,0.0000,1.0584,-0.6486
0.2868,0.0000,0.0000,1.0584,-0.6486
0.2879,0.0000,0.0000,1.0976,-0.5946
0.2890,0.0000,0.0000,1.1368,-0.5946
0.2901,0.0000,0.0000,1.1368,-0.5946
0.2912,0.0000,0.0000,1.1760,-0.5946
0.2923,0.0000,0.0000,1.1760,-0.5946
0.2934,0.0000,0.0000,1.2152,-0.5946
0.2945,0.0000,0.0000,1.2152,-0.5946
0.2957,0.0000,0.0000,1.2152,-0.5405
0.2968,0.0000,0.0000,1.2544,-0.5405
0.2979,0.0000,0.0000,1.2544,-0.5405
0.2990,0.0000,0.0000,1.2544,-0.5405
0.3001,0.0000,0.0000,1.2936,-0.5405
0.3012,0.0000,0.0000,1.2936,-0.5405
0.3023,0.0000,0.0000,1.2936,-0.5405
0.3034,0.0000,0.0000,1.3328,-0.4865
0.3045,0.0000,0.0000,1.3328,-0.4865
0.3057,0.0000,0.0000,1.3328,-0.4865
0.3068,0.0000,0.0000,1.3720,-0.4865
0.3079,0.0000,0.0000,1.3720,-0.4324
0.3090,0.0000,0.0000,1.3720,-0.4324
0.3101,0.0000,0.0000,1.3720,-0.4324
0.3112,0.0000,0.0000,1.4112,-0.3784
0.3123,0.0000,0.0000,1.4112,-0.3243
0.3134,0.0000,0.0000,1.4112,-0.2703
0.3145,0.0000,0.0000,1.4112,-0.2703
0.3157,0.0000,0.0000,1.4112,-0.2162
0.3168,0.0000,0.0000,1.4112,-0.2162
0.3179,0.0000,0.0000,1.4112,-0.1081
0.3190,0.0000,0.0000,1.4112,-0.1081
0.3201,0.0000,0.0000,1.4112,-0.0541
0.3212,0.0000,0.0000,1.4112,-0.0541
0.3223,0.0000,0.0000,1.4112,0.0000
0.3234,0.0000,0.0000,1.4112,0.0000
0.3245,0.0000,0.0000,1.4112,0.0541
0.3257,0.0000,0.0000,1.4112,0.1081
0.3268,0.0000,0.0000,1.4112,0.1081
0.3279,0.0000,0.0000,1.4112,0.1622
0.3290,0.0000,0.0000,1.4112,0.2162
0.3301,0.0000,0.0000,1.4112,0.2162
0.3312,0.0000,0.0000,1.4112,0.2703
0.3323,0.0000,0.0000,1.4112,0.2703
0.3334,0.0000,0.0000,1.4112,0.3243
0.3345,0.0000,0.0000,1.4112,0.3243
0.3357,0.0000,0.0000,1.4112,0.3784
0.3368,0.0000,0.0000,1.4112,0.3784
0.3379,0.0000,0.0000,1.4112,0.4324
0.3390,0.0000,0.0000,1.4112,0.4865
0.3401,0.0000,0.0000,1.4112,0.4865
0.3412,0.0000,0.0000,1.4112,0.5405
0.3423,0.0000,0.0000,1.4112,0.5405
0.3434,0.0000,0.0000,1.4112,0.5405
0.3445,0.0000,0.0000,1.4112,0.5946
0.3457,0.0000,0.0000,1.4112,0.6486
0.3475,0.0000,0.0000,1.4112,0.6486
0.3479,0.0000,0.0000,1.4112,0.6486
0.3490,0.0000,0.0000,1.4112,0.7027
0.3501,0.0000,0.0000,1.3720,0.7567
0.3512,0.0000,0.0000,1.3720,0.7567
0.3523,0.0000,0.0000,1.3720,0.7567
0.3534,0.0000,0.0000,1.3720,0.8108
0.3545,0.0000,0.0000,1.3720,0.8108
0.3557,0.0000,0.0000,1.3720,0.8108
0.3568,0.0000,0.0000,1.3720,0.8108
0.3579,0.0000,0.0000,1.3720,0.8649
0.3589,0.0000,0.0000,1.3720,0.8649
0.3601,0.0000,0.0000,1.3720,0.8649
0.3612,0.0000,0.0000,1.3720,0.9189
0.3623,0.0000,0.0000,1.3720,0.9189
0.3634,0.0000,0.0000,1.3720,0.9189
0.3649,0.0000,0.0000,1.3720,0.9189
0.3657,0.0000,0.0000,1.3720,0.9189
0.3668,0.0000,0.0000,1.3328,0.9730
0.3679,0.0000,0.0000,1.3328,0.9730
0.3693,0.0000,0.0000,1.2936,0.9730
0.3701,0.0000,0.0000,1.2544,0.9730
0.3712,0.0000,0.0000,1.2152,0.9730
0.3724,0.0000,0.0000,1.1760,0.9730
0.3735,0.0000,0.0000,1.1368,0.9730
0.3746,0.0000,0.0000,1.0976,0.9730
0.3757,0.0000,0.0000,1.0584,0.9730
0.3768,0.0000,0.0000,1.0192,0.9730
0.3779,0.0000,0.0000,0.9408,0.9730
