Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm,Run
0.0007,descent,0.7943,-0.1154,38.3203,30.4980,0.0000,-8.2440,0.223999,0.022493,0.084968,0.000032,18.58,5
0.0018,descent,0.7943,-0.1154,38.4082,30.4980,1.3740,-8.2440,0.129435,0.022388,0.084968,0.000032,18.58,5
0.0029,descent,0.7943,-0.1154,38.4961,30.4980,1.3740,-8.2440,0.129395,0.022346,0.084995,0.000005,18.58,5
0.0041,descent,0.7943,-0.1154,38.4961,30.4980,2.7480,-6.8700,0.039199,0.022174,0.084995,0.000005,18.58,5
0.0052,descent,0.7943,-0.1154,38.5840,30.4980,2.7480,-6.8700,0.039159,0.022133,0.085011,-0.000011,18.58,5
0.0063,descent,0.7943,-0.1154,38.6719,30.4102,5.4960,-6.8700,0.023464,0.022022,0.084999,0.000001,18.58,5
0.0074,descent,0.7943,-0.1154,38.6719,30.4102,5.4960,-6.8700,0.023464,0.022022,0.084999,0.000001,18.58,5
0.0085,descent,0.7943,-0.1154,38.8477,30.4102,8.2440,-6.8700,0.023197,0.021813,0.084990,0.000010,18.58,5
0.0096,descent,0.7943,-0.1154,38.9355,30.4102,9.6180,-6.8700,0.023068,0.021709,0.084990,0.000010,18.58,5
0.0107,descent,0.7943,-0.1154,39.0234,30.4102,12.3660,-6.8700,0.022849,0.021541,0.084998,0.000002,18.58,5
0.0118,descent,0.7943,-0.1154,39.1992,30.4102,13.7400,-6.8700,0.022681,0.021397,0.084998,0.000002,18.58,5
0.0129,descent,0.7943,-0.1154,39.1992,30.4102,13.7400,-6.8700,0.022681,0.021397,0.084995,0.000005,18.58,5
0.0142,descent,0.7943,-0.1154,39.2871,30.4102,16.4880,-6.8700,0.022462,0.021230,0.084999,0.000001,18.58,5
0.0181,descent,0.7943,-0.1154,39.4629,30.4102,21.9840,-6.8700,0.022027,0.020898,0.084990,0.000010,18.58,5
0.0186,descent,0.7943,-0.1154,39.6387,30.4102,24.7320,-6.8700,0.021771,0.020692,0.084990,0.000010,18.58,5
0.0196,descent,0.7943,-0.1154,39.9023,30.4102,32.9760,-5.4960,0.021058,0.020097,0.084990,0.000010,18.58,5
0.0207,descent,0.7943,-0.1154,39.9902,30.4102,39.8460,-5.4960,0.020576,0.019745,0.084999,0.000001,18.58,5
0.0218,descent,0.7943,-0.1154,40.1660,30.4102,39.8460,-5.4960,0.020500,0.019668,0.084999,0.000001,18.58,5
0.0229,descent,0.7943,-0.1154,40.3418,30.4102,45.3420,-5.4960,0.020070,0.019341,0.084976,0.000024,18.58,5
0.0241,descent,0.7943,-0.1154,40.3418,30.3223,48.0900,-5.4960,0.019930,0.019268,0.084984,0.000016,18.58,5
0.0252,descent,0.7943,-0.1154,40.4297,30.3223,52.2120,-5.4960,0.019627,0.019043,0.084984,0.000016,18.58,5
0.0263,descent,0.7943,-0.1154,40.6055,30.3223,57.7080,-5.4960,0.019198,0.018718,0.084989,0.000011,18.58,5
0.0274,descent,0.7943,-0.1154,40.6934,30.3223,57.7080,-5.4960,0.019161,0.018681,0.084989,0.000011,18.58,5
0.0285,descent,0.7943,-0.1154,40.7812,30.3223,60.4560,-5.4960,0.018948,0.018519,0.084979,0.000021,18.58,5
0.0296,descent,0.7943,-0.1154,40.8691,30.3223,63.2040,-5.4960,0.018734,0.018358,0.084979,0.000021,18.58,5
0.0307,descent,0.7943,-0.1154,40.9570,30.3223,68.7000,-5.4960,0.018345,0.018072,0.084986,0.000014,18.58,5
0.0318,descent,0.7943,-0.1154,41.0449,30.3223,71.4480,-5.4960,0.018132,0.017912,0.084986,0.000014,18.58,5
0.0333,descent,0.7943,-0.1154,41.0449,30.3223,71.4480,-5.4960,0.018132,0.017912,0.084982,0.000018,18.58,5
0.0343,descent,0.7943,-0.1154,41.0449,30.3223,71.4480,-5.4960,0.018132,0.017912,0.084977,0.000023,18.58,5
0.0354,descent,0.7943,-0.1154,41.0449,30.3223,71.4480,-5.4960,0.018132,0.017912,0.084977,0.000023,18.58,5
0.0366,descent,0.7943,-0.1154,41.3965,30.3223,79.6920,-5.4960,0.017460,0.017396,0.084973,0.000027,18.58,5
0.0374,descent,0.7943,-0.1154,41.4844,30.3223,81.0660,-4.1220,0.017275,0.017821,0.084973,0.000027,18.58,5
0.0385,descent,0.7943,-0.1154,41.5723,30.3223,83.8140,-4.1220,0.017064,0.017663,0.084984,0.000016,18.58,5
0.0396,descent,0.7943,-0.1154,41.5723,30.3223,85.1880,-4.1220,0.016976,0.017601,0.084984,0.000016,18.58,5
0.0407,descent,0.7943,-0.1154,41.6602,30.3223,85.1880,-4.1220,0.016941,0.017566,0.084973,0.000027,18.58,5
0.0418,descent,0.7943,-0.1154,41.7480,30.3223,86.5620,-2.7480,0.016756,0.032251,0.084973,0.000027,18.58,5
0.0429,descent,0.7943,-0.1154,41.7480,30.3223,86.5620,-2.7480,0.016756,0.032251,0.084974,0.000026,18.58,5
0.0441,descent,0.7943,-0.1154,41.8359,30.3223,86.5620,-2.7480,0.016721,0.032216,0.084971,0.000029,18.58,5
0.0452,descent,0.7943,-0.1154,41.9238,30.3223,86.5620,-2.7480,0.016686,0.032181,0.084971,0.000029,18.58,5
0.0463,descent,0.7943,-0.1154,42.0117,30.3223,86.5620,-2.7480,0.016651,0.032146,0.084963,0.000037,18.58,5
0.0474,descent,0.7943,-0.1154,42.0117,30.3223,85.1880,-2.7480,0.016738,0.032207,0.084963,0.000037,18.58,5
0.0485,descent,0.7943,-0.1154,42.0996,30.3223,83.8140,-2.7480,0.016791,0.032234,0.084969,0.000031,18.58,5
0.0496,descent,0.7943,-0.1154,42.0996,30.3223,82.4400,-2.7480,0.016878,0.032295,0.084969,0.000031,18.58,5
0.0507,descent,0.7943,-0.1154,42.0996,30.3223,81.0660,-2.7480,0.016965,0.032356,0.084977,0.000023,18.58,5
0.0518,descent,0.7943,-0.1154,42.1875,30.3223,79.6920,-2.7480,0.017018,0.032382,0.084977,0.000023,18.58,5
0.0529,descent,0.7943,-0.1154,42.1875,30.3223,78.3180,-2.7480,0.017105,0.032443,0.084956,0.000044,18.58,5
0.0541,descent,0.7943,-0.1154,42.2754,30.3223,76.9440,-2.7480,0.017157,0.032468,0.084963,0.000037,18.58,5
0.0552,descent,0.7943,-0.1154,42.2754,30.3223,75.5700,-2.7480,0.017244,0.032529,0.084963,0.000037,18.58,5
0.0563,descent,0.7943,-0.1154,42.2754,30.3223,71.4480,-1.3740,0.017445,0.122649,0.084959,0.000041,18.58,5
0.0574,descent,0.7943,-0.1154,42.3633,30.3223,68.7000,-1.3740,0.017584,0.122735,0.084959,0.000041,18.58,5
0.0585,descent,0.7943,-0.1154,42.3633,30.3223,67.3260,-1.3740,0.017671,0.122796,0.084935,0.000065,18.58,5
0.0596,descent,0.7943,-0.1154,42.3633,30.3223,64.5780,0.0000,0.017784,0.217246,0.084935,0.000065,18.58,5
0.0607,descent,0.7943,-0.1154,42.3633,30.3223,63.2040,0.0000,0.017872,0.217307,0.084958,0.000042,18.58,5
0.0618,descent,0.7943,-0.1154,42.3633,30.3223,60.4560,0.0000,0.018046,0.217429,0.084958,0.000042,18.58,5
0.0629,descent,0.7943,-0.1154,42.3633,30.3223,57.7080,0.0000,0.018220,0.217551,0.084939,0.000061,18.58,5
0.0641,descent,0.7943,-0.1154,42.3633,30.3223,56.3340,0.0000,0.018308,0.217612,0.084935,0.000065,18.58,5
0.0652,descent,0.7943,-0.1154,42.3633,30.3223,53.5860,0.0000,0.018482,0.217734,0.084935,0.000065,18.58,5
0.0663,descent,0.7943,-0.1154,42.3633,30.3223,49.4640,0.0000,0.018744,0.217917,0.084940,0.000060,18.58,5
0.0674,descent,0.7943,-0.1154,42.3633,30.3223,46.7160,0.0000,0.018918,0.218038,0.084940,0.000060,18.58,5
0.0685,descent,0.7943,-0.1154,42.3633,30.3223,45.3420,0.0000,0.019005,0.218099,0.084951,0.000049,18.58,5
0.0696,descent,0.7943,-0.1154,42.3633,30.3223,42.5940,0.0000,0.019180,0.218221,0.084951,0.000049,18.58,5
0.0707,descent,0.7943,-0.1154,42.3633,30.4102,39.8460,1.3740,0.019257,0.123754,0.084938,0.000062,18.58,5
0.0718,descent,0.7938,-0.1180,42.3633,30.4102,37.0980,1.3740,0.019431,0.123875,0.084938,0.000062,18.58,5
0.0729,descent,0.7938,-0.1180,42.3633,30.4980,35.7240,1.3740,0.019481,0.123885,0.084939,0.000061,18.58,5
0.0741,descent,0.7938,-0.1180,42.3633,30.5859,32.9760,2.7480,0.019558,0.033809,0.084929,0.000071,18.58,5
0.0752,descent,0.7938,-0.1180,42.2754,30.6738,30.2280,4.1220,0.019672,0.018923,0.084929,0.000071,18.58,5
0.0763,descent,0.7938,-0.1180,42.2754,30.7617,26.1060,6.8700,0.019775,0.018208,0.084928,0.000072,18.58,5
0.0774,descent,0.7938,-0.1180,42.2754,30.8496,23.3580,8.2440,0.019852,0.018173,0.084928,0.000072,18.58,5
0.0785,descent,0.7938,-0.1180,42.2754,31.0254,21.9840,10.9920,0.019745,0.017923,0.084928,0.000072,18.58,5
0.0796,descent,0.7938,-0.1180,42.2754,31.1133,19.2360,13.7400,0.019762,0.017785,0.084928,0.000072,18.58,5
0.0807,descent,0.7938,-0.1180,42.1875,31.2012,17.8620,15.1140,0.019790,0.017727,0.084919,0.000081,18.58,5
0.0818,descent,0.7938,-0.1180,42.1875,31.2891,15.1140,17.8620,0.019807,0.017588,0.084919,0.000081,18.58,5
0.0829,descent,0.7938,-0.1180,42.1875,31.4648,13.7400,20.6100,0.019703,0.017341,0.084935,0.000065,18.58,5
0.0841,descent,0.7938,-0.1180,42.1875,31.5527,12.3660,23.3580,0.019635,0.017143,0.084918,0.000082,18.58,5
0.0852,descent,0.7938,-0.1180,42.0996,31.6406,9.6180,26.1060,0.019691,0.017042,0.084918,0.000082,18.58,5
0.0863,descent,0.7938,-0.1180,42.0996,31.9043,5.4960,31.6020,0.019615,0.016659,0.084907,0.000093,18.58,5
