Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm,Run
0.0007,descent,0.3651,-0.2505,40.8691,13.7988,-37.0980,-12.3660,0.012412,0.014331,0.085012,-0.000012,8.40,5
0.0018,descent,0.3651,-0.2505,40.7812,13.7109,-37.0980,-12.3660,0.012456,0.014382,0.085012,-0.000012,8.40,5
0.0030,descent,0.3651,-0.2505,40.6934,13.7109,-37.0980,-12.3660,0.012477,0.014405,0.085006,-0.000006,8.40,5
0.0040,descent,0.3651,-0.2505,40.6934,13.7109,-37.0980,-13.7400,0.012563,0.014543,0.085006,-0.000006,8.40,5
0.0052,descent,0.3651,-0.2505,40.6934,13.7109,-37.0980,-13.7400,0.012563,0.014543,0.084977,0.000023,8.40,5
0.0063,descent,0.3651,-0.2505,40.6055,13.7109,-37.0980,-13.7400,0.012584,0.014565,0.084977,0.000023,8.40,5
0.0074,descent,0.3651,-0.2505,40.6055,13.7109,-37.0980,-13.7400,0.012584,0.014565,0.084982,0.000018,8.40,5
0.0085,descent,0.3651,-0.2505,40.5176,13.7109,-37.0980,-13.7400,0.012605,0.014587,0.084982,0.000018,8.40,5
0.0096,descent,0.3651,-0.2505,40.5176,13.6230,-37.0980,-13.7400,0.012628,0.014617,0.085012,-0.000012,8.40,5
0.0107,descent,0.3651,-0.2505,40.5176,13.6230,-37.0980,-13.7400,0.012628,0.014617,0.084976,0.000024,8.40,5
0.0120,descent,0.3651,-0.2505,40.4297,13.6230,-37.0980,-15.1140,0.012736,0.014778,0.084976,0.000024,8.40,5
0.0129,descent,0.3651,-0.2505,40.3418,13.5352,-37.0980,-15.1140,0.012781,0.014830,0.084982,0.000018,8.40,5
0.0141,descent,0.3651,-0.2505,40.3418,13.5352,-37.0980,-15.1140,0.012781,0.014830,0.084982,0.000018,8.40,5
0.0153,descent,0.3651,-0.2505,40.2539,13.5352,-37.0980,-15.1140,0.012802,0.014853,0.084993,0.000007,8.40,5
0.0164,descent,0.3651,-0.2505,40.2539,13.5352,-37.0980,-15.1140,0.012802,0.014853,0.084993,0.000007,8.40,5
0.0177,descent,0.3651,-0.2505,40.2539,13.5352,-37.0980,-15.1140,0.012802,0.014853,0.085003,-0.000003,8.40,5
0.0186,descent,0.3651,-0.2505,40.2539,13.5352,-37.0980,-15.1140,0.012802,0.014853,0.085003,-0.000003,8.40,5
0.0196,descent,0.3651,-0.2505,40.2539,13.5352,-37.0980,-15.1140,0.012802,0.014853,0.084977,0.000023,8.40,5
0.0207,descent,0.3651,-0.2505,40.1660,13.4473,-37.0980,-16.4880,0.012934,0.015044,0.084982,0.000018,8.40,5
0.0218,descent,0.3651,-0.2505,40.0781,13.4473,-37.0980,-16.4880,0.012955,0.015067,0.084982,0.000018,8.40,5
0.0229,descent,0.3651,-0.2505,39.9902,13.3594,-35.7240,-16.4880,0.012895,0.015032,0.084989,0.000011,8.40,5
0.0240,descent,0.3651,-0.2505,39.9902,13.3594,-35.7240,-16.4880,0.012895,0.015032,0.084989,0.000011,8.40,5
0.0252,descent,0.3651,-0.2505,39.9023,13.3594,-37.0980,-16.4880,0.013021,0.015142,0.084985,0.000015,8.40,5
0.0263,descent,0.3651,-0.2505,39.9023,13.3594,-35.7240,-16.4880,0.012916,0.015054,0.084985,0.000015,8.40,5
0.0274,descent,0.3651,-0.2505,39.8145,13.2715,-37.0980,-17.8620,0.013153,0.015334,0.084986,0.000014,8.40,5
0.0285,descent,0.4322,-0.2485,39.8145,13.2715,-35.7240,-17.8620,0.013048,0.015246,0.084986,0.000014,8.40,5
0.0296,descent,0.4322,-0.2485,39.8145,13.2715,-35.7240,-17.8620,0.013048,0.015246,0.084977,0.000023,8.40,5
0.0308,descent,0.4322,-0.2485,39.7266,13.2715,-35.7240,-17.8620,0.013069,0.015269,0.084977,0.000023,8.40,5
0.0319,descent,0.4322,-0.2485,39.7266,13.2715,-35.7240,-17.8620,0.013069,0.015269,0.084977,0.000023,8.40,5
0.0331,descent,0.4322,-0.2485,39.7266,13.2715,-35.7240,-17.8620,0.013069,0.015269,0.084977,0.000023,8.40,5
0.0341,descent,0.4322,-0.2485,39.7266,13.2715,-35.7240,-17.8620,0.013069,0.015269,0.084977,0.000023,8.40,5
0.0352,descent,0.4322,-0.2485,39.5508,13.1836,-35.7240,-17.8620,0.013135,0.015344,0.084967,0.000033,8.40,5
0.0363,descent,0.4322,-0.2485,39.5508,13.0957,-35.7240,-17.8620,0.013159,0.015374,0.084967,0.000033,8.40,5
0.0373,descent,0.4322,-0.2485,39.5508,13.0957,-35.7240,-17.8620,0.013159,0.015374,0.084980,0.000020,8.40,5
0.0385,descent,0.4322,-0.2485,39.4629,13.0957,-35.7240,-17.8620,0.013180,0.015397,0.084980,0.000020,8.40,5
0.0396,descent,0.4322,-0.2485,39.3750,13.0957,-35.7240,-17.8620,0.013202,0.015420,0.084980,0.000020,8.40,5
0.0407,descent,0.4322,-0.2485,39.3750,13.0078,-35.7240,-17.8620,0.013225,0.015450,0.084965,0.000035,8.40,5
0.0418,descent,0.4322,-0.2485,39.2871,13.0078,-35.7240,-17.8620,0.013246,0.015472,0.084965,0.000035,8.40,5
0.0429,descent,0.4322,-0.2485,39.2871,13.0078,-35.7240,-17.8620,0.013246,0.015472,0.084965,0.000035,8.40,5
0.0440,descent,0.4322,-0.2485,39.1992,13.0078,-35.7240,-17.8620,0.013268,0.015495,0.084965,0.000035,8.40,5
0.0451,descent,0.4322,-0.2485,39.1992,12.9199,-35.7240,-17.8620,0.013291,0.015525,0.084978,0.000022,8.40,5
0.0463,descent,0.4322,-0.2485,39.1113,12.9199,-35.7240,-17.8620,0.013313,0.015548,0.084978,0.000022,8.40,5
0.0473,descent,0.4322,-0.2485,39.1113,12.9199,-35.7240,-17.8620,0.013313,0.015548,0.084963,0.000037,8.40,5
0.0485,descent,0.4322,-0.2485,39.1113,12.9199,-35.7240,-17.8620,0.013313,0.015548,0.084963,0.000037,8.40,5
0.0496,descent,0.4322,-0.2485,39.0234,12.8320,-35.7240,-19.2360,0.013446,0.015742,0.084960,0.000040,8.40,5
0.0507,descent,0.4322,-0.2485,39.0234,12.8320,-35.7240,-19.2360,0.013446,0.015742,0.084965,0.000035,8.40,5
0.0518,descent,0.4322,-0.2485,38.9355,12.8320,-35.7240,-19.2360,0.013468,0.015765,0.084965,0.000035,8.40,5
0.0529,descent,0.4322,-0.2485,38.8477,12.7441,-37.0980,-19.2360,0.013619,0.015907,0.084953,0.000047,8.40,5
0.0540,descent,0.4322,-0.2485,38.8477,12.7441,-37.0980,-19.2360,0.013619,0.015907,0.084953,0.000047,8.40,5
0.0551,descent,0.4322,-0.2485,38.8477,12.7441,-35.7240,-19.2360,0.013513,0.015818,0.084960,0.000040,8.40,5
0.0563,descent,0.4322,-0.2485,38.8477,12.7441,-35.7240,-19.2360,0.013513,0.015818,0.084960,0.000040,8.40,5
0.0573,descent,0.4322,-0.2485,38.7598,12.6562,-35.7240,-19.2360,0.013558,0.015871,0.084960,0.000040,8.40,5
0.0585,descent,0.4322,-0.2485,38.7598,12.6562,-35.7240,-19.2360,0.013558,0.015871,0.084960,0.000040,8.40,5
0.0596,descent,0.4322,-0.2485,38.6719,12.6562,-35.7240,-19.2360,0.013580,0.015894,0.084957,0.000043,8.40,5
0.0607,descent,0.4322,-0.2485,38.6719,12.6562,-35.7240,-19.2360,0.013580,0.015894,0.084954,0.000046,8.40,5
0.0618,descent,0.4322,-0.2485,38.5840,12.5684,-35.7240,-20.6100,0.013714,0.016089,0.084954,0.000046,8.40,5
0.0629,descent,0.4322,-0.2485,38.5840,12.5684,-35.7240,-20.6100,0.013714,0.016089,0.084951,0.000049,8.40,5
0.0640,descent,0.4322,-0.2485,38.4961,12.5684,-35.7240,-19.2360,0.013646,0.015970,0.084951,0.000049,8.40,5
0.0652,descent,0.4322,-0.2485,38.4961,12.4805,-35.7240,-20.6100,0.013760,0.016143,0.084935,0.000065,8.40,5
0.0663,descent,0.4322,-0.2485,38.4082,12.4805,-35.7240,-20.6100,0.013781,0.016166,0.084935,0.000065,8.40,5
0.0673,descent,0.4322,-0.2485,38.4082,12.4805,-35.7240,-20.6100,0.013781,0.016166,0.084948,0.000052,8.40,5
0.0685,descent,0.4322,-0.2485,38.3203,12.4805,-35.7240,-20.6100,0.013803,0.016189,0.084948,0.000052,8.40,5
0.0696,descent,0.4322,-0.2485,38.3203,12.3926,-35.7240,-20.6100,0.013827,0.016219,0.084935,0.000065,8.40,5
0.0707,descent,0.4322,-0.2485,38.3203,12.3926,-35.7240,-20.6100,0.013827,0.016219,0.084933,0.000067,8.40,5
0.0718,descent,0.4322,-0.2485,38.2324,12.3926,-35.7240,-20.6100,0.013848,0.016242,0.084933,0.000067,8.40,5
0.0729,descent,0.4322,-0.2485,38.2324,12.3047,-35.7240,-20.6100,0.013872,0.016273,0.084938,0.000062,8.40,5
0.0740,descent,0.4322,-0.2485,38.1445,12.3047,-35.7240,-20.6100,0.013894,0.016296,0.084938,0.000062,8.40,5
0.0752,descent,0.4322,-0.2485,38.1445,12.3047,-35.7240,-20.6100,0.013894,0.016296,0.084926,0.000074,8.40,5
0.0764,descent,0.4322,-0.2485,38.1445,12.3047,-34.3500,-20.6100,0.013787,0.016206,0.084926,0.000074,8.40,5
