Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_task_Nm,Param,Mode
0.0008,descent,0.5553,86.3086,11.2500,-1.3740,8.2440,0.136955,0.017997,0.085003,-0.000003,99.995927,1000,sigmoid
0.0019,descent,0.5553,86.3086,11.3379,-4.1220,9.6180,0.031839,0.017616,0.084987,0.000013,99.995863,1000,sigmoid
0.0030,descent,0.5553,86.3086,11.5137,-5.4960,12.3660,0.030436,0.016548,0.084987,0.000013,99.995863,1000,sigmoid
0.0041,descent,0.5553,86.2207,11.6016,-6.8700,13.7400,0.030450,0.016417,0.084981,0.000019,99.995837,1000,sigmoid
0.0052,descent,0.5553,86.2207,11.6895,-8.2440,16.4880,0.030029,0.015841,0.084998,0.000002,99.995907,1000,sigmoid
0.0064,descent,0.5553,86.2207,11.9531,-9.6180,21.9840,0.028699,0.014096,0.084998,0.000002,99.995907,1000,sigmoid
0.0074,descent,0.5553,86.1328,12.1289,-10.9920,26.1060,0.028166,0.013288,0.084977,0.000023,99.995820,1000,sigmoid
0.0085,descent,0.5553,86.1328,12.2168,-12.3660,28.8540,0.027745,0.012711,0.084977,0.000023,99.995820,1000,sigmoid
0.0096,descent,0.5553,86.1328,12.3926,-13.7400,31.6020,0.026972,0.011643,0.084994,0.000006,99.995891,1000,sigmoid
0.0107,descent,0.5553,86.1328,12.4805,-13.7400,35.7240,0.026316,0.010873,0.084994,0.000006,99.995891,1000,sigmoid
0.0119,descent,0.5553,86.1328,12.6562,-15.1140,39.8460,0.025441,0.009712,0.084989,0.000011,99.995869,1000,sigmoid
0.0130,descent,0.5553,86.1328,12.7441,-15.1140,42.5940,0.024887,0.009035,0.084989,0.000011,99.995869,1000,sigmoid
0.0141,descent,0.5553,86.1328,12.9199,-15.1140,46.7160,0.023879,0.007773,0.084983,0.000017,99.995844,1000,sigmoid
0.0152,descent,0.5553,86.1328,13.0078,-15.1140,50.8380,0.023223,0.007003,0.084991,0.000009,99.995875,1000,sigmoid
0.0163,descent,0.5553,86.1328,13.2715,-15.1140,57.7080,0.021662,0.005064,0.084991,0.000009,99.995875,1000,sigmoid
0.0174,descent,0.5553,86.0449,13.4473,-15.1140,61.8300,0.020997,0.004155,0.084992,0.000008,99.995880,1000,sigmoid
0.0186,descent,0.5553,86.0449,13.5352,-15.1140,65.9520,0.020342,0.003385,0.084992,0.000008,99.995880,1000,sigmoid
0.0196,descent,0.5553,86.0449,13.6230,-15.1140,70.0740,0.019688,0.002616,0.084975,0.000025,99.995811,1000,sigmoid
0.0207,descent,0.5553,86.0449,13.7109,-15.1140,72.8220,0.019134,0.001939,0.084975,0.000025,99.995811,1000,sigmoid
0.0219,descent,0.5553,86.0449,13.8867,-15.1140,76.9440,0.018129,0.000677,0.084992,0.000008,99.995880,1000,sigmoid
0.0230,descent,0.5553,86.0449,13.9746,-15.1140,81.0660,0.017474,-0.000092,0.084992,0.000008,99.995880,1000,sigmoid
0.0241,descent,0.5553,86.0449,14.0625,-15.1140,85.1880,0.016820,-0.000861,0.085005,-0.000005,99.995934,1000,sigmoid
0.0252,descent,0.5553,86.0449,14.1504,-15.1140,87.9360,0.016268,-0.001538,0.084978,0.000022,99.995822,1000,sigmoid
