Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0011,0.5000,1.013975,1.047631,1.050766,0.081117,43.5059,44.3848,0.499909,0.499990,0.499990
0.0022,0.5000,1.013739,1.047631,1.050766,0.081117,43.5059,44.3848,0.499819,0.499979,0.499979
0.0033,0.5000,1.015571,1.047631,1.050766,0.081117,43.5059,44.2969,0.499729,0.499969,0.499969
0.0045,0.5000,1.017407,1.047631,1.050766,0.081117,43.5059,44.2090,0.499638,0.499958,0.499958
0.0055,0.5000,1.017171,1.047631,1.050766,0.081117,43.5059,44.2090,0.499548,0.499948,0.499948
0.0074,0.5000,1.016934,1.047631,1.050766,0.081117,43.5059,44.2090,0.499458,0.499937,0.499937
0.0078,0.5000,1.016697,1.047631,1.050766,0.081117,43.5059,44.2090,0.499368,0.499926,0.499926
0.0089,0.5000,1.018536,1.047631,1.050766,0.081117,43.5059,44.1211,0.499278,0.499916,0.499916
0.0100,0.5000,1.018299,1.047631,1.050766,0.081117,43.5059,44.1211,0.499188,0.499905,0.499905
0.0111,0.5000,1.018062,1.047631,1.050766,0.081117,43.5059,44.1211,0.499098,0.499894,0.499894
0.0122,0.5000,1.017825,1.047631,1.050766,0.081117,43.5059,44.1211,0.499008,0.499883,0.499883
0.0133,0.5000,1.019667,1.047631,1.050766,0.081117,43.5059,44.0332,0.498918,0.499872,0.499872
0.0145,0.5000,1.019429,1.047631,1.050766,0.081117,43.5059,44.0332,0.498828,0.499861,0.499861
0.0157,0.5000,1.021275,1.047631,1.050766,0.081117,43.5059,43.9453,0.498738,0.499850,0.499850
0.0167,0.5000,1.021037,1.047631,1.050766,0.081117,43.5059,43.9453,0.498649,0.499838,0.499838
0.0178,0.5000,1.020798,1.047631,1.050766,0.081117,43.5059,43.9453,0.498559,0.499827,0.499827
0.0189,0.5000,1.020560,1.047631,1.050766,0.081117,43.5059,43.9453,0.498469,0.499816,0.499816
0.0200,0.5000,1.022408,1.047631,1.050766,0.081117,43.5059,43.8574,0.498380,0.499804,0.499804
0.0211,0.5000,1.022170,1.047631,1.050766,0.081117,43.5059,43.8574,0.498291,0.499793,0.499793
0.0222,0.5000,1.021931,1.047631,1.050766,0.081117,43.5059,43.8574,0.498201,0.499781,0.499781
0.0233,0.5000,1.023782,1.047631,1.050766,0.081117,43.5059,43.7695,0.498112,0.499770,0.499770
0.0245,0.5000,1.023543,1.047631,1.050766,0.081117,43.5059,43.7695,0.498023,0.499758,0.499758
0.0256,0.5000,1.027493,1.047631,1.050766,0.081117,43.5059,43.5937,0.497934,0.499746,0.499746
0.0270,0.5000,1.027253,1.047631,1.050766,0.081117,43.5059,43.5937,0.497845,0.499734,0.499734
0.0279,0.5000,1.024874,1.047631,1.050766,0.081117,43.5937,43.5937,0.497756,0.499722,0.499722
