Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0011,0.5000,0.949340,1.228888,1.233009,-0.100729,48.7793,41.6602,0.499907,0.499978,0.499978
0.0022,0.5000,0.946769,1.228888,1.233009,-0.100729,48.8672,41.6602,0.499813,0.499955,0.499955
0.0033,0.5000,0.946506,1.228888,1.233009,-0.100729,48.8672,41.6602,0.499720,0.499933,0.499933
0.0045,0.5000,0.941618,1.228888,1.233009,-0.100729,49.0430,41.6602,0.499628,0.499910,0.499910
0.0056,0.5000,0.939038,1.228888,1.233009,-0.100729,49.1309,41.6602,0.499536,0.499888,0.499888
0.0067,0.5000,0.938778,1.228888,1.233009,-0.100729,49.1309,41.6602,0.499444,0.499865,0.499865
0.0078,0.5000,0.933707,1.228888,1.233009,-0.100729,49.2188,41.7480,0.499352,0.499843,0.499843
0.0090,0.5000,0.933451,1.228888,1.233009,-0.100729,49.2188,41.7480,0.499260,0.499821,0.499821
0.0100,0.5000,0.930862,1.228888,1.233009,-0.100729,49.3066,41.7480,0.499168,0.499798,0.499798
0.0111,0.5000,0.928117,1.228888,1.233009,-0.100729,49.3066,41.8359,0.499077,0.499776,0.499776
0.0122,0.5000,0.925522,1.228888,1.233009,-0.100729,49.3945,41.8359,0.498985,0.499755,0.499755
0.0133,0.5000,0.925269,1.228888,1.233009,-0.100729,49.3945,41.8359,0.498894,0.499733,0.499733
0.0145,0.5000,0.920176,1.228888,1.233009,-0.100729,49.4824,41.9238,0.498803,0.499711,0.499711
0.0156,0.5000,0.917433,1.228888,1.233009,-0.100729,49.4824,42.0117,0.498711,0.499689,0.499689
0.0167,0.5000,0.917185,1.228888,1.233009,-0.100729,49.4824,42.0117,0.498620,0.499668,0.499668
0.0178,0.5000,0.914577,1.228071,1.231139,-0.086865,49.5703,42.0117,0.498529,0.499647,0.499647
0.0189,0.5000,0.914330,1.228071,1.231139,-0.086865,49.5703,42.0117,0.498438,0.499625,0.499625
0.0200,0.5000,0.909222,1.228071,1.231139,-0.086865,49.6582,42.0996,0.498348,0.499604,0.499604
0.0211,0.5000,0.908978,1.228071,1.231139,-0.086865,49.6582,42.0996,0.498257,0.499583,0.499583
0.0223,0.5000,0.906239,1.228071,1.231139,-0.086865,49.6582,42.1875,0.498166,0.499562,0.499562
0.0234,0.5000,0.905996,1.228071,1.231139,-0.086865,49.6582,42.1875,0.498075,0.499541,0.499541
0.0245,0.5000,0.905753,1.228071,1.231139,-0.086865,49.6582,42.1875,0.497984,0.499520,0.499520
0.0256,0.5000,0.900534,1.228071,1.231139,-0.086865,49.6582,42.3633,0.497893,0.499500,0.499500
0.0267,0.5000,0.900295,1.228071,1.231139,-0.086865,49.6582,42.3633,0.497801,0.499480,0.499480
0.0278,0.5000,0.900055,1.228071,1.231139,-0.086865,49.6582,42.3633,0.497710,0.499459,0.499459
0.0289,0.5000,0.897333,1.228071,1.231139,-0.086865,49.6582,42.4512,0.497619,0.499439,0.499439
0.0300,0.5000,0.897095,1.228071,1.231139,-0.086865,49.6582,42.4512,0.497527,0.499419,0.499419
0.0311,0.5000,0.896856,1.228071,1.231139,-0.086865,49.6582,42.4512,0.497436,0.499399,0.499399
0.0322,0.5000,0.894141,1.228071,1.231139,-0.086865,49.6582,42.5391,0.497344,0.499380,0.499380
0.0334,0.5000,0.893904,1.228071,1.231139,-0.086865,49.6582,42.5391,0.497252,0.499360,0.499360
0.0345,0.5000,0.893667,1.228071,1.231139,-0.086865,49.6582,42.5391,0.497160,0.499340,0.499340
0.0356,0.5000,0.893430,1.228071,1.231139,-0.086865,49.6582,42.5391,0.497069,0.499320,0.499320
0.0367,0.5000,0.890722,1.228071,1.231139,-0.086865,49.6582,42.6270,0.496977,0.499301,0.499301
0.0378,0.5000,0.890487,1.228071,1.231139,-0.086865,49.6582,42.6270,0.496885,0.499281,0.499281
0.0389,0.5000,0.890251,1.228071,1.231139,-0.086865,49.6582,42.6270,0.496793,0.499262,0.499262
0.0400,0.5000,0.890016,1.228071,1.231139,-0.086865,49.6582,42.6270,0.496701,0.499242,0.499242
0.0411,0.5000,0.889780,1.228071,1.231139,-0.086865,49.6582,42.6270,0.496609,0.499223,0.499223
0.0423,0.5000,0.891935,1.228071,1.231139,-0.086865,49.5703,42.6270,0.496517,0.499204,0.499204
0.0434,0.5000,0.891698,1.228071,1.231139,-0.086865,49.5703,42.6270,0.496425,0.499184,0.499184
0.0445,0.5000,0.889004,1.228071,1.231139,-0.086865,49.5703,42.7148,0.496332,0.499165,0.499165
0.0456,0.5000,0.888769,1.228071,1.231139,-0.086865,49.5703,42.7148,0.496240,0.499146,0.499146
0.0467,0.5000,0.888533,1.228071,1.231139,-0.086865,49.5703,42.7148,0.496148,0.499126,0.499126
0.0478,0.5000,0.890686,1.228071,1.231139,-0.086865,49.4824,42.7148,0.496055,0.499107,0.499107
0.0489,0.5000,0.890449,1.228071,1.231139,-0.086865,49.4824,42.7148,0.495962,0.499088,0.499088
0.0500,0.5000,0.890213,1.228071,1.231139,-0.086865,49.4824,42.7148,0.495869,0.499069,0.499069
0.0511,0.5000,0.889976,1.228071,1.231139,-0.086865,49.4824,42.7148,0.495776,0.499050,0.499050
0.0522,0.5000,0.892187,1.228071,1.231139,-0.086865,49.4824,42.6270,0.495684,0.499030,0.499030
0.0534,0.5000,0.891949,1.228071,1.231139,-0.086865,49.4824,42.6270,0.495591,0.499011,0.499011
0.0545,0.5000,0.891644,1.228071,1.231139,-0.086865,49.3945,42.7148,0.495498,0.498992,0.498992
0.0557,0.5000,0.891407,1.228071,1.231139,-0.086865,49.3945,42.7148,0.495405,0.498972,0.498972
0.0567,0.5000,0.893608,1.228071,1.231139,-0.086865,49.3945,42.6270,0.495312,0.498953,0.498953
0.0579,0.5000,0.895735,1.228071,1.231139,-0.086865,49.3066,42.6270,0.495218,0.498934,0.498934
0.0589,0.5000,0.895495,1.228071,1.231139,-0.086865,49.3066,42.6270,0.495125,0.498914,0.498914
0.0600,0.5000,0.895254,1.228071,1.231139,-0.086865,49.3066,42.6270,0.495032,0.498895,0.498895
0.0611,0.5000,0.892584,1.228071,1.231139,-0.086865,49.3066,42.7148,0.494938,0.498876,0.498876
0.0622,0.5000,0.892345,1.228071,1.231139,-0.086865,49.3066,42.7148,0.494845,0.498856,0.498856
0.0633,0.5000,0.894535,1.228071,1.231139,-0.086865,49.3066,42.6270,0.494751,0.498837,0.498837
0.0645,0.5000,0.894230,1.228071,1.231139,-0.086865,49.2188,42.7148,0.494658,0.498818,0.498818
0.0656,0.5000,0.896411,1.228071,1.231139,-0.086865,49.2188,42.6270,0.494564,0.498798,0.498798
0.0667,0.5000,0.896170,1.228071,1.231139,-0.086865,49.2188,42.6270,0.494470,0.498779,0.498779
0.0678,0.5000,0.895928,1.228071,1.231139,-0.086865,49.2188,42.6270,0.494376,0.498759,0.498759
0.0689,0.5000,0.895687,1.228071,1.231139,-0.086865,49.2188,42.6270,0.494283,0.498740,0.498740
0.0700,0.5000,0.895445,1.228071,1.231139,-0.086865,49.2188,42.6270,0.494189,0.498721,0.498721
0.0712,0.5000,0.892785,1.228071,1.231139,-0.086865,49.2188,42.7148,0.494095,0.498701,0.498701
0.0722,0.5000,0.892545,1.228071,1.231139,-0.086865,49.2188,42.7148,0.494001,0.498682,0.498682
0.0734,0.5000,0.894722,1.228071,1.231139,-0.086865,49.2188,42.6270,0.493908,0.498663,0.498663
0.0745,0.5000,0.894480,1.228071,1.231139,-0.086865,49.2188,42.6270,0.493814,0.498643,0.498643
0.0758,0.5000,0.896585,1.228071,1.231139,-0.086865,49.1309,42.6270,0.493720,0.498624,0.498624
