Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_task_Nm,Param,Mode
0.0008,descent,0.2837,53.8770,7.2070,-17.8620,-21.9840,0.012346,0.013642,0.084993,0.000007,10.000000,1,polynomial
0.0019,descent,0.2837,53.8770,7.1191,-17.8620,-21.9840,0.012378,0.013683,0.084977,0.000023,10.000000,1,polynomial
0.0030,descent,0.2837,53.7891,7.1191,-19.2360,-21.9840,0.012542,0.013817,0.084978,0.000022,10.000000,1,polynomial
0.0041,descent,0.2837,53.7012,7.1191,-19.2360,-21.9840,0.012571,0.013848,0.084978,0.000022,10.000000,1,polynomial
0.0052,descent,0.2837,53.7012,6.9434,-19.2360,-21.9840,0.012634,0.013930,0.084996,0.000004,10.000000,1,polynomial
0.0063,descent,0.2837,53.7012,6.9434,-19.2360,-21.9840,0.012634,0.013930,0.084996,0.000004,10.000000,1,polynomial
0.0074,descent,0.2837,53.7012,6.9434,-20.6100,-21.9840,0.012769,0.014032,0.084990,0.000010,10.000000,1,polynomial
0.0085,descent,0.2837,53.6133,6.9434,-20.6100,-21.9840,0.012798,0.014063,0.084990,0.000010,10.000000,1,polynomial
0.0096,descent,0.2837,53.6133,6.8555,-20.6100,-21.9840,0.012830,0.014104,0.084990,0.000010,10.000000,1,polynomial
0.0107,descent,0.2837,53.6133,6.8555,-20.6100,-21.9840,0.012830,0.014104,0.084990,0.000010,10.000000,1,polynomial
0.0119,descent,0.2837,53.5254,6.8555,-21.9840,-21.9840,0.012994,0.014237,0.084992,0.000008,10.000000,1,polynomial
0.0131,descent,0.2837,53.5254,6.7676,-21.9840,-20.6100,0.012923,0.014185,0.084980,0.000020,10.000000,1,polynomial
0.0141,descent,0.2837,53.5254,6.7676,-21.9840,-20.6100,0.012923,0.014185,0.084980,0.000020,10.000000,1,polynomial
0.0152,descent,0.2837,53.4375,6.7676,-21.9840,-20.6100,0.012952,0.014216,0.084992,0.000008,10.000000,1,polynomial
0.0163,descent,0.2837,53.4375,6.7676,-23.3580,-20.6100,0.013087,0.014318,0.084992,0.000008,10.000000,1,polynomial
0.0174,descent,0.2837,53.3496,6.7676,-23.3580,-20.6100,0.013116,0.014349,0.084975,0.000025,10.000000,1,polynomial
0.0185,descent,0.2837,53.3496,6.7676,-23.3580,-20.6100,0.013116,0.014349,0.084975,0.000025,10.000000,1,polynomial
0.0196,descent,0.2837,53.3496,6.6797,-23.3580,-19.2360,0.013046,0.014297,0.084979,0.000021,10.000000,1,polynomial
0.0207,descent,0.2837,53.2617,6.6797,-24.7320,-19.2360,0.013210,0.014431,0.084979,0.000021,10.000000,1,polynomial
0.0219,descent,0.2837,53.2617,6.6797,-24.7320,-19.2360,0.013210,0.014431,0.084979,0.000021,10.000000,1,polynomial
0.0230,descent,0.2837,53.2617,6.6797,-24.7320,-19.2360,0.013210,0.014431,0.084985,0.000015,10.000000,1,polynomial
0.0241,descent,0.2837,53.1738,6.5918,-24.7320,-19.2360,0.013270,0.014502,0.084985,0.000015,10.000000,1,polynomial
0.0252,descent,0.2837,53.1738,6.5918,-24.7320,-19.2360,0.013270,0.014502,0.084977,0.000023,10.000000,1,polynomial
0.0263,descent,0.2837,53.1738,6.5918,-24.7320,-19.2360,0.013270,0.014502,0.084977,0.000023,10.000000,1,polynomial
0.0274,descent,0.2837,53.0859,6.5918,-24.7320,-19.2360,0.013300,0.014534,0.084974,0.000026,10.000000,1,polynomial
0.0285,descent,0.2837,53.0859,6.5918,-26.1060,-19.2360,0.013435,0.014636,0.084974,0.000026,10.000000,1,polynomial
0.0296,descent,0.2837,52.9980,6.5918,-26.1060,-17.8620,0.013362,0.014574,0.084992,0.000008,10.000000,1,polynomial
0.0307,descent,0.2837,52.9980,6.5918,-26.1060,-17.8620,0.013362,0.014574,0.084992,0.000008,10.000000,1,polynomial
