Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm
0.0008,descent,0.3001,-0.1301,39.2871,17.9297,-8.2440,56.3340,0.010713,0.009954,0.084994,0.000006,10.00
0.0019,descent,0.3001,-0.1301,39.2871,17.9297,-8.2440,53.5860,0.010768,0.010115,0.084994,0.000006,10.00
0.0029,descent,0.3001,-0.1301,39.2871,17.9297,-8.2440,50.8380,0.010822,0.010275,0.084994,0.000006,10.00
0.0041,descent,0.3001,-0.1301,39.2871,17.9297,-6.8700,45.3420,0.010888,0.010569,0.084994,0.000006,10.00
0.0052,descent,0.3001,-0.1301,39.2871,17.9297,-6.8700,43.9680,0.010916,0.010649,0.085000,0.000000,10.00
0.0063,descent,0.3001,-0.1301,39.2871,17.9297,-6.8700,41.2200,0.010970,0.010809,0.085000,0.000000,10.00
0.0074,descent,0.3001,-0.1301,39.2871,17.9297,-6.8700,38.4720,0.011025,0.010970,0.084991,0.000009,10.00
0.0085,descent,0.3001,-0.1301,39.2871,17.9297,-5.4960,37.0980,0.011016,0.011022,0.084991,0.000009,10.00
0.0096,descent,0.3001,-0.1301,39.2871,17.9297,-5.4960,34.3500,0.011071,0.011183,0.084977,0.000023,10.00
0.0107,descent,0.3001,-0.1301,39.2871,17.9297,-5.4960,32.9760,0.011098,0.011263,0.084977,0.000023,10.00
0.0119,descent,0.3001,-0.1301,39.2871,17.9297,-5.4960,30.2280,0.011153,0.011424,0.084993,0.000007,10.00
0.0130,descent,0.3001,-0.1301,39.2871,17.9297,-4.1220,28.8540,0.011766,0.011476,0.084977,0.000023,10.00
0.0143,descent,0.3001,-0.1301,39.2871,17.9297,-4.1220,26.1060,0.011821,0.011637,0.084977,0.000023,10.00
0.0152,descent,0.3001,-0.1301,39.2871,17.8418,-4.1220,24.7320,0.011871,0.011747,0.084992,0.000008,10.00
0.0163,descent,0.3001,-0.1301,39.2871,17.8418,-2.7480,20.6100,0.026798,0.011960,0.084992,0.000008,10.00
0.0174,descent,0.3001,-0.1301,39.1992,17.8418,-2.7480,17.8620,0.026875,0.012144,0.084989,0.000011,10.00
0.0185,descent,0.3001,-0.1301,39.1992,17.8418,-2.7480,16.4880,0.026903,0.012224,0.084989,0.000011,10.00
0.0196,descent,0.3001,-0.1301,39.1992,17.8418,-2.7480,15.1140,0.026930,0.012305,0.084989,0.000011,10.00
0.0207,descent,0.3001,-0.1301,39.1992,17.8418,-2.7480,12.3660,0.026985,0.012465,0.084989,0.000011,10.00
0.0219,descent,0.3001,-0.1301,39.1992,17.8418,-2.7480,10.9920,0.027012,0.012546,0.084983,0.000017,10.00
0.0230,descent,0.3001,-0.1301,39.1992,17.8418,-2.7480,9.6180,0.027040,0.012626,0.084971,0.000029,10.00
0.0241,descent,0.3001,-0.1301,39.1992,17.7539,-2.7480,6.8700,0.027118,0.012817,0.084971,0.000029,10.00
0.0252,descent,0.3001,-0.1301,39.1992,17.7539,-2.7480,5.4960,0.027145,0.012904,0.084968,0.000032,10.00
0.0263,descent,0.3001,-0.1301,39.1113,17.7539,-2.7480,4.1220,0.027195,0.013637,0.084968,0.000032,10.00
0.0274,descent,0.3001,-0.1301,39.1113,17.6660,-2.7480,2.7480,0.027247,0.028636,0.084983,0.000017,10.00
0.0285,descent,0.3001,-0.1301,39.1113,17.6660,-2.7480,1.3740,0.027274,0.118759,0.084983,0.000017,10.00
0.0296,descent,0.3001,-0.1301,39.1113,17.6660,-4.1220,0.0000,0.012457,0.213300,0.084989,0.000011,10.00
0.0307,descent,0.3001,-0.1301,39.1113,17.6660,-4.1220,-1.3740,0.012484,0.118947,0.084989,0.000011,10.00
0.0319,descent,0.3001,-0.1301,39.1113,17.5781,-4.1220,-2.7480,0.012536,0.029016,0.084974,0.000026,10.00
0.0329,descent,0.3001,-0.1301,39.1113,17.5781,-4.1220,-4.1220,0.012563,0.014209,0.084978,0.000022,10.00
0.0341,descent,0.3001,-0.1301,39.0234,17.4902,-5.4960,-5.4960,0.012052,0.013743,0.084978,0.000022,10.00
0.0352,descent,0.3001,-0.1301,39.0234,17.4902,-5.4960,-6.8700,0.012080,0.013816,0.084970,0.000030,10.00
0.0363,descent,0.3001,-0.1301,39.0234,17.4902,-5.4960,-8.2440,0.012107,0.013897,0.084970,0.000030,10.00
0.0374,descent,0.3092,-0.1634,39.0234,17.4902,-5.4960,-8.2440,0.012107,0.013897,0.084976,0.000024,10.00
0.0385,descent,0.3092,-0.1634,39.0234,17.4023,-5.4960,-9.6180,0.012159,0.014008,0.084976,0.000024,10.00
0.0396,descent,0.3092,-0.1634,39.0234,17.4023,-6.8700,-10.9920,0.012223,0.014117,0.084982,0.000018,10.00
0.0407,descent,0.3092,-0.1634,39.0234,17.4023,-6.8700,-10.9920,0.012223,0.014117,0.084982,0.000018,10.00
0.0419,descent,0.3092,-0.1634,38.9355,17.4023,-6.8700,-12.3660,0.012274,0.014221,0.084974,0.000026,10.00
0.0429,descent,0.3092,-0.1634,38.9355,17.4023,-6.8700,-12.3660,0.012274,0.014221,0.084972,0.000028,10.00
0.0441,descent,0.3092,-0.1634,38.9355,17.4023,-8.2440,-13.7400,0.012345,0.014330,0.084972,0.000028,10.00
0.0452,descent,0.3092,-0.1634,38.9355,17.4023,-8.2440,-13.7400,0.012345,0.014330,0.084966,0.000034,10.00
0.0463,descent,0.3092,-0.1634,38.9355,17.3145,-8.2440,-13.7400,0.012369,0.014361,0.084966,0.000034,10.00
0.0474,descent,0.3092,-0.1634,38.9355,17.3145,-9.6180,-13.7400,0.012413,0.014389,0.084968,0.000032,10.00
0.0485,descent,0.3092,-0.1634,38.8477,17.3145,-9.6180,-15.1140,0.012464,0.014494,0.084968,0.000032,10.00
0.0496,descent,0.3092,-0.1634,38.8477,17.3145,-9.6180,-15.1140,0.012464,0.014494,0.084967,0.000033,10.00
0.0507,descent,0.3092,-0.1634,38.8477,17.3145,-9.6180,-15.1140,0.012464,0.014494,0.084967,0.000033,10.00
0.0519,descent,0.3092,-0.1634,38.8477,17.3145,-9.6180,-15.1140,0.012464,0.014494,0.084966,0.000034,10.00
0.0529,descent,0.3092,-0.1634,38.8477,17.3145,-9.6180,-15.1140,0.012464,0.014494,0.084959,0.000041,10.00
0.0541,descent,0.3092,-0.1634,38.8477,17.3145,-9.6180,-15.1140,0.012464,0.014494,0.084959,0.000041,10.00
0.0552,descent,0.3092,-0.1634,38.7598,17.3145,-9.6180,-15.1140,0.012487,0.014518,0.084963,0.000037,10.00
0.0563,descent,0.3092,-0.1634,38.7598,17.3145,-10.9920,-15.1140,0.012530,0.014546,0.084963,0.000037,10.00
0.0574,descent,0.3092,-0.1634,38.7598,17.3145,-10.9920,-13.7400,0.012503,0.014465,0.084957,0.000043,10.00
0.0585,descent,0.3092,-0.1634,38.7598,17.3145,-10.9920,-13.7400,0.012503,0.014465,0.084957,0.000043,10.00
0.0596,descent,0.3092,-0.1634,38.7598,17.3145,-10.9920,-13.7400,0.012503,0.014465,0.084957,0.000043,10.00
0.0607,descent,0.3092,-0.1634,38.6719,17.3145,-10.9920,-13.7400,0.012526,0.014489,0.084957,0.000043,10.00
0.0619,descent,0.3092,-0.1634,38.6719,17.3145,-10.9920,-12.3660,0.012498,0.014408,0.084948,0.000052,10.00
