Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStrength_N_per_m,Sigma_m,Strength
0.0008,descent,0.8033,52.4707,42.8906,109.9200,-5.4960,0.013535,0.036133,0.084988,0.000012,0.0000,0.0100,600
0.0018,descent,0.8033,52.5586,42.8906,108.5460,-5.4960,0.013444,0.036138,0.084988,0.000012,0.0000,0.0100,600
0.0030,descent,0.8033,52.5586,42.8906,105.7980,-4.1220,0.013559,0.036549,0.085011,-0.000011,0.0000,0.0100,600
0.0040,descent,0.8033,52.5586,42.8906,101.6760,-4.1220,0.013731,0.036550,0.085011,-0.000011,0.0000,0.0100,600
0.0052,descent,0.8033,52.6465,42.8906,98.9280,-2.7480,0.013698,0.051225,0.084993,0.000007,0.0000,0.0100,600
0.0062,descent,0.8033,52.6465,42.8906,97.5540,-2.7480,0.013755,0.051225,0.084993,0.000007,0.0000,0.0100,600
0.0074,descent,0.8033,52.6465,42.8906,94.8060,-1.3740,0.013870,0.141050,0.084973,0.000027,0.0000,0.0100,600
0.0085,descent,0.8033,52.7344,42.8906,92.0580,-1.3740,0.013837,0.141055,0.084973,0.000027,0.0000,0.0100,600
0.0096,descent,0.8033,52.7344,42.8906,89.3100,-1.3740,0.013952,0.141055,0.084994,0.000006,0.0000,0.0100,600
0.0107,descent,0.8033,52.7344,42.8906,86.5620,-1.3740,0.014066,0.141055,0.084999,0.000001,0.0000,0.0100,600
0.0118,descent,0.8033,52.7344,42.8906,83.8140,0.0000,0.014181,0.235272,0.084999,0.000001,0.0000,0.0100,600
0.0129,descent,0.8033,52.7344,42.8906,76.9440,0.0000,0.014468,0.235272,0.084990,0.000010,0.0000,0.0100,600
0.0140,descent,0.8033,52.7344,42.8906,74.1960,0.0000,0.014583,0.235273,0.084990,0.000010,0.0000,0.0100,600
0.0152,descent,0.8033,52.7344,42.8906,71.4480,0.0000,0.014698,0.235273,0.084973,0.000027,0.0000,0.0100,600
0.0162,descent,0.8033,52.7344,42.8906,67.3260,0.0000,0.014871,0.235273,0.084973,0.000027,0.0000,0.0100,600
0.0174,descent,0.8033,52.7344,42.8906,64.5780,0.0000,0.014985,0.235273,0.085003,-0.000003,0.0000,0.0100,600
0.0185,descent,0.8033,52.7344,42.8906,60.4560,0.0000,0.015158,0.235274,0.085003,-0.000003,0.0000,0.0100,600
0.0196,descent,0.8033,52.7344,42.8906,57.7080,0.0000,0.015273,0.235274,0.084983,0.000017,0.0000,0.0100,600
0.0207,descent,0.8033,52.7344,42.8906,54.9600,0.0000,0.015388,0.235274,0.084991,0.000009,0.0000,0.0100,600
0.0218,descent,0.8033,52.7344,42.8906,52.2120,0.0000,0.015503,0.235275,0.084991,0.000009,0.0000,0.0100,600
0.0229,descent,0.8033,52.6465,42.8906,45.3420,0.0000,0.015938,0.235271,0.084989,0.000011,0.0000,0.0100,600
0.0241,descent,0.8033,52.6465,42.8906,41.2200,0.0000,0.016110,0.235271,0.084989,0.000011,0.0000,0.0100,600
0.0265,descent,0.8033,52.6465,42.8906,38.4720,0.0000,0.016225,0.235271,0.084997,0.000003,0.0000,0.0100,600
0.0274,descent,0.8033,52.6465,42.8906,38.4720,0.0000,0.016225,0.235271,0.084987,0.000013,0.0000,0.0100,600
0.0285,descent,0.8033,52.6465,42.8906,35.7240,0.0000,0.016340,0.235271,0.084987,0.000013,0.0000,0.0100,600
0.0296,descent,0.8033,52.6465,42.8906,35.7240,0.0000,0.016340,0.235271,0.084981,0.000019,0.0000,0.0100,600
0.0307,descent,0.8033,52.5586,42.9785,26.1060,1.3740,0.016895,0.140046,0.084989,0.000011,0.0000,0.0100,600
0.0318,descent,0.8033,52.5586,43.1543,20.6100,2.7480,0.017135,0.048645,0.084989,0.000011,0.0000,0.0100,600
0.0329,descent,0.8033,52.4707,43.2422,15.1140,5.4960,0.017517,0.032117,0.084980,0.000020,0.0000,0.0100,600
0.0340,descent,0.8033,52.4707,43.3301,12.3660,6.8700,0.017637,0.031322,0.084980,0.000020,0.0000,0.0100,600
0.0352,descent,0.8033,52.4707,43.4180,10.9920,8.2440,0.017699,0.030533,0.084977,0.000023,0.0000,0.0100,600
0.0362,descent,0.8033,52.3828,43.5059,8.2440,9.6180,0.017967,0.029741,0.084977,0.000023,0.0000,0.0100,600
