time_s,k_torsional,run,phase,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,qdot_0,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6,qdot_7,qdot_8,qdot_9,qdot_10,qdot_11,qdot_12,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12
31.6744,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284108585652132,8.692118408607343e-05,-0.0017019978184906834,-0.000358991994797637,4.361411518253167e-05,0.0667558782377464,-0.14491335232492697,0.0671756337097612,-0.14016489139793156,0.06681603891500043,-0.14493011789662016,0.06555401442360043,-0.16305905098683504
31.7015,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284175979816444,8.668819871645141e-05,-0.0017019610821182914,-0.00035898429599363457,4.3627704748699334e-05,0.06675591361550035,-0.14491336370437255,0.06717567822491542,-0.14016490337381562,0.06681607283335417,-0.14493012867207852,0.06555401753379564,-0.1630590535594342
31.7282,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284395012268555,8.635619045907269e-05,-0.0017019137261656903,-0.00035897477754368414,4.3650325439920486e-05,0.06675597866258572,-0.14491338370354354,0.06717574881557431,-0.14016492186077345,0.06681612092888262,-0.14493014357926004,0.06555401628662236,-0.16305905480932043
31.7544,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284351323989566,8.65225926689483e-05,-0.0017019401458081137,-0.0003589803285136963,4.364073380653189e-05,0.06675595392059212,-0.14491337571201257,0.06717571728719324,-0.14016491336041179,0.06681609670832023,-0.14493013587090153,0.06555401387394309,-0.16305905288978742
31.7815,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284535547453958,8.64823352821848e-05,-0.0017019408076855073,-0.0003589810360294171,4.364764409896738e-05,0.06675598056014183,-0.14491338298526651,0.06717573502996417,-0.14016491742641746,0.06681610225539644,-0.1449301371103795,0.06555400646519634,-0.1630590499525854
31.8084,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284721875860156,8.632686739511901e-05,-0.0017019220340144386,-0.00035897756801404516,4.3660452605133384e-05,0.06675602098407976,-0.1449133949264523,0.06717577296022267,-0.1401649270514992,0.06681612461795013,-0.1449301437868434,0.06555400201733882,-0.16305904889386708
31.8355,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328452137683259,8.652492109254516e-05,-0.001701947447535129,-0.00035898242134053775,4.3645110489681043e-05,0.06675597387266227,-0.1449133808481574,0.06717572678681481,-0.14016491521634183,0.06681609606178283,-0.14493013514828593,0.06555400598487687,-0.16305904951972713
31.8624,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00332842284154441,8.669367522674807e-05,-0.0017019641399569961,-0.00035898511479455475,4.3628812780414305e-05,0.06675591920849967,-0.14491336509791994,0.06717568032575091,-0.14016490371758572,0.06681607194007474,-0.14493012822460843,0.06555401497572862,-0.16305905244129226
31.8895,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328400992428403,8.68961670427274e-05,-0.0017019895721952832,-0.0003589899177548082,4.3612776150964166e-05,0.06675586944213133,-0.14491335029062838,0.06717563231978188,-0.14016489145804345,0.06681604274477997,-0.14493011943418835,0.065554019628499,-0.16305905333630802
31.9161,0.3,1,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284373604267692,8.664040636855144e-05,-0.0017019610121167207,-0.00035898488697565586,4.363535010110565e-05,0.06675594273276358,-0.14491337169043944,0.06717569806293988,-0.14016490795748818,0.06681607946116638,-0.14493013022080073,0.06555400971339931,-0.16305905048719824
