time_s,k_torsional,run,phase,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,qdot_0,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6,qdot_7,qdot_8,qdot_9,qdot_10,qdot_11,qdot_12,qdot_13,qdot_14,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,mic_level
16.8237,0.1,1,sweep,0.036815538909255506,-0.012271846303085168,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.49854375606283347,0.8574952604280733,0.5813787186086578,0.8881748761857864,0.6749515466696823,0.7286408742456798,0.5967185264875144,0.6134150843489586,0.02579742210837243,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.005535607575861077,0.013038539120377779,-6.407562672114368e-77,0.019815555665973584,-1.0119460207495029e-77,0.012511439273631882,0.005183014983678203,-0.400212110204729,-0.09597443578674164,-0.0029063051607574036,-0.0008514498091958053,-0.0012975263494213924,-0.00022839169032772767,8.264991315813117e-07,0.006391158973373011,0.026298229848035398,0.0049704837351236646,0.020272901713724475,0.004604491250730412,0.013298659199819348,0.00806875830123263,0.019106018899120662,0.000000
16.8536,0.1,1,sweep,0.033747577333484095,-0.012271846303085168,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.49854375606283347,0.8559612796401879,0.5813787186086578,0.8866408953979006,0.6749515466696823,0.7286408742456798,0.5967185264875144,0.4990990080003967,0.024614232544174712,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.01558801256958139,0.01078181822447789,-2.2341789573558263e-77,0.0032186082376687046,-3.528437599803389e-78,0.008745265897905207,0.01546507113454825,-0.3486079750418758,-0.07024515760224946,-0.0029077057145120997,-0.0008484318140517425,-0.0012974657436620348,-0.0002283813406363217,5.478431570218742e-07,0.006388643464756652,0.026220189687966522,0.0050010921841604945,0.020270729870436974,0.004664244973349905,0.013296602710138437,0.008075205561450083,0.019027550048057514,0.000000
16.8820,0.1,1,sweep,0.026077673394056037,-0.01380582709097087,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.49854375606283347,0.8574952604280733,0.5813787186086578,0.8866408953979006,0.6749515466696823,0.7286408742456798,0.5967185264875144,0.15516134280426058,0.009480410770501012,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.012814429889242657,0.014603393846641262,-8.655667041723045e-78,0.008128173568748677,-1.366989020321816e-78,0.0033880951906014602,0.004865507105088049,-0.19557549713274452,0.014623124674285538,-0.002910641047076341,-0.0008419026620447731,-0.0012972855368174228,-0.0002283537697625065,-1.0014567493558324e-07,0.006383241578270587,0.026238246745097196,0.004958507736146995,0.020268516317439672,0.004649656505770986,0.013293983913424146,0.00808391261705092,0.019106439778140978,0.000000
16.9116,0.1,1,sweep,0.010737865515199467,-0.015339807878856571,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.49854375606283347,0.8574952604280733,0.5813787186086578,0.8881748761857864,0.6749515466696823,0.7286408742456798,0.5967185264875144,-0.13515849251507378,-0.02355004368211744,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.012715120771466025,0.02071111623143898,-3.0180444821329736e-78,0.012952471393256747,-4.766395992396381e-79,0.0011813557459692296,0.017752445374962185,-0.018167816028273106,0.11587863865850026,-0.0029173222585554205,-0.0008270423391938687,-0.001296894801752494,-0.0002282891751027806,-1.516377027446695e-06,0.006370971451865693,0.026231994050948615,0.004932498424257247,0.02026164180045196,0.004599515630183927,0.013288520517401085,0.008083482533013863,0.019005754615980554,0.000000
16.9416,0.1,1,sweep,-0.007669903939428064,-0.015339807878856571,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.5000777368507191,0.8574952604280733,0.5813787186086578,0.8866408953979006,0.6749515466696823,0.7286408742456798,0.5967185264875144,-0.36983180991356,-0.023130657297586062,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.012390603069657356,0.022840747345134096,-1.0523270421825378e-78,0.017327320684353522,-1.6619395195276622e-79,0.00041191327870772294,0.01797164425556692,0.14809869071452827,0.19787727257314003,-0.0029259175989627033,-0.0008076071330031055,-0.0012963437251206245,-0.00022819357789673092,-3.3225694134985577e-06,0.006355758221329829,0.026109738024895152,0.004910076111829787,0.020252590942864246,0.004604832991313302,0.013279482589187874,0.008078501081487608,0.01899975285971465,0.000000
16.9686,0.1,1,sweep,-0.024543692606170335,-0.015339807878856571,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.5000777368507191,0.8574952604280733,0.5813787186086578,0.8866408953979006,0.6749515466696823,0.7286408742456798,0.5951845456996286,-0.5105258717963559,0.005592704050014415,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.011479398422279838,0.009925438244821337,-3.6692375154325426e-79,0.007615045004881655,-5.794824792094488e-80,0.0001436252794762854,0.021885552529889368,0.2726692608783979,0.2525692280845667,-0.002933591388589994,-0.0007897992221485682,-0.0012957652603604406,-0.00022809190455460384,-4.972049702738093e-06,0.00634127398774237,0.026108351244524923,0.004919218032379624,0.020244323346260622,0.0046103744155801514,0.013271900869039515,0.008072616357867138,0.019081232036801697,0.000000
16.9949,0.1,1,sweep,-0.026077673394056037,-0.01380582709097087,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.49854375606283347,0.8574952604280733,0.5813787186086578,0.8881748761857864,0.6749515466696823,0.7286408742456798,0.5967185264875144,-0.5138978643472475,0.02062169780904621,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.018599370166341615,0.01409296291373842,-1.579486436095579e-79,0.0072728437135922515,-2.4944820606917442e-80,6.182597334162686e-05,0.010568008111002997,0.27529895395098725,0.24445926483926103,-0.0029346349036425373,-0.0007874814456780195,-0.001295717511429096,-0.00022808069931728493,-5.152374096969124e-06,0.006338647396326374,0.02616859304011362,0.004908616798272669,0.020243168247870497,0.004579842623746989,0.013271515445207311,0.008072267627425899,0.019051112291867366,0.000000
17.0212,0.1,1,sweep,-0.01687378866674183,-0.012271846303085168,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.5000777368507191,0.8574952604280733,0.5813787186086578,0.8881748761857864,0.6749515466696823,0.7286408742456798,0.5967185264875144,-0.25755558724147753,0.056853027255886146,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.011783150688067134,0.02015006397526158,-6.1192540744101655e-80,0.006540427481086705,-9.664134597549235e-81,2.3952648824914047e-05,0.012341268217034828,0.13889890019526638,0.1627108002301753,-0.002930997817244728,-0.0007961357108049611,-0.001296043020418653,-0.00022813549292621647,-4.322055886766794e-06,0.006346370821591228,0.026108971658269545,0.004904431339338345,0.020247104011863526,0.004587722838843783,0.013275052171933482,0.008074989351984748,0.019039484778308483,0.000000
17.0475,0.1,1,sweep,-0.006135923151542363,-0.012271846303085168,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.49854375606283347,0.8574952604280733,0.5813787186086578,0.8881748761857864,0.6749515466696823,0.7286408742456798,0.5967185264875144,0.08105511152445022,0.05329314990372178,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.017096921240277646,0.0112602781541825,-2.3707244058232295e-80,0.010088347019227784,-3.7440837515443433e-81,9.279746920593477e-06,0.013622498604612097,-0.02114095948418007,0.08464040621316223,-0.002926136347518818,-0.0008073828944556202,-0.0012964041700581676,-0.0002281985568718232,-3.2771069868821332e-06,0.006354799643912191,0.026189333864104106,0.004932560735597219,0.02025231970906701,0.004589349591475883,0.013279825450540138,0.008078740303365466,0.019032288713134598,0.000000
17.0738,0.1,1,sweep,0.012271846303085168,-0.012271846303085168,0.0,0.0,0.0,0.0,0.0,0.7838641826095627,0.49854375606283347,0.8574952604280733,0.5813787186086578,0.8881748761857864,0.6749515466696823,0.7286408742456798,0.5967185264875144,0.3142906242276969,0.03533701958781237,0.02398082392240207,0.02398082392240207,0.023980823922402104,0.0,0.02398082392240207,0.023980823922402104,0.008371899651245964,0.006110664532712516,-9.184672085882702e-81,0.010720653260404786,-1.4505347578802644e-81,3.595164089772569e-06,0.009833991616057034,-0.1842396214506819,0.008394077177913194,-0.0029176783399450096,-0.0008265236052718807,-0.0012969501044187014,-0.00022829313932521474,-1.4956565240423436e-06,0.006370497673896703,0.026264822109010988,0.004960703334398561,0.020261228446580862,0.004602973604742523,0.013287975673985193,0.008085151059496564,0.0190652167306555,0.000000
