Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm,Run
0.0008,descent,0.6381,-0.0638,40.2539,25.6641,-5.4960,-4.1220,0.025610,0.025358,0.085014,-0.000014,18.58,2
0.0019,descent,0.6381,-0.0638,40.2539,25.5762,-5.4960,-4.1220,0.025653,0.025417,0.085014,-0.000014,18.58,2
0.0030,descent,0.6381,-0.0638,40.2539,25.6641,-5.4960,-4.1220,0.025610,0.025358,0.084988,0.000012,18.58,2
0.0041,descent,0.6381,-0.0638,40.2539,25.6641,-5.4960,-4.1220,0.025610,0.025358,0.084988,0.000012,18.58,2
0.0052,descent,0.6381,-0.0638,40.2539,25.5762,-4.1220,-4.1220,0.026189,0.025347,0.085000,0.000000,18.58,2
0.0063,descent,0.6381,-0.0638,40.2539,25.5762,-4.1220,-4.1220,0.026189,0.025347,0.084978,0.000022,18.58,2
0.0074,descent,0.6381,-0.0638,40.2539,25.5762,-4.1220,-4.1220,0.026189,0.025347,0.084978,0.000022,18.58,2
0.0085,descent,0.6381,-0.0638,40.2539,25.5762,-4.1220,-4.1220,0.026189,0.025347,0.085000,0.000000,18.58,2
0.0097,descent,0.6381,-0.0638,40.2539,25.5762,-2.7480,-4.1220,0.040983,0.025277,0.085000,0.000000,18.58,2
0.0108,descent,0.6381,-0.0638,40.2539,25.5762,-2.7480,-4.1220,0.040983,0.025277,0.084996,0.000004,18.58,2
0.0119,descent,0.6381,-0.0638,40.2539,25.5762,-2.7480,-4.1220,0.040983,0.025277,0.084996,0.000004,18.58,2
0.0130,descent,0.6381,-0.0638,40.2539,25.5762,-2.7480,-4.1220,0.040983,0.025277,0.084994,0.000006,18.58,2
0.0142,descent,0.6381,-0.0638,40.2539,25.5762,-2.7480,-4.1220,0.040983,0.025277,0.084994,0.000006,18.58,2
0.0179,descent,0.6381,-0.0638,40.2539,25.5762,-2.7480,-4.1220,0.040983,0.025277,0.084971,0.000029,18.58,2
0.0186,descent,0.6381,-0.0638,40.2539,25.5762,-1.3740,-2.7480,0.130862,0.039979,0.085006,-0.000006,18.58,2
0.0197,descent,0.6381,-0.0638,40.2539,25.5762,-1.3740,-2.7480,0.130862,0.039979,0.085006,-0.000006,18.58,2
0.0208,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084999,0.000001,18.58,2
0.0219,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084999,0.000001,18.58,2
0.0230,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084994,0.000006,18.58,2
0.0241,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084994,0.000006,18.58,2
0.0252,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084994,0.000006,18.58,2
0.0263,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084992,0.000008,18.58,2
0.0274,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084992,0.000008,18.58,2
0.0285,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084982,0.000018,18.58,2
0.0297,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084982,0.000018,18.58,2
0.0308,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084976,0.000024,18.58,2
0.0320,descent,0.6381,-0.0638,40.2539,25.5762,0.0000,-2.7480,0.225202,0.039909,0.084976,0.000024,18.58,2
0.0331,descent,0.6381,-0.0638,40.3418,25.5762,1.3740,-2.7480,0.130633,0.039796,0.084983,0.000017,18.58,2
0.0342,descent,0.6381,-0.0638,40.3418,25.5762,1.3740,-1.3740,0.130563,0.129722,0.084983,0.000017,18.58,2
0.0355,descent,0.6381,-0.0638,40.3418,25.5762,1.3740,-1.3740,0.130563,0.129722,0.084981,0.000019,18.58,2
0.0365,descent,0.6381,-0.0638,40.4297,25.5762,2.7480,-1.3740,0.040386,0.129609,0.084976,0.000024,18.58,2
0.0375,descent,0.6381,-0.0638,40.5176,25.5762,2.7480,-1.3740,0.040345,0.129566,0.084976,0.000024,18.58,2
0.0386,descent,0.6381,-0.0638,40.6055,25.5762,4.1220,-1.3740,0.025322,0.129454,0.084956,0.000044,18.58,2
0.0398,descent,0.6381,-0.0638,40.6934,25.5762,6.8700,0.0000,0.024389,0.223590,0.084956,0.000044,18.58,2
0.0409,descent,0.6381,-0.0638,40.7812,25.5762,8.2440,0.0000,0.024255,0.223478,0.084978,0.000022,18.58,2
