Phase,displacement_m,Kx_N_per_m,F_N
descent,0.0,211.91279003046276,0.7270315337494802
descent,0.00010032663316582915,210.1478052096649,0.7482034315026276
descent,0.0002006532663316583,208.39017672738615,0.7691986232894542
descent,0.00030097989949748745,206.63990458362625,0.7900178471466348
descent,0.0004013065326633166,204.8969887783853,0.810661841110846
descent,0.0005016331658291458,203.1614293116633,0.8311313432187639
descent,0.0006019597989949749,201.43322618346028,0.851427091507065
descent,0.000702286432160804,199.71237939377625,0.8715498240124246
descent,0.0008026130653266332,197.9988889426111,0.8915002787715187
descent,0.0009029396984924624,196.29275482996493,0.9112791938210237
descent,0.0010032663316582916,194.5939770558378,0.9308873071976163
descent,0.0011035929648241206,192.90255562022955,0.950325356937971
descent,0.0012039195979899498,191.2184905231403,0.9695940810787647
descent,0.001304246231155779,189.54178176456995,0.9886942176566734
descent,0.001404572864321608,187.87242934451865,1.0076265047083734
descent,0.0015048994974874372,186.21043326298624,1.0263916802705404
descent,0.0016052261306532664,184.55579351997275,1.0449904823798501
descent,0.0017055527638190956,182.90851011547832,1.0634236490729794
descent,0.0018058793969849248,181.2685830495028,1.0816919183866038
descent,0.0019062060301507538,179.6360123220462,1.0997960283573986
descent,0.002006532663316583,178.0107979331086,1.1177367170220414
descent,0.002106859296482412,176.39293988268997,1.1355147224172075
descent,0.002207185929648241,174.78243817079027,1.1531307825795725
descent,0.0023075125628140704,173.17929279740954,1.1705856355458129
descent,0.0024078391959798996,171.58350376254774,1.1878800193526042
descent,0.0025081658291457288,169.99507106620493,1.205014672036624
descent,0.002608492462311558,168.41399470838107,1.2219903316345464
descent,0.002708819095477387,166.84027468907615,1.2388077361830485
descent,0.002809145728643216,165.27391100829016,1.2554676237188054
descent,0.002909472361809045,163.71490366602322,1.271970732278495
descent,0.0030097989949748744,162.16325266227514,1.2883177998987916
descent,0.0031101256281407036,160.61895799704607,1.3045095646163716
descent,0.0032104522613065328,159.08201967033602,1.320546764467912
descent,0.003310778894472362,157.5524376821448,1.3364301374900873
descent,0.003411105527638191,156.03021203247263,1.3521604217195742
descent,0.0035114321608040204,154.51534272131937,1.3677383551930493
descent,0.0036117587939698496,153.00782974868505,1.3831646759471878
descent,0.0037120854271356783,151.50767311456974,1.3984401220186664
descent,0.0038124120603015075,150.01487281897337,1.4135654314441608
descent,0.003912738693467337,148.52942886189595,1.4285413422603475
descent,0.004013065326633166,147.05134124333753,1.443368592503902
descent,0.004113391959798995,145.580609963298,1.4580479202114998
descent,0.004213718592964824,144.11723502177745,1.4725800634198176
descent,0.004314045226130653,142.66121641877584,1.4869657601655317
descent,0.004414371859296482,141.21255415429331,1.5012057484853183
descent,0.0045146984924623115,139.77124822832957,1.5153007664158522
descent,0.004615025125628141,138.33729864088482,1.5292515519938104
descent,0.00471535175879397,136.9107053919591,1.5430588432558692
descent,0.004815678391959799,135.49146848155235,1.556723378238704
descent,0.004916005025125628,134.07958790966447,1.570245894978991
descent,0.0050163316582914575,132.67506367629557,1.583627131513406
descent,0.005116658291457287,131.27789578144566,1.596867825878626
descent,0.005216984924623116,129.8880842251147,1.6099687161113256
descent,0.005317311557788945,128.5056290073027,1.622930540248182
descent,0.005417638190954774,127.13053012800964,1.6357540363258707
descent,0.0055179648241206036,125.76278758723556,1.6484399423810678
descent,0.005618291457286432,124.40240138498041,1.660988996450449
descent,0.005718618090452261,123.04937152124423,1.6734019365706911
descent,0.00581894472361809,121.703697996027,1.68567950077847
descent,0.0059192713567839195,120.36538080932877,1.6978224271104616
descent,0.006019597989949749,119.03441996114945,1.7098314536033412
descent,0.006119924623115578,117.71081545148907,1.721707318293785
descent,0.006220251256281407,116.39456728034772,1.733450759218471
descent,0.006320577889447236,115.08567544772528,1.7450625144140728
descent,0.0064209045226130655,113.7841399536218,1.7565433219172673
descent,0.006521231155778895,112.48996079803727,1.7678939197647305
descent,0.006621557788944724,111.20313798097172,1.7791150459931393
descent,0.006721884422110553,109.92367150242512,1.7902074386391682
descent,0.006822211055276382,108.65156136239747,1.8011718357394941
descent,0.0069225376884422115,107.38680756088878,1.812008975330793
descent,0.007022864321608041,106.12941009789905,1.8227195954497413
descent,0.00712319095477387,104.87936897342827,1.8333044341330142
descent,0.007223517587939699,103.63668418747648,1.843764229417288
descent,0.0073238442211055275,102.40135574004361,1.8540997193392394
descent,0.007424170854271357,101.17338363112972,1.8643116419355434
descent,0.007524497487437186,99.95276786073478,1.8744007352428764
descent,0.007624824120603015,98.73950842885878,1.8843677372979148
descent,0.007725150753768844,97.53360533550176,1.894213386137335
descent,0.007825477386934674,96.3350585806637,1.9039384197978118
descent,0.007925804020100503,95.1438681643446,1.9135435763160218
descent,0.008026130653266333,93.96003408654443,1.9230295937286412
descent,0.008126457286432161,92.78355634726326,1.9323972100723463
descent,0.00822678391959799,91.614434946501,1.9416471633838126
descent,0.00832711055276382,90.45266988425772,1.950780191699716
descent,0.008427437185929648,89.29826116053339,1.9597970330567331
descent,0.008527763819095478,88.151208775328,1.96869842549154
descent,0.008628090452261306,87.0115127286416,1.9774851070408124
descent,0.008728417085427136,85.87917302047416,1.9861578157412259
