Phase,displacement_m,Kx_N_per_m,F_N
descent,0.0,197.46461747770525,0.22267286744843276
descent,0.00010033165829145729,194.96812501893658,0.24235944066107337
descent,0.00020066331658291457,192.48846058490395,0.26179638083722756
descent,0.00030099497487437183,190.02562417560705,0.2809853763605224
descent,0.00040132663316582915,187.5796157910461,0.29992811561458566
descent,0.0005016582914572865,185.15043543122107,0.318626286983045
descent,0.0006019899497487437,182.73808309613196,0.3370815788495278
descent,0.000702321608040201,180.34255878577872,0.3552956795976616
descent,0.0008026532663316583,177.96386250016138,0.3732702776110739
descent,0.0009029849246231156,175.60199423927995,0.39100706127339224
descent,0.001003316582914573,173.25695400313447,0.40850771896824434
descent,0.0011036482412060302,170.92874179172483,0.42577393907925737
descent,0.0012039798994974873,168.61735760505107,0.44280740999005885
descent,0.0013043115577889446,166.3228014431132,0.4596098200842766
descent,0.001404643216080402,164.04507330591136,0.47618285774553815
descent,0.0015049748743718593,161.78417319344533,0.49252821135747066
descent,0.0016053065326633166,159.5401011057151,0.5086475693037019
descent,0.001705638190954774,157.31285704272094,0.5245426199678593
descent,0.0018059698492462312,155.10244100446263,0.5402150517335709
descent,0.0019063015075376885,152.9088529909402,0.5556665529844632
descent,0.002006633165829146,150.73209300215368,0.5708988121041646
descent,0.002106964824120603,148.57216103810302,0.5859135174763022
descent,0.0022072964824120605,146.42905709878835,0.6007123574845038
descent,0.002307628140703518,144.30278118420952,0.6152970205123969
descent,0.0024079597989949747,142.19333329436662,0.6296691949436083
descent,0.002508291457286432,140.1007134292596,0.6438305691617664
descent,0.0026086231155778893,138.0249215888885,0.6577828315504987
descent,0.0027089547738693466,135.96595777325322,0.6715276704934321
descent,0.002809286432160804,133.92382198235393,0.6850667743741945
descent,0.0029096180904522612,131.89851421619045,0.6984018315764133
descent,0.0030099497487437185,129.89003447476298,0.7115345304837166
descent,0.003110281407035176,127.89838275807138,0.7244665594797312
descent,0.003210613065326633,125.92355906611562,0.7371996069480846
descent,0.0033109447236180905,123.9655633988959,0.7497353612724051
descent,0.003411276381909548,122.02439575641193,0.7620755108363193
descent,0.003511608040201005,120.10005613866389,0.774221744023455
descent,0.0036119396984924624,118.1925445456518,0.7861757492174402
descent,0.0037122713567839197,116.30186097737558,0.797939214801902
descent,0.003812603015075377,114.4280054338353,0.8095138291604682
descent,0.003912934673366834,112.5709779150309,0.8209012806767658
descent,0.004013266331658292,110.73077842096237,0.8321032577344226
descent,0.004113597989949749,108.90740695162977,0.8431214487170665
descent,0.004213929648241206,107.10086350703307,0.8539575420083244
descent,0.004314261306532664,105.31114808717226,0.8646132259918242
descent,0.004414592964824121,103.53826069204733,0.8750901890511933
descent,0.004514924623115578,101.78220132165835,0.8853901195700593
descent,0.004615256281407036,100.04296997600524,0.89551470593205
descent,0.004715587939698493,98.32056665508802,0.9054656365207923
descent,0.004815919597989949,96.61499135890672,0.9152445997199136
descent,0.004916251256281407,94.92624408746136,0.9248532839130426
descent,0.005016582914572864,93.25432484075182,0.9342933774838054
descent,0.005116914572864321,91.59923361877823,0.9435665688158305
descent,0.005217246231155779,89.96097042154052,0.9526745462927453
descent,0.005317577889447236,88.33953524903873,0.9616189982981771
descent,0.005417909547738693,86.73492810127281,0.9704016132157532
descent,0.0055182412060301505,85.14714897824281,0.9790240794291013
descent,0.005618572864321608,83.57619787994874,0.9874880853218493
descent,0.005718904522613065,82.02207480639055,0.9957953192776243
descent,0.0058192361809045225,80.48477975756825,1.003947469680054
descent,0.00591956783919598,78.96431273348183,1.011946224912766
descent,0.006019899497487437,77.46067373413133,1.0197932733593875
descent,0.006120231155778894,75.97386275951678,1.0274903034035465
descent,0.006220562814070352,74.50387980963805,1.03503900342887
descent,0.006320894472361809,73.05072488449524,1.0424410618189854
descent,0.006421226130653266,71.61439798408838,1.0496981669575214
descent,0.006521557788944724,70.19489910841739,1.0568120072281044
descent,0.006621889447236181,68.7922282574823,1.063784271014362
descent,0.006722221105527638,67.4063854312831,1.0706166466999216
descent,0.006822552763819096,66.0373706298198,1.0773108226684118
descent,0.006922884422110553,64.68518385309243,1.0838684873034594
descent,0.00702321608040201,63.34982510110093,1.0902913289886915
descent,0.0071235477386934675,62.03129437384534,1.0965810361077362
descent,0.007223879396984925,60.729591671325664,1.1027392970442211
descent,0.007324211055276382,59.444716993541896,1.1087678001817733
descent,0.0074245427135678395,58.17667034049398,1.1146682339040204
descent,0.007524874371859297,56.925451712182,1.1204422865945898
descent,0.007625206030150754,55.691061108605915,1.12609164663711
descent,0.007725537688442211,54.473498529765756,1.1316180024152072
descent,0.007825869346733669,53.272763975661455,1.1370230423125096
descent,0.007926201005025125,52.088857446293076,1.1423084547126445
descent,0.008026532663316583,50.92177894166059,1.14747592799924
descent,0.00812686432160804,49.77152846176403,1.152527150555923
descent,0.008227195979899498,48.63810600660333,1.1574638107663207
descent,0.008327527638190954,47.521511576178554,1.1622875970140618
descent,0.008427859296482413,46.42174517048968,1.1670001976827729
descent,0.008528190954773869,45.338806789536704,1.1716033011560816
descent,0.008628522613065327,44.27269643331962,1.1760985958176158
descent,0.008728854271356784,43.22341410183846,1.1804877700510026
descent,0.008829185929648242,42.190959795093164,1.18477251223987
descent,0.008929517587939698,41.175333513083785,1.1889545107678448
descent,0.009029849246231157,40.17653525581032,1.1930354540185553
descent,0.009130180904522613,39.19456502327276,1.1970170303756287
descent,0.009230512562814071,38.229422815471075,1.2009009282226928
descent,0.009330844221105528,37.281108632405314,1.2046888359433743
descent,0.009431175879396986,36.34962247407543,1.2083824419213014
descent,0.009531507537688442,35.43496434048147,1.2119834345401015
descent,0.009631839195979899,34.537134231623405,1.2154935021834021
descent,0.009732170854271357,33.65613214750121,1.218914333234831
descent,0.009832502512562813,32.79195808811497,1.2222476160780154
descent,0.009932834170854271,31.944612053464592,1.2254950390965826
descent,0.010033165829145728,31.114094043550125,1.2286582906741605
descent,0.010133497487437186,30.300404058371555,1.2317390591943764
descent,0.010233829145728643,29.5035420979289,1.234739033040858
descent,0.0103341608040201,28.723508162222128,1.237659900597233
descent,0.010434492462311557,27.96030225125127,1.2405033502471283
descent,0.010534824120603015,27.213924365016304,1.2432710703741725
descent,0.010635155778894472,26.48437450351724,1.245964749361992
descent,0.01073548743718593,25.77165266675408,1.2485860755942146
descent,0.010835819095477386,25.07575885472682,1.2511367374544682
descent,0.010936150753768845,24.396693067435457,1.2536184233263798
descent,0.011036482412060301,23.73445530488,1.2560328215935777
descent,0.01113681407035176,23.08904556706043,1.2583816206396887
descent,0.011237145728643216,22.460463853976776,1.2606665088483404
descent,0.011337477386934674,21.848710165629015,1.262889174603161
descent,0.01143780904522613,21.25378450201717,1.2650513062877768
descent,0.011538140703517588,20.675686863141202,1.2671545922858167
descent,0.011638472361809045,20.114417249001157,1.2692007209809075
descent,0.011738804020100503,19.569975659596984,1.2711913807566761
descent,0.01183913567839196,19.042362094928734,1.2731282599967515
descent,0.011939467336683418,18.53157655499639,1.27501304708476
descent,0.012039798994974874,18.03761903979993,1.2768474304043296
descent,0.012140130653266332,17.56048954933938,1.2786330983390881
descent,0.012240462311557789,17.100188083614732,1.2803717392726623
descent,0.012340793969849247,16.656714642625975,1.2820650415886803
descent,0.012441125628140703,16.230069226373132,1.2837146936707693
descent,0.012541457286432162,15.820251834856174,1.2853223839025572
