Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0011,0.5000,0.966779,1.282185,1.291377,-0.153807,45.5273,44.2090,29.989792,29.995525,29.995525
0.0022,0.5000,0.965656,1.282185,1.291377,-0.153807,45.5273,44.2090,29.979585,29.991049,29.991049
0.0033,0.5000,0.959952,1.282185,1.291377,-0.153807,45.7031,44.2090,29.969357,29.986571,29.986571
0.0044,0.5000,0.958731,1.282185,1.291377,-0.153807,45.7910,44.1211,29.959139,29.982092,29.982092
0.0055,0.5000,0.955224,1.282185,1.291377,-0.153807,45.9668,44.0332,29.948922,29.977610,29.977610
0.0066,0.5000,0.951794,1.282185,1.291377,-0.153807,46.0547,44.0332,29.938695,29.973127,29.973127
0.0077,0.5000,0.948357,1.282185,1.291377,-0.153807,46.1426,44.0332,29.928457,29.968643,29.968643
0.0088,0.5000,0.947156,1.282185,1.291377,-0.153807,46.2305,43.9453,29.918230,29.964157,29.964157
0.0099,0.5000,0.943712,1.282185,1.291377,-0.153807,46.3184,43.9453,29.907993,29.959670,29.959670
0.0111,0.5000,0.942582,1.282185,1.291377,-0.153807,46.3184,43.9453,29.897755,29.955183,29.955183
0.0122,0.5000,0.941393,1.282185,1.291377,-0.153807,46.4062,43.8574,29.887528,29.950695,29.950695
0.0133,0.5000,0.937942,1.282185,1.291377,-0.153807,46.4941,43.8574,29.877291,29.946206,29.946206
0.0144,0.5000,0.934484,1.282185,1.291377,-0.153807,46.5820,43.8574,29.867044,29.941715,29.941715
0.0157,0.5000,0.930971,1.282185,1.291377,-0.153807,46.7578,43.7695,29.856797,29.937222,29.937222
0.0166,0.5000,0.929839,1.282185,1.291377,-0.153807,46.7578,43.7695,29.846550,29.932729,29.932729
0.0177,0.5000,0.930980,1.282185,1.291377,-0.153807,46.8457,43.5937,29.836334,29.928234,29.928234
0.0188,0.5000,0.929852,1.282185,1.291377,-0.153807,46.8457,43.5937,29.826119,29.923740,29.923740
0.0199,0.5000,0.926388,1.282185,1.291377,-0.153807,46.9336,43.5937,29.815893,29.919244,29.919244
0.0211,0.5000,0.925244,1.282185,1.291377,-0.153807,47.0215,43.5059,29.805678,29.914747,29.914747
0.0222,0.5000,0.921774,1.282185,1.291377,-0.153807,47.1094,43.5059,29.795453,29.910249,29.910249
0.0233,0.5000,0.922984,1.282185,1.291377,-0.153807,47.1094,43.4180,29.785249,29.905751,29.905751
0.0244,0.5000,0.919514,1.282185,1.291377,-0.153807,47.1973,43.4180,29.775034,29.901252,29.901252
0.0255,0.5000,0.918393,1.282185,1.291377,-0.153807,47.2852,43.3301,29.764830,29.896751,29.896751
0.0266,0.5000,0.914916,1.282185,1.291377,-0.153807,47.3730,43.3301,29.754616,29.892249,29.892249
0.0277,0.5000,0.913788,1.282185,1.291377,-0.153807,47.3730,43.3301,29.744402,29.887747,29.887747
0.0288,0.5000,0.910303,1.282185,1.291377,-0.153807,47.4609,43.3301,29.734177,29.883244,29.883244
0.0299,0.5000,0.911550,1.282185,1.291377,-0.153807,47.4609,43.2422,29.723973,29.878741,29.878741
0.0311,0.5000,0.910424,1.282185,1.291377,-0.153807,47.4609,43.2422,29.713770,29.874238,29.874238
0.0322,0.5000,0.906938,1.282185,1.291377,-0.153807,47.5488,43.2422,29.703556,29.869733,29.869733
0.0341,0.5000,0.908201,1.282185,1.291377,-0.153807,47.5488,43.1543,29.693363,29.865229,29.865229
0.0346,0.5000,0.907075,1.282185,1.291377,-0.153807,47.5488,43.1543,29.683170,29.860725,29.860725
