Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_task_Nm,Param,Mode
0.0008,descent,0.2663,47.6367,11.3379,-10.9920,4.1220,0.010344,0.012287,0.084990,0.000010,10.000000,2,polynomial
0.0019,descent,0.2663,47.6367,11.3379,-10.9920,2.7480,0.010445,0.027268,0.084993,0.000007,10.000000,2,polynomial
0.0030,descent,0.2663,47.6367,11.3379,-10.9920,1.3740,0.010547,0.117403,0.084993,0.000007,10.000000,2,polynomial
0.0041,descent,0.2663,47.6367,11.3379,-9.6180,1.3740,0.010413,0.117301,0.084986,0.000014,10.000000,2,polynomial
0.0052,descent,0.2663,47.6367,11.3379,-9.6180,0.0000,0.010514,0.211828,0.084973,0.000027,10.000000,2,polynomial
0.0063,descent,0.2663,47.6367,11.2500,-9.6180,-1.3740,0.010647,0.117528,0.084973,0.000027,10.000000,2,polynomial
0.0074,descent,0.2663,47.5488,11.2500,-9.6180,-2.7480,0.010778,0.027610,0.084992,0.000008,10.000000,2,polynomial
0.0085,descent,0.2663,47.5488,11.2500,-9.6180,-5.4960,0.010981,0.012279,0.084992,0.000008,10.000000,2,polynomial
0.0096,descent,0.2663,47.5488,11.2500,-9.6180,-5.4960,0.010981,0.012279,0.085002,-0.000002,10.000000,2,polynomial
0.0107,descent,0.2663,47.5488,11.1621,-9.6180,-6.8700,0.011114,0.012406,0.085002,-0.000002,10.000000,2,polynomial
0.0118,descent,0.2663,47.5488,11.1621,-8.2440,-8.2440,0.011081,0.012397,0.084976,0.000024,10.000000,2,polynomial
0.0130,descent,0.2663,47.5488,11.1621,-8.2440,-8.2440,0.011081,0.012397,0.084976,0.000024,10.000000,2,polynomial
0.0142,descent,0.2663,47.5488,11.1621,-8.2440,-9.6180,0.011183,0.012489,0.084976,0.000024,10.000000,2,polynomial
0.0152,descent,0.2663,47.5488,11.1621,-8.2440,-9.6180,0.011183,0.012489,0.084982,0.000018,10.000000,2,polynomial
0.0163,descent,0.2663,47.5488,11.1621,-8.2440,-9.6180,0.011183,0.012489,0.084973,0.000027,10.000000,2,polynomial
0.0174,descent,0.2663,47.5488,11.1621,-8.2440,-9.6180,0.011183,0.012489,0.084986,0.000014,10.000000,2,polynomial
0.0185,descent,0.2504,47.5488,11.1621,-8.2440,-9.6180,0.011183,0.012489,0.084986,0.000014,10.000000,2,polynomial
0.0196,descent,0.2504,47.5488,11.1621,-6.8700,-9.6180,0.011049,0.012388,0.084988,0.000012,10.000000,2,polynomial
0.0207,descent,0.2504,47.5488,11.1621,-6.8700,-9.6180,0.011049,0.012388,0.084988,0.000012,10.000000,2,polynomial
0.0218,descent,0.2504,47.5488,11.1621,-6.8700,-9.6180,0.011049,0.012388,0.084986,0.000014,10.000000,2,polynomial
0.0230,descent,0.2504,47.5488,11.1621,-6.8700,-9.6180,0.011049,0.012388,0.084986,0.000014,10.000000,2,polynomial
0.0241,descent,0.2504,47.4609,11.1621,-6.8700,-9.6180,0.011078,0.012419,0.084975,0.000025,10.000000,2,polynomial
0.0252,descent,0.2504,47.5488,11.1621,-6.8700,-9.6180,0.011049,0.012388,0.084975,0.000025,10.000000,2,polynomial
0.0263,descent,0.2504,47.5488,11.1621,-5.4960,-9.6180,0.010922,0.012286,0.084969,0.000031,10.000000,2,polynomial
0.0275,descent,0.2504,47.4609,11.1621,-6.8700,-9.6180,0.011078,0.012419,0.084995,0.000005,10.000000,2,polynomial
0.0288,descent,0.2504,47.4609,11.1621,-5.4960,-8.2440,0.010849,0.012225,0.084995,0.000005,10.000000,2,polynomial
0.0298,descent,0.2504,47.4609,11.1621,-5.4960,-8.2440,0.010849,0.012225,0.084985,0.000015,10.000000,2,polynomial
0.0308,descent,0.2504,47.4609,11.1621,-5.4960,-8.2440,0.010849,0.012225,0.084985,0.000015,10.000000,2,polynomial
0.0319,descent,0.2504,47.4609,11.1621,-5.4960,-8.2440,0.010849,0.012225,0.084986,0.000014,10.000000,2,polynomial
0.0330,descent,0.2504,47.4609,11.1621,-5.4960,-8.2440,0.010849,0.012225,0.084986,0.000014,10.000000,2,polynomial
0.0341,descent,0.2504,47.4609,11.1621,-5.4960,-6.8700,0.010748,0.012132,0.084983,0.000017,10.000000,2,polynomial
0.0352,descent,0.2504,47.4609,11.1621,-5.4960,-6.8700,0.010748,0.012132,0.084983,0.000017,10.000000,2,polynomial
0.0363,descent,0.2504,47.4609,11.1621,-5.4960,-6.8700,0.010748,0.012132,0.084980,0.000020,10.000000,2,polynomial
0.0374,descent,0.2504,47.4609,11.1621,-5.4960,-6.8700,0.010748,0.012132,0.084975,0.000025,10.000000,2,polynomial
0.0386,descent,0.2504,47.4609,11.1621,-4.1220,-5.4960,0.011141,0.011945,0.084975,0.000025,10.000000,2,polynomial
0.0396,descent,0.2504,47.4609,11.1621,-4.1220,-4.1220,0.011039,0.012481,0.084970,0.000030,10.000000,2,polynomial
0.0407,descent,0.2504,47.4609,11.1621,-4.1220,-4.1220,0.011039,0.012481,0.084970,0.000030,10.000000,2,polynomial
0.0418,descent,0.2504,47.4609,11.1621,-4.1220,-4.1220,0.011039,0.012481,0.084970,0.000030,10.000000,2,polynomial
0.0430,descent,0.2504,47.4609,11.0742,-2.7480,-4.1220,0.025824,0.012421,0.084970,0.000030,10.000000,2,polynomial
0.0441,descent,0.2504,47.4609,11.0742,-2.7480,-4.1220,0.025824,0.012421,0.084963,0.000037,10.000000,2,polynomial
0.0452,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084970,0.000030,10.000000,2,polynomial
0.0463,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084970,0.000030,10.000000,2,polynomial
0.0474,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084957,0.000043,10.000000,2,polynomial
0.0485,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084957,0.000043,10.000000,2,polynomial
0.0496,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084987,0.000013,10.000000,2,polynomial
0.0507,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084987,0.000013,10.000000,2,polynomial
0.0518,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084975,0.000025,10.000000,2,polynomial
0.0530,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084975,0.000025,10.000000,2,polynomial
0.0541,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084973,0.000027,10.000000,2,polynomial
0.0552,descent,0.2504,47.4609,11.0742,-2.7480,-2.7480,0.025723,0.027217,0.084973,0.000027,10.000000,2,polynomial
0.0563,descent,0.2504,47.4609,11.0742,-1.3740,-2.7480,0.115631,0.027115,0.084969,0.000031,10.000000,2,polynomial
0.0574,descent,0.2504,47.4609,11.0742,-1.3740,-2.7480,0.115631,0.027115,0.084959,0.000041,10.000000,2,polynomial
0.0585,descent,0.2504,47.4609,11.0742,-1.3740,-2.7480,0.115631,0.027115,0.084959,0.000041,10.000000,2,polynomial
0.0596,descent,0.2504,47.4609,10.9863,-1.3740,-2.7480,0.115662,0.027157,0.084961,0.000039,10.000000,2,polynomial
0.0607,descent,0.2504,47.4609,10.9863,-1.3740,-2.7480,0.115662,0.027157,0.084961,0.000039,10.000000,2,polynomial
0.0618,descent,0.2504,47.4609,10.9863,0.0000,-2.7480,0.209961,0.027055,0.084961,0.000039,10.000000,2,polynomial
0.0630,descent,0.2504,47.4609,10.9863,0.0000,-4.1220,0.210063,0.012259,0.084961,0.000039,10.000000,2,polynomial
0.0641,descent,0.2504,47.4609,10.9863,0.0000,-4.1220,0.210063,0.012259,0.084954,0.000046,10.000000,2,polynomial
0.0652,descent,0.2504,47.4609,10.9863,0.0000,-4.1220,0.210063,0.012259,0.084954,0.000046,10.000000,2,polynomial
0.0663,descent,0.2504,47.4609,10.9863,0.0000,-4.1220,0.210063,0.012259,0.084955,0.000045,10.000000,2,polynomial
0.0674,descent,0.2504,47.4609,10.9863,0.0000,-4.1220,0.210063,0.012259,0.084953,0.000047,10.000000,2,polynomial
0.0685,descent,0.2504,47.4609,10.8984,0.0000,-5.4960,0.210196,0.011765,0.084953,0.000047,10.000000,2,polynomial
0.0696,descent,0.2504,47.4609,10.8984,0.0000,-5.4960,0.210196,0.011765,0.084955,0.000045,10.000000,2,polynomial
0.0707,descent,0.2504,47.5488,10.8984,1.3740,-5.4960,0.115599,0.011632,0.084955,0.000045,10.000000,2,polynomial
0.0718,descent,0.2504,47.5488,10.8984,1.3740,-5.4960,0.115599,0.011632,0.084963,0.000037,10.000000,2,polynomial
0.0730,descent,0.2504,47.5488,10.8984,1.3740,-6.8700,0.115700,0.011717,0.084963,0.000037,10.000000,2,polynomial
0.0741,descent,0.2504,47.6367,10.8984,2.7480,-6.8700,0.025495,0.011584,0.084955,0.000045,10.000000,2,polynomial
0.0752,descent,0.2504,47.6367,10.8984,2.7480,-5.4960,0.025393,0.011499,0.084955,0.000045,10.000000,2,polynomial
0.0763,descent,0.2504,47.7246,10.8984,4.1220,-5.4960,0.010341,0.011366,0.084935,0.000065,10.000000,2,polynomial
0.0774,descent,0.2504,47.8125,10.8984,5.4960,-5.4960,0.009549,0.011233,0.084935,0.000065,10.000000,2,polynomial
0.0785,descent,0.2504,47.9883,10.8105,8.2440,-5.4960,0.009246,0.011009,0.084935,0.000065,10.000000,2,polynomial
0.0796,descent,0.2504,48.0762,10.8105,9.6180,-5.4960,0.009082,0.010876,0.084945,0.000055,10.000000,2,polynomial
0.0807,descent,0.2504,48.1641,10.8105,10.9920,-6.8700,0.009020,0.010828,0.084945,0.000055,10.000000,2,polynomial
0.0818,descent,0.2504,48.2520,10.8105,13.7400,-6.8700,0.008722,0.010594,0.084936,0.000064,10.000000,2,polynomial
0.0830,descent,0.2504,48.4277,10.8105,16.4880,-6.8700,0.008395,0.010328,0.084936,0.000064,10.000000,2,polynomial
0.0841,descent,0.2504,48.5156,10.8105,19.2360,-6.8700,0.008097,0.010094,0.084952,0.000048,10.000000,2,polynomial
0.0852,descent,0.2504,48.6035,10.8105,21.9840,-6.8700,0.007799,0.009859,0.084952,0.000048,10.000000,2,polynomial
0.0863,descent,0.2504,48.7793,10.8105,24.7320,-6.8700,0.007472,0.009593,0.084935,0.000065,10.000000,2,polynomial
0.0874,descent,0.2504,48.8672,10.8105,27.4800,-6.8700,0.007174,0.009359,0.084935,0.000065,10.000000,2,polynomial
0.0885,descent,0.2504,49.1309,10.7227,32.9760,-8.2440,0.006682,0.008992,0.084935,0.000065,10.000000,2,polynomial
0.0896,descent,0.2504,49.2188,10.7227,37.0980,-8.2440,0.006249,0.008656,0.084933,0.000067,10.000000,2,polynomial
0.0907,descent,0.2504,49.3066,10.7227,39.8460,-8.2440,0.005951,0.008421,0.084933,0.000067,10.000000,2,polynomial
0.0919,descent,0.2504,49.4824,10.7227,43.9680,-8.2440,0.005490,0.008054,0.084926,0.000074,10.000000,2,polynomial
0.0930,descent,0.2504,49.5703,10.7227,46.7160,-8.2440,0.005192,0.007819,0.084926,0.000074,10.000000,2,polynomial
0.0941,descent,0.2504,49.6582,10.7227,50.8380,-8.2440,0.004759,0.007483,0.084933,0.000067,10.000000,2,polynomial
0.0953,descent,0.2504,49.7461,10.6348,53.5860,-8.2440,0.004492,0.007289,0.084921,0.000079,10.000000,2,polynomial
0.0963,descent,0.2504,49.9219,10.6348,56.3340,-8.2440,0.004165,0.007023,0.084921,0.000079,10.000000,2,polynomial
0.0974,descent,0.2504,50.0098,10.6348,60.4560,-9.6180,0.003834,0.006780,0.084914,0.000086,10.000000,2,polynomial
0.0986,descent,0.2504,50.1855,10.6348,67.3260,-9.6180,0.003104,0.006209,0.084914,0.000086,10.000000,2,polynomial
0.0996,descent,0.2504,50.2734,10.6348,70.0740,-9.6180,0.002806,0.005974,0.084908,0.000092,10.000000,2,polynomial
0.1007,descent,0.2504,50.4492,10.6348,74.1960,-8.2440,0.002242,0.005514,0.084908,0.000092,10.000000,2,polynomial
0.1018,descent,0.2504,50.5371,10.5469,76.9440,-9.6180,0.002077,0.005413,0.084919,0.000081,10.000000,2,polynomial
