Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStrength_N_per_m,Sigma_m,Strength
0.0008,descent,0.6771,48.4277,42.8027,10.9920,-1.3740,0.024496,0.141404,0.085004,-0.000004,0.0000,0.0100,300
0.0019,descent,0.6771,48.4277,42.8906,8.2440,0.0000,0.024616,0.235049,0.085004,-0.000004,0.0000,0.0100,300
0.0030,descent,0.6771,48.4277,42.8906,6.8700,0.0000,0.024673,0.235050,0.084990,0.000010,0.0000,0.0100,300
0.0041,descent,0.6771,48.3398,42.8906,5.4960,0.0000,0.024887,0.235045,0.084990,0.000010,0.0000,0.0100,300
0.0052,descent,0.6771,48.3398,42.8906,4.1220,0.0000,0.025573,0.235045,0.084991,0.000009,0.0000,0.0100,300
0.0063,descent,0.6771,48.3398,42.8906,2.7480,1.3740,0.040518,0.140394,0.084991,0.000009,0.0000,0.0100,300
0.0074,descent,0.6771,48.3398,42.8906,1.3740,1.3740,0.130618,0.140394,0.084997,0.000003,0.0000,0.0100,300
0.0085,descent,0.6771,48.2520,42.9785,-2.7480,1.3740,0.040901,0.139819,0.084992,0.000008,0.0000,0.0100,300
0.0096,descent,0.6771,48.2520,42.9785,-2.7480,2.7480,0.040901,0.049559,0.084992,0.000008,0.0000,0.0100,300
0.0107,descent,0.6771,48.1641,42.9785,-4.1220,2.7480,0.026219,0.049555,0.084991,0.000009,0.0000,0.0100,300
0.0119,descent,0.6771,48.1641,43.0664,-5.4960,4.1220,0.025652,0.033878,0.084991,0.000009,0.0000,0.0100,300
0.0130,descent,0.6771,48.1641,43.1543,-6.8700,5.4960,0.025707,0.032461,0.084976,0.000024,0.0000,0.0100,300
0.0142,descent,0.6771,48.1641,43.1543,-8.2440,5.4960,0.025764,0.032461,0.084976,0.000024,0.0000,0.0100,300
0.0152,descent,0.6771,48.0762,43.2422,-9.6180,6.8700,0.025975,0.031660,0.084972,0.000028,0.0000,0.0100,300
0.0163,descent,0.6771,48.0762,43.2422,-9.6180,8.2440,0.025975,0.031443,0.084972,0.000028,0.0000,0.0100,300
0.0174,descent,0.6771,48.0762,43.3301,-10.9920,8.2440,0.026037,0.030872,0.084976,0.000024,0.0000,0.0100,300
0.0186,descent,0.6771,48.0762,43.4180,-10.9920,9.6180,0.026041,0.030083,0.084976,0.000024,0.0000,0.0100,300
0.0196,descent,0.6771,48.0762,43.5059,-12.3660,13.7400,0.026103,0.028859,0.084997,0.000003,0.0000,0.0100,300
0.0207,descent,0.6771,47.9883,43.5937,-13.7400,15.1140,0.026314,0.028066,0.084972,0.000028,0.0000,0.0100,300
0.0219,descent,0.6771,47.9883,43.6816,-13.7400,16.4880,0.026318,0.027278,0.084972,0.000028,0.0000,0.0100,300
0.0230,descent,0.6771,47.9883,43.7695,-15.1140,19.2360,0.026380,0.026271,0.084990,0.000010,0.0000,0.0100,300
0.0241,descent,0.6771,47.9883,43.8574,-15.1140,20.6100,0.026384,0.025483,0.084990,0.000010,0.0000,0.0100,300
0.0252,descent,0.6771,47.9004,43.8574,-15.1140,23.3580,0.026533,0.025043,0.084996,0.000004,0.0000,0.0100,300
0.0263,descent,0.6771,47.9004,43.9453,-15.1140,24.7320,0.026537,0.024254,0.084996,0.000004,0.0000,0.0100,300
0.0274,descent,0.6771,47.9004,43.9453,-16.4880,26.1060,0.026594,0.024036,0.084975,0.000025,0.0000,0.0100,300
