time_s,type,k_index,k_ring,cycle,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,qdot_0,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6,qdot_7,qdot_8,qdot_9,qdot_10,qdot_11,qdot_12,qdot_13,qdot_14,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,note,velocity
9.6594,state,20.0,20.0,1,0.010737865515199467,-0.06135923151542584,-0.31139809994078516,-1.1090681096413186,0.21015536794033268,0.08436894333371026,0.009203884727313764,0.9127185687919567,0.7148350471547087,0.04755340442445486,-0.29145634969827194,0.7347767973972221,0.7930680673368764,0.03221359654559795,-0.355883542789469,-0.13859037077022868,-0.007387746751551724,0.02992434412027243,-1.2759606989082417,-0.47069907509422576,-0.1548166832953957,0.866769812585406,-0.028906564888582755,0.991300074835884,0.2613182773050426,-4.480056784174462,-0.26916941239092695,0.04583452756731076,0.20149267926553002,-5.531306786533555,0.023481663495407305,0.12015597606533221,0.055305909092264655,0.0073207117812378025,0.0060761412893616555,0.0017895599112282747,-0.000322434423306762,0.04657540624377429,0.017863672065550378,-0.005137364179787742,0.3006205644491254,0.01210997096789468,0.0335082598172475,-0.0033311216456338552,0.3700074027977173,,
9.6887,state,20.0,20.0,1,0.02761165418194174,-0.052155346788112074,-0.3098641191528995,-1.1351457830353744,0.17487380981896328,0.055223308363883034,0.016873788666742273,0.9019807032767571,0.6872233929727674,0.049087385212340504,-0.07669903939428242,0.7271068934577939,0.8329515678219032,0.03374757733348366,-0.15493205957644965,0.2132810161274102,0.15955393634712065,0.02605320127369836,-1.157864633234607,-0.939085215694855,-0.5119875195049854,0.6259503860628768,-0.2182677032196999,0.02204509518660955,0.1793806100740036,0.4389001819092604,-0.2455084060901946,0.47009268934679893,0.14256932783456147,-1.0445288628325262,-0.0027023472663929293,0.004735936970415702,0.06530095736090372,0.00664063916349812,0.013258856179583733,0.006410160659441048,-0.00027838170707979637,0.007720911712758483,0.0847280088469135,-0.004294574902389202,0.017136968711389085,0.011164589570852175,0.018574889188557264,-0.0027329752117839726,0.10911391728562223,,
9.7172,state,20.0,20.0,1,0.05062136600022637,-0.0398835004850269,-0.28992236891038625,-1.1566215140657732,0.14266021327336445,0.02914563496982722,0.016873788666742273,0.8927768185494434,0.6504078540635119,0.05062136600022615,0.15339807878856393,0.7209709703062513,0.8728350683069297,0.035281558121369364,0.07516505860639626,0.44275575905494174,0.27511781951971886,0.08274221530174584,-0.9819512980818095,-1.0825361356437666,-0.7647719461642727,0.3939326241506541,-0.312128510700892,-0.5659886114756998,0.12127857801501354,4.406414216769819,-0.22732643926693338,0.9959271897056731,0.09474840633609728,3.512590892343522,-0.03226102374118098,-0.019054477505466863,0.01662798415154714,0.005619081758026528,0.015458580774466879,0.009680276078783025,-0.00022844814783297114,0.008052338993157646,0.03240287770408024,-0.003664867537239891,-0.16765416783202605,0.010143752199861408,0.012530907125210669,-0.0022329823684773416,-0.13351779203893985,,
9.7458,state,20.0,20.0,1,0.0690291354548539,-0.033747577333484095,-0.2485048876374739,-1.1688933603688585,0.11658253987930887,0.009203884727313988,0.016873788666742273,0.8881748761857862,0.6258641614573416,0.05062136600022615,0.3512816004258119,0.7163690279425946,0.8805049722463582,0.03374757733348366,0.28071848418307227,0.6683895975350708,0.33953073586186805,0.49471358500105317,-0.761911717373318,-1.0860519015273766,-0.8186945769276405,0.16915546355392905,-0.2826289366290744,-0.9640714321269815,0.06510511556587234,6.467927069394345,-0.20827258660098644,1.155789862929654,0.06334611555981971,6.193283854414143,-0.05486781739477753,-0.0349970118936502,0.011381348786235573,0.00433466835490744,0.015510129700710942,0.010377496461525346,-0.00018087322749784057,0.007735191460221794,0.03622846843784162,-0.003946337484908934,-0.24552330528645464,0.009438942610218999,0.010674948128005124,-0.0030362581863253232,-0.23483611027630558,,
9.7744,state,20.0,20.0,1,0.07516505860639626,-0.033747577333484095,-0.19021361769781944,-1.1765632643082868,0.09203884727313853,-0.009203884727313764,0.016873788666742273,0.8820389530342436,0.6151262959421421,0.04755340442445486,0.5031456984264902,0.7117670855789375,0.8713010875190441,0.035281558121369364,0.46939812109300594,0.6429632968498176,0.2783904096074394,1.1059122652955038,-0.56868447729139,-0.9993026846524061,-0.7749901010365182,0.08022445379884709,-0.21232737057672132,-0.91082991678786,0.016976050362017707,6.970489627664311,-0.1917115551973755,0.6589396281826876,0.04141103566908888,7.020553976281978,-0.057997261957661674,-0.036665628824524954,0.0038811538298090713,0.0032035822914662925,0.014176550772728667,0.011240395190991263,-0.00024224773240055694,0.007536574616043519,0.0361665895080274,-0.07511528272518742,-0.26443826258744757,0.009474149719516642,0.01482064392798753,-0.016493919251046128,-0.26604027632037613,,
9.8031,state,20.0,20.0,1,0.0690291354548539,-0.0352815581213698,-0.14112623248547898,-1.1780972450961726,0.07516505860639626,-0.024543692606170113,0.016873788666742273,0.8759030298827011,0.6135923151542564,0.04755340442445486,0.47400006345666307,0.7071651432152806,0.8559612796401879,0.035281558121369364,0.487805890547634,0.3537208390873264,0.1249353264226552,1.6459930239169807,-0.3600552948567565,-0.867414869728064,-0.6870820239744687,0.043591765053282695,-0.19318895708147185,-0.5423601835284386,-0.025963588134849773,5.430182309290172,-0.1626371135115401,0.05341429488442015,0.026950005500894696,6.175092592458906,-0.04372529590501156,-0.028236294578015672,-0.0025832609490194624,0.001994911040374366,0.012152170717453328,0.012484193442532356,-0.012259534837661052,0.007932719420686386,0.03360505632049578,-0.04938453342671974,-0.20619935751377663,0.010171485930290663,0.02456808739176421,-0.04609018821814115,-0.23405434271292383,,
9.8317,state,20.0,20.0,1,0.05675728915176873,-0.03834951969714121,-0.09357282806102402,-1.1780972450961726,0.05829126993965444,-0.03681553890925528,0.016873788666742273,0.868233125943273,0.6135923151542564,0.036815538909255395,0.2914563496982717,0.7040971816395093,0.8375535101855599,0.035281558121369364,0.3359417925469553,-0.012271898465552586,0.03232582385417894,1.7414179106627385,-0.15436019453327124,-0.731754652860111,-0.5815010380961705,0.030818736284810473,-0.21033195539538918,-0.22465388543134482,-0.017646723672533518,1.0273802992673953,-0.13820495131382438,-0.3133745286963378,0.02501611352356455,2.3442955600524837,-0.10702447079730208,-0.048109346755317965,-0.006398529129709722,0.0008073351032201454,0.010070550318927758,0.013023199957929313,-0.03494920928853331,0.008805215200681633,0.031583338882388665,-0.07300135194495783,-0.039783667692942726,0.011130520034386719,0.024355062978553207,-0.051378200045896646,-0.08923334346043124,,
9.8601,state,20.0,20.0,1,0.03988350048502646,-0.046019423636569266,-0.05675728915176873,-1.1780972450961726,0.046019423636569266,-0.046019423636569266,0.016873788666742273,0.8590292412159592,0.6135923151542564,-0.010737865515199467,0.09203884727313853,0.7025632008516235,0.8191457407309324,0.03221359654559795,0.1303883669702793,-0.2185690232753737,-0.06880298820609124,1.6351934699158246,-0.0598023020482151,-0.6210960190301474,-0.4747290388188202,0.02662997127358549,-0.23728540860444083,-0.0870355181495616,-0.3094264103417934,-3.2120145358639354,-0.11983220253949094,-0.4926888594296461,0.01982555978068467,-2.0568303053243198,0.0012743055150849086,-0.0014077740240683381,-0.008321874304828884,0.0021421110289533583,0.008372789967432731,0.013070617625519669,-0.045613482575842246,0.009652169822786353,0.030927802533095645,0.0018601044877176725,0.12045958192610529,0.011871277481660386,0.02680836375007302,-0.06609173635978248,0.07715142920227923,,
9.8893,state,20.0,20.0,1,0.016873788666742273,-0.05522330836388348,-0.023009711818284633,-1.1780972450961726,0.036815538909255506,-0.05215534678811185,0.01380582709097087,0.8498253564886452,0.6151262959421421,-0.07976700097005338,-0.1365242901218221,0.701029220063738,0.8022719520641904,0.02761165418194085,-0.09970875121256659,-0.48493962106408095,-0.19826300226095855,1.4612185028125317,-0.02085177339256068,-0.4791648309336227,-0.35868815884548155,0.022506442096167555,-0.28140346874485844,-0.030347408701684384,-1.2122095259341672,-5.905333679495848,-0.08282870789191173,-0.5889527728256274,-0.043508943271743226,-5.522257411181588,0.03273937723588399,0.019813013587708133,-0.00964717045363606,0.06172673932042269,0.0061962037870155725,0.012521964708736373,-0.057085690471752125,0.01083125991647773,0.06689237287143582,0.019014829635294616,0.28421946074929527,0.012835177506893357,0.0286895069135373,-0.013084289016669583,0.25341972297854765,,
9.9180,state,20.0,20.0,1,0.0015339807878857015,-0.06289321230331153,0.007669903939428286,-1.1780972450961726,0.029145634969826997,-0.05829126993965421,0.0,0.8375535101855601,0.6151262959421421,-0.13192234775816516,-0.32366994624387035,0.6994952392758526,0.7915340865489906,0.015339807878856127,-0.3144660615165563,-0.6396376932567437,-0.2613400913346089,1.272594493539141,-0.00807840424426305,-0.37589446497760953,-0.27462832493979117,-0.06304537967332512,-0.3182077896606183,0.0007536622617819116,-1.840100938512339,-6.826966895467903,-0.051649474093784085,-0.5545352139608114,-0.12625651929653148,-6.806368594823657,0.054052891503248296,0.03404251310754743,-0.010149776440886667,-0.0930407712236139,0.004611802651822039,0.01238691078462343,-0.0013058866449094989,0.011782697826529144,0.1310664445279639,0.03145897304467649,0.4040005002319972,0.018489209571686562,0.029151161937714668,-7.352292352221629e-05,0.3994368713185922,,
9.9466,state,20.0,20.0,1,0.0015339807878857015,-0.06442719309119724,0.0322135965455984,-1.1765632643082868,0.023009711818284633,-0.06135923151542561,-0.0352815581213698,0.8268156446703606,0.621262219093685,-0.14572817484913592,-0.36662140830466844,0.6994952392758526,0.786932144185334,0.0015339807878848133,-0.4049709280018092,-0.5203353531901715,-0.24540448221888142,1.1117680289610246,-0.00281676539038686,-0.3151065816095149,-0.20829541544597413,-0.3574120097789534,-0.3497969669441822,0.02238081670959749,-1.7641129842408416,-6.2378565339433,-0.03123020331159196,-0.42944100259898976,-0.3112614040122344,-6.841515674596384,0.05220618416960249,0.033614258903663354,-0.009230102181020276,-0.09919671334181457,0.003678042209864739,0.012004760127721878,7.621391160877048e-05,0.011911749674846739,0.0880358816857493,0.0323484134988687,0.40121398223883,0.04696655200777701,0.0282964164901917,0.001763323391882561,0.4418430477316844,,
9.9756,state,20.0,20.0,1,0.01380582709097087,-0.06289321230331153,0.055223308363883034,-1.1980389953386859,0.018407769454627528,-0.06289321230331131,-0.09357282806102424,0.8145437983672753,0.6642136811544828,-0.13805827090970768,-0.21629129109187548,0.6994952392758526,0.786932144185334,0.006135923151541918,-0.2960582920619288,-0.19940215725029484,-0.1124241090288898,0.9972338308910941,0.017904232992107815,-0.23900330380944015,-0.15017725441755925,-0.9110025927206515,-0.38493783800214604,0.2173525287891636,-1.0405247666145292,-3.2822865858062147,-0.012099220638546378,-0.25688194299592154,-0.36892796541729705,-4.575318002234815,0.03171383068236549,0.02255321827636804,-0.008566659419083689,-0.07024224097474854,0.002508957525530235,0.011490623253834062,0.00037796497425670065,0.011103486346860753,0.027064580915044142,0.024244022853454845,0.22119719943878802,0.09735673769093209,0.02660346563511175,0.0023406143955920595,0.30669723062177917,,
10.0053,state,20.0,20.0,1,0.029145634969826997,-0.05675728915176873,0.0751650586063965,-1.274738034732968,0.016873788666742273,-0.06289321230331131,-0.12118448224296555,0.8007379712763049,0.724038931882023,-0.11811652066719436,0.010737865515199467,0.7071651432152806,0.786932144185334,0.012271846303084725,-0.0720970970306253,0.17819028831236583,-0.011652056477830986,0.8576183120685817,-0.5392825005353573,-0.15990677399785375,-0.07889102512861151,-1.4632227021874902,-0.42787649267779726,1.0058222562566508,-0.20263192294739824,1.9175087653905796,0.002735701558822528,-0.09360661889069387,-0.0521915259720838,0.6395180923286014,0.005154532091856026,0.09356723893937803,-0.007741282974982657,0.0029872149136627967,0.0012953318759051937,0.010667500121161565,0.0005854102052515486,0.009985135506990652,0.0180587317734902,0.0135623250969425,-0.07360164997856627,0.11052878198804794,0.024884959547970452,-0.0056396686422202505,0.007833718594627236,,
10.0338,state,20.0,20.0,1,0.05215534678811163,-0.04908738521234067,0.08897088569736712,-1.37598076673342,0.018407769454627528,-0.06289321230331131,-0.11351457830353746,0.7884661249732197,0.7424467013366504,-0.08743690490948153,0.21629129109187548,0.7485826244881929,0.786932144185334,0.018407769454627528,0.1365242901218221,0.42415260666163623,0.1250450382780881,0.7279697395368869,-1.7984916104068396,-0.08464164882106937,-0.027507599579734164,-1.0574379932369435,-0.4288894065479229,1.5737014454094915,0.4187515274352349,5.454857875894878,0.23538797622671218,-0.03263860985784234,0.12916652496898012,4.93750069976958,-0.02634891630824376,-0.010419540226588198,-0.00696177962269413,0.010215201947669767,0.00017561676689274806,0.053042406313670146,0.000454183769607193,0.009135634951340382,0.012526398035474466,0.003776643206999641,-0.20731285636123672,0.00886549594500974,0.054143027417831224,-0.00256407854963119,-0.18739543721418947,,
10.0626,state,20.0,20.0,1,0.07669903939428196,-0.042951462060798314,0.1012427320004523,-1.4756895179459868,0.016873788666742273,-0.06289321230331131,-0.09817477042468091,0.7761942786701344,0.7301748550335652,-0.05522330836388309,0.42798063982009377,0.8406214717613314,0.786932144185334,0.02454369260616945,0.3620194659410113,0.6767165434297883,0.23103124062696254,0.596973696218278,-2.828226639920925,-0.030462801389361128,-0.009591306912357126,-0.22182059695985756,-0.4196277157578457,0.9515749576049463,0.8492016757302637,6.827635538055716,1.1483019934121208,-0.011380379572264954,0.19883177649534323,6.725746039878504,-0.05931417947850166,-0.02560937602803029,-0.00617180447072598,0.016170705993330252,-0.03635228526760144,0.09995503851343883,0.0002034305506605258,0.00876116848401111,0.01753039027169545,-0.004269660636123133,-0.25911255024622387,0.0032690032482093566,0.1083771901146435,-0.0032092637529053886,-0.2549409964425478,,
