Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad
0.0007,descent,1.2428,48.7793,42.8906,-5.4960,-23.3580,0.030848,0.043770,0.085001,-0.000001,0.6000
0.0018,descent,1.2428,48.6914,42.8906,-5.4960,-23.3580,0.031028,0.043765,0.085000,-0.000000,0.6000
0.0030,descent,1.2428,48.6914,42.8906,-5.4960,-21.9840,0.031028,0.043711,0.085000,-0.000000,0.6000
0.0040,descent,1.2428,48.6914,42.8027,-5.4960,-21.9840,0.031023,0.044398,0.084990,0.000010,0.6000
0.0052,descent,1.2428,48.6914,42.8027,-5.4960,-21.9840,0.031023,0.044398,0.084990,0.000010,0.6000
0.0062,descent,1.2428,48.6914,42.8027,-5.4960,-21.9840,0.031023,0.044398,0.085006,-0.000006,0.6000
0.0074,descent,1.2428,48.6914,42.8027,-5.4960,-20.6100,0.031023,0.044343,0.085006,-0.000006,0.6000
0.0085,descent,1.2422,48.6914,42.8027,-5.4960,-20.6100,0.031023,0.044343,0.084992,0.000008,0.6000
0.0096,descent,1.2422,48.6914,42.8027,-5.4960,-20.6100,0.031023,0.044343,0.084992,0.000008,0.6000
0.0108,descent,1.2422,48.6914,42.8027,-5.4960,-19.2360,0.031023,0.044289,0.084992,0.000008,0.6000
0.0118,descent,1.2422,48.6914,42.8027,-4.1220,-19.2360,0.031637,0.044289,0.084999,0.000001,0.6000
0.0129,descent,1.2422,48.6914,42.8027,-4.1220,-17.8620,0.031637,0.044234,0.084999,0.000001,0.6000
0.0140,descent,1.2422,48.6914,42.7148,-4.1220,-17.8620,0.031633,0.044921,0.084999,0.000001,0.6000
0.0151,descent,1.2422,48.6914,42.7148,-2.7480,-17.8620,0.046507,0.044921,0.084999,0.000001,0.6000
0.0163,descent,1.2422,48.6914,42.7148,-2.7480,-17.8620,0.046507,0.044921,0.084996,0.000004,0.6000
0.0174,descent,1.2422,48.6914,42.7148,-2.7480,-16.4880,0.046507,0.044867,0.084996,0.000004,0.6000
0.0185,descent,1.2422,48.6914,42.7148,-2.7480,-16.4880,0.046507,0.044867,0.084997,0.000003,0.6000
0.0196,descent,1.2422,48.6914,42.7148,-2.7480,-15.1140,0.046507,0.044812,0.084997,0.000003,0.6000
0.0207,descent,1.2422,48.6914,42.7148,-2.7480,-15.1140,0.046507,0.044812,0.084982,0.000018,0.6000
0.0218,descent,1.2422,48.6914,42.7148,-2.7480,-15.1140,0.046507,0.044812,0.084978,0.000022,0.6000
0.0229,descent,1.2422,48.6914,42.7148,-2.7480,-13.7400,0.046507,0.044758,0.084978,0.000022,0.6000
0.0241,descent,1.2422,48.6914,42.7148,-2.7480,-13.7400,0.046507,0.044758,0.084989,0.000011,0.6000
0.0252,descent,1.2422,48.6914,42.7148,-2.7480,-12.3660,0.046507,0.044703,0.084989,0.000011,0.6000
0.0266,descent,1.2422,48.6914,42.7148,-2.7480,-12.3660,0.046507,0.044703,0.084993,0.000007,0.6000
0.0274,descent,1.2422,48.6914,42.7148,-2.7480,-12.3660,0.046507,0.044703,0.084993,0.000007,0.6000
0.0285,descent,1.2422,48.6914,42.7148,-2.7480,-10.9920,0.046507,0.044649,0.084978,0.000022,0.6000
0.0296,descent,1.2422,48.6914,42.7148,-1.3740,-9.6180,0.136534,0.044595,0.084978,0.000022,0.6000
0.0307,descent,1.2422,48.6914,42.7148,-1.3740,-9.6180,0.136534,0.044595,0.084975,0.000025,0.6000
0.0318,descent,1.2422,48.6914,42.7148,-1.3740,-8.2440,0.136534,0.044540,0.084984,0.000016,0.6000
0.0329,descent,1.2422,48.6914,42.7148,-1.3740,-8.2440,0.136534,0.044540,0.084984,0.000016,0.6000
0.0340,descent,1.2422,48.6914,42.7148,-1.3740,-6.8700,0.136534,0.044486,0.084973,0.000027,0.6000
0.0351,descent,1.2422,48.6914,42.7148,-1.3740,-6.8700,0.136534,0.044486,0.084973,0.000027,0.6000
0.0362,descent,1.2422,48.6914,42.7148,0.0000,-6.8700,0.230954,0.044486,0.084976,0.000024,0.6000
0.0373,descent,1.2422,48.6914,42.7148,0.0000,-5.4960,0.230954,0.044439,0.084976,0.000024,0.6000
0.0384,descent,1.2422,48.6914,42.7148,0.0000,-5.4960,0.230954,0.044439,0.084976,0.000024,0.6000
0.0396,descent,1.2422,48.6914,42.7148,0.0000,-4.1220,0.230954,0.045013,0.084976,0.000024,0.6000
0.0407,descent,1.2422,48.6914,42.7148,0.0000,-4.1220,0.230954,0.045013,0.084981,0.000019,0.6000
0.0418,descent,1.2422,48.6914,42.7148,0.0000,-4.1220,0.230954,0.045013,0.084981,0.000019,0.6000
0.0429,descent,1.2422,48.6914,42.7148,0.0000,-2.7480,0.230954,0.059847,0.084982,0.000018,0.6000
0.0440,descent,1.2422,48.6914,42.7148,0.0000,-2.7480,0.230954,0.059847,0.084965,0.000035,0.6000
0.0465,descent,1.2422,48.6914,42.7148,0.0000,-2.7480,0.230954,0.059847,0.084974,0.000026,0.6000
0.0474,descent,1.2422,48.7793,42.7148,1.3740,-2.7480,0.136327,0.059851,0.084974,0.000026,0.6000
0.0485,descent,1.2422,48.8672,42.7148,1.3740,-1.3740,0.136148,0.149844,0.084958,0.000042,0.6000
0.0496,descent,1.2422,48.9551,42.7148,4.1220,-1.3740,0.031010,0.149848,0.084958,0.000042,0.6000
0.0507,descent,1.2422,49.0430,42.7148,4.1220,-1.3740,0.030831,0.149853,0.084953,0.000047,0.6000
0.0518,descent,1.2422,49.1309,42.7148,5.4960,-1.3740,0.030008,0.149858,0.084953,0.000047,0.6000
0.0529,descent,1.2422,49.2188,42.7148,8.2440,0.0000,0.029794,0.244241,0.084963,0.000037,0.6000
