Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStrength_N_per_m,Sigma_m,Strength
0.0008,descent,0.7089,49.5703,45.5273,42.5940,57.7080,0.021384,0.008838,0.085001,-0.000001,0.0000,0.0100,0
0.0018,descent,0.7089,49.4824,45.5273,39.8460,56.3340,0.021648,0.009051,0.085001,-0.000001,0.0000,0.0100,0
0.0029,descent,0.7089,49.4824,45.5273,37.0980,53.5860,0.021763,0.009487,0.085008,-0.000008,0.0000,0.0100,0
0.0041,descent,0.7089,49.4824,45.5273,34.3500,48.0900,0.021878,0.010359,0.085008,-0.000008,0.0000,0.0100,0
0.0051,descent,0.7089,49.4824,45.5273,34.3500,48.0900,0.021878,0.010359,0.085006,-0.000006,0.0000,0.0100,0
0.0063,descent,0.7089,49.4824,45.4395,27.4800,39.8460,0.022162,0.012236,0.085006,-0.000006,0.0000,0.0100,0
0.0074,descent,0.7089,49.3945,45.4395,24.7320,39.8460,0.022425,0.012232,0.084989,0.000011,0.0000,0.0100,0
0.0086,descent,0.7089,49.3945,45.3516,21.9840,35.7240,0.022536,0.013456,0.084995,0.000005,0.0000,0.0100,0
0.0096,descent,0.7089,49.3945,45.3516,19.2360,30.2280,0.022651,0.014327,0.084995,0.000005,0.0000,0.0100,0
0.0107,descent,0.7089,49.3945,45.3516,17.8620,27.4800,0.022709,0.014763,0.085004,-0.000004,0.0000,0.0100,0
0.0119,descent,0.7089,49.3066,45.3516,15.1140,24.7320,0.022972,0.015194,0.085004,-0.000004,0.0000,0.0100,0
0.0130,descent,0.7089,49.3066,45.2637,12.3660,20.6100,0.023083,0.016418,0.084990,0.000010,0.0000,0.0100,0
0.0141,descent,0.7089,49.3066,45.2637,10.9920,17.8620,0.023141,0.016854,0.084990,0.000010,0.0000,0.0100,0
0.0151,descent,0.7089,49.3066,45.2637,8.2440,15.1140,0.023256,0.017290,0.085005,-0.000005,0.0000,0.0100,0
0.0162,descent,0.7089,49.2188,45.1758,4.1220,9.6180,0.024208,0.018727,0.085005,-0.000005,0.0000,0.0100,0
0.0174,descent,0.7089,49.2188,45.1758,2.7480,6.8700,0.039154,0.019163,0.084980,0.000020,0.0000,0.0100,0
0.0185,descent,0.7089,49.2188,45.0879,1.3740,4.1220,0.129249,0.020805,0.084974,0.000026,0.0000,0.0100,0
0.0196,descent,0.7089,49.1309,45.0879,-1.3740,2.7480,0.129513,0.035907,0.084974,0.000026,0.0000,0.0100,0
0.0207,descent,0.7089,49.1309,45.0000,-2.7480,0.0000,0.039524,0.221389,0.084995,0.000005,0.0000,0.0100,0
0.0218,descent,0.7089,49.1309,45.0000,-4.1220,0.0000,0.024693,0.221389,0.084995,0.000005,0.0000,0.0100,0
0.0230,descent,0.7089,49.0430,45.0000,-5.4960,-2.7480,0.024270,0.037344,0.085002,-0.000002,0.0000,0.0100,0
0.0241,descent,0.7089,49.0430,45.0000,-6.8700,-4.1220,0.024321,0.022674,0.085002,-0.000002,0.0000,0.0100,0
0.0252,descent,0.7089,48.9551,44.9121,-9.6180,-8.2440,0.024580,0.023258,0.084980,0.000020,0.0000,0.0100,0
0.0262,descent,0.7089,48.9551,44.8242,-10.9920,-10.9920,0.024633,0.024264,0.084980,0.000020,0.0000,0.0100,0
0.0274,descent,0.7089,48.9551,44.8242,-12.3660,-12.3660,0.024690,0.024482,0.084983,0.000017,0.0000,0.0100,0
0.0285,descent,0.7089,48.8672,44.7363,-13.7400,-13.7400,0.024892,0.025266,0.084982,0.000018,0.0000,0.0100,0
0.0297,descent,0.7089,48.8672,44.7363,-13.7400,-13.7400,0.024892,0.025266,0.084982,0.000018,0.0000,0.0100,0
0.0307,descent,0.7089,48.8672,44.7363,-15.1140,-17.8620,0.024950,0.025919,0.084974,0.000026,0.0000,0.0100,0
0.0318,descent,0.7089,48.8672,44.6484,-16.4880,-19.2360,0.025003,0.026708,0.084974,0.000026,0.0000,0.0100,0
0.0329,descent,0.7089,48.7793,44.6484,-17.8620,-19.2360,0.025209,0.026703,0.084983,0.000017,0.0000,0.0100,0
0.0341,descent,0.7089,48.7793,44.5605,-17.8620,-21.9840,0.025204,0.027710,0.084983,0.000017,0.0000,0.0100,0
0.0353,descent,0.7089,48.6914,44.5605,-19.2360,-23.3580,0.025410,0.027923,0.084988,0.000012,0.0000,0.0100,0
0.0366,descent,0.7089,48.6914,44.5605,-19.2360,-23.3580,0.025410,0.027923,0.084977,0.000023,0.0000,0.0100,0
0.0376,descent,0.7089,48.6914,44.4727,-20.6100,-24.7320,0.025463,0.028712,0.084977,0.000023,0.0000,0.0100,0
0.0387,descent,0.7089,48.6914,44.4727,-20.6100,-24.7320,0.025463,0.028712,0.084971,0.000029,0.0000,0.0100,0
0.0397,descent,0.7089,48.6035,44.4727,-21.9840,-26.1060,0.025669,0.028925,0.084971,0.000029,0.0000,0.0100,0
0.0409,descent,0.7089,48.6035,44.4727,-21.9840,-26.1060,0.025669,0.028925,0.084984,0.000016,0.0000,0.0100,0
0.0419,descent,0.7089,48.6035,44.3848,-21.9840,-26.1060,0.025665,0.029496,0.084984,0.000016,0.0000,0.0100,0
0.0431,descent,0.7089,48.6035,44.3848,-21.9840,-27.4800,0.025665,0.029713,0.084975,0.000025,0.0000,0.0100,0
0.0442,descent,0.7090,48.5156,44.3848,-21.9840,-27.4800,0.025813,0.029709,0.084975,0.000025,0.0000,0.0100,0
0.0452,descent,0.7090,48.5156,44.3848,-23.3580,-27.4800,0.025871,0.029709,0.084967,0.000033,0.0000,0.0100,0
0.0466,descent,0.7090,48.5156,44.2969,-23.3580,-27.4800,0.025866,0.030280,0.084949,0.000051,0.0000,0.0100,0
0.0475,descent,0.7090,48.5156,44.2969,-23.3580,-27.4800,0.025866,0.030280,0.084949,0.000051,0.0000,0.0100,0
0.0488,descent,0.7090,48.4277,44.2090,-23.3580,-27.4800,0.026010,0.030846,0.084966,0.000034,0.0000,0.0100,0
0.0497,descent,0.7090,48.4277,44.2090,-23.3580,-27.4800,0.026010,0.030846,0.084966,0.000034,0.0000,0.0100,0
0.0508,descent,0.7090,48.3398,44.2090,-23.3580,-27.4800,0.026158,0.030841,0.084963,0.000037,0.0000,0.0100,0
0.0519,descent,0.7090,48.3398,44.1211,-23.3580,-27.4800,0.026154,0.031412,0.084963,0.000037,0.0000,0.0100,0
0.0530,descent,0.7090,48.3398,44.1211,-23.3580,-27.4800,0.026154,0.031412,0.084958,0.000042,0.0000,0.0100,0
0.0541,descent,0.7090,48.3398,44.1211,-23.3580,-27.4800,0.026154,0.031412,0.084958,0.000042,0.0000,0.0100,0
0.0551,descent,0.7090,48.2520,44.1211,-23.3580,-27.4800,0.026302,0.031407,0.084954,0.000046,0.0000,0.0100,0
0.0564,descent,0.7090,48.2520,44.0332,-23.3580,-27.4800,0.026298,0.031978,0.084963,0.000037,0.0000,0.0100,0
0.0574,descent,0.7090,48.1641,44.0332,-23.3580,-27.4800,0.026446,0.031973,0.084963,0.000037,0.0000,0.0100,0
0.0585,descent,0.7090,48.1641,43.9453,-23.3580,-27.4800,0.026442,0.032544,0.084956,0.000044,0.0000,0.0100,0
0.0596,descent,0.7090,48.1641,43.9453,-23.3580,-27.4800,0.026442,0.032544,0.084956,0.000044,0.0000,0.0100,0
0.0607,descent,0.7090,48.0762,43.9453,-23.3580,-26.1060,0.026590,0.032322,0.084956,0.000044,0.0000,0.0100,0
0.0618,descent,0.7090,48.0762,43.9453,-23.3580,-26.1060,0.026590,0.032322,0.084956,0.000044,0.0000,0.0100,0
0.0631,descent,0.7090,48.0762,43.9453,-23.3580,-26.1060,0.026590,0.032322,0.084933,0.000067,0.0000,0.0100,0
0.0641,descent,0.7090,48.0762,43.9453,-23.3580,-24.7320,0.026590,0.032104,0.084933,0.000067,0.0000,0.0100,0
0.0651,descent,0.7090,47.9883,43.8574,-23.3580,-24.7320,0.026734,0.032670,0.084944,0.000056,0.0000,0.0100,0
0.0662,descent,0.7090,47.9883,43.7695,-23.3580,-23.3580,0.026729,0.033023,0.084944,0.000056,0.0000,0.0100,0
0.0674,descent,0.7090,47.9004,43.7695,-23.3580,-23.3580,0.026878,0.033019,0.084936,0.000064,0.0000,0.0100,0
0.0685,descent,0.7090,47.9004,43.7695,-23.3580,-23.3580,0.026878,0.033019,0.084913,0.000087,0.0000,0.0100,0
0.0696,descent,0.7090,47.9004,43.7695,-23.3580,-23.3580,0.026878,0.033019,0.084913,0.000087,0.0000,0.0100,0
0.0707,descent,0.7090,47.8125,43.7695,-24.7320,-23.3580,0.027084,0.033014,0.084928,0.000072,0.0000,0.0100,0
0.0718,descent,0.7090,47.8125,43.6816,-24.7320,-23.3580,0.027079,0.033585,0.084928,0.000072,0.0000,0.0100,0
0.0729,descent,0.7090,47.8125,43.6816,-24.7320,-23.3580,0.027079,0.033585,0.084920,0.000080,0.0000,0.0100,0
0.0741,descent,0.7090,47.7246,43.6816,-24.7320,-23.3580,0.027228,0.033580,0.084920,0.000080,0.0000,0.0100,0
0.0752,descent,0.7090,47.7246,43.5937,-24.7320,-23.3580,0.027223,0.034151,0.084932,0.000068,0.0000,0.0100,0
0.0762,descent,0.7090,47.6367,43.5937,-24.7320,-23.3580,0.027371,0.034147,0.084932,0.000068,0.0000,0.0100,0
0.0774,descent,0.7090,47.6367,43.5937,-24.7320,-23.3580,0.027371,0.034147,0.084928,0.000072,0.0000,0.0100,0
0.0785,descent,0.7090,47.6367,43.5937,-26.1060,-23.3580,0.027429,0.034147,0.084923,0.000077,0.0000,0.0100,0
0.0796,descent,0.7090,47.5488,43.5059,-26.1060,-23.3580,0.027573,0.034713,0.084923,0.000077,0.0000,0.0100,0
0.0808,descent,0.7090,47.5488,43.5059,-26.1060,-21.9840,0.027573,0.034495,0.084907,0.000093,0.0000,0.0100,0
