Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Offset_mm
0.0008,descent,1.3230,51.9434,44.2969,32.9760,-41.2200,0.024072,0.033657,0.090004,-0.000004,0.6000,+5
0.0019,descent,1.3230,51.9434,44.2090,34.3500,-41.2200,0.024053,0.034344,0.089992,0.000008,0.6000,+5
0.0030,descent,1.3230,52.0312,44.2090,35.7240,-42.5940,0.023860,0.034403,0.089992,0.000008,0.6000,+5
0.0044,descent,1.3230,52.0312,44.1211,37.0980,-42.5940,0.023841,0.035090,0.090006,-0.000006,0.6000,+5
0.0053,descent,1.3230,52.0312,44.1211,39.8460,-42.5940,0.023813,0.035090,0.090006,-0.000006,0.6000,+5
0.0067,descent,1.3230,52.1191,44.0332,39.8460,-42.5940,0.023629,0.035781,0.090001,-0.000001,0.6000,+5
0.0094,descent,1.3230,52.1191,44.0332,39.8460,-42.5940,0.023629,0.035781,0.090007,-0.000007,0.6000,+5
0.0098,descent,1.3230,52.1191,44.0332,39.8460,-42.5940,0.023629,0.035781,0.090007,-0.000007,0.6000,+5
0.0109,descent,1.3230,52.1191,44.0332,41.2200,-41.2200,0.023615,0.035727,0.090007,-0.000007,0.6000,+5
0.0119,descent,1.3230,52.2070,43.8574,42.5940,-41.2200,0.023412,0.037105,0.089993,0.000007,0.6000,+5
0.0131,descent,1.3230,52.2070,43.8574,42.5940,-41.2200,0.023412,0.037105,0.089993,0.000007,0.6000,+5
0.0142,descent,1.3230,52.2070,43.8574,42.5940,-41.2200,0.023412,0.037105,0.089986,0.000014,0.6000,+5
0.0152,descent,1.3230,52.2070,43.7695,41.2200,-39.8460,0.023421,0.037738,0.089986,0.000014,0.6000,+5
0.0163,descent,1.3230,52.2070,43.7695,39.8460,-39.8460,0.023436,0.037738,0.089991,0.000009,0.6000,+5
0.0175,descent,1.3230,52.2070,43.7695,38.4720,-38.4720,0.023450,0.037683,0.089991,0.000009,0.6000,+5
0.0186,descent,1.3230,52.2070,43.5937,37.0980,-38.4720,0.023455,0.039057,0.090000,0.000000,0.6000,+5
0.0199,descent,1.3230,52.1191,43.5937,35.7240,-38.4720,0.023648,0.039052,0.089993,0.000007,0.6000,+5
0.0208,descent,1.3230,52.1191,43.5059,34.3500,-38.4720,0.023658,0.039739,0.089993,0.000007,0.6000,+5
0.0219,descent,1.3230,52.1191,43.5059,32.9760,-37.0980,0.023672,0.039684,0.089996,0.000004,0.6000,+5
0.0231,descent,1.3230,52.1191,43.5059,30.2280,-37.0980,0.023701,0.039684,0.089996,0.000004,0.6000,+5
0.0244,descent,1.3230,52.1191,43.5059,28.8540,-37.0980,0.023715,0.039684,0.089990,0.000010,0.6000,+5
0.0283,descent,1.3230,52.1191,43.4180,27.4800,-35.7240,0.023725,0.040317,0.089983,0.000017,0.6000,+5
0.0290,descent,1.3230,52.1191,43.4180,26.1060,-35.7240,0.023739,0.040317,0.089983,0.000017,0.6000,+5
0.0296,descent,1.3230,52.0312,43.3301,17.8620,-32.9760,0.023999,0.040890,0.090006,-0.000006,0.6000,+5
0.0308,descent,1.3230,52.0312,43.3301,16.4880,-32.9760,0.024013,0.040890,0.090006,-0.000006,0.6000,+5
0.0319,descent,1.3230,52.0312,43.3301,15.1140,-31.6020,0.024028,0.040835,0.089990,0.000010,0.6000,+5
0.0333,descent,1.3230,52.0312,43.3301,12.3660,-31.6020,0.024056,0.040835,0.089990,0.000010,0.6000,+5
0.0341,descent,1.3230,52.0312,43.3301,10.9920,-30.2280,0.024070,0.040781,0.089983,0.000017,0.6000,+5
0.0357,descent,1.3230,51.9434,43.3301,8.2440,-27.4800,0.024278,0.040667,0.089978,0.000022,0.6000,+5
0.0363,descent,1.3230,51.9434,43.3301,6.8700,-27.4800,0.024292,0.040667,0.089978,0.000022,0.6000,+5
0.0374,descent,1.3230,51.9434,43.3301,5.4960,-26.1060,0.024314,0.040613,0.089997,0.000003,0.6000,+5
0.0386,descent,1.3230,51.9434,43.3301,4.1220,-24.7320,0.024957,0.040559,0.089997,0.000003,0.6000,+5
0.0399,descent,1.3230,51.9434,43.3301,2.7480,-24.7320,0.039860,0.040559,0.089976,0.000024,0.6000,+5
0.0408,descent,1.3230,51.9434,43.3301,1.3740,-23.3580,0.129916,0.040504,0.089976,0.000024,0.6000,+5
0.0420,descent,1.3230,51.8555,43.3301,0.0000,-21.9840,0.224543,0.040445,0.089979,0.000021,0.6000,+5
0.0433,descent,1.3230,51.8555,43.3301,-1.3740,-20.6100,0.130123,0.040391,0.089979,0.000021,0.6000,+5
0.0441,descent,1.3230,51.8555,43.3301,-2.7480,-20.6100,0.040096,0.040391,0.089956,0.000044,0.6000,+5
0.0452,descent,1.3230,51.7676,43.3301,-5.4960,-17.8620,0.024786,0.040277,0.089956,0.000044,0.6000,+5
0.0463,descent,1.3230,51.7676,43.3301,-6.8700,-17.8620,0.024793,0.040277,0.089972,0.000028,0.6000,+5
0.0474,descent,1.3025,51.7676,43.3301,-6.8700,-16.4880,0.024793,0.040223,0.089972,0.000028,0.6000,+5
0.0485,descent,1.3025,51.7676,43.3301,-8.2440,-15.1140,0.024808,0.040168,0.089960,0.000040,0.6000,+5
0.0496,descent,1.3025,51.6797,43.3301,-9.6180,-15.1140,0.025001,0.040163,0.089970,0.000030,0.6000,+5
0.0507,descent,1.3025,51.6797,43.3301,-9.6180,-13.7400,0.025001,0.040109,0.089970,0.000030,0.6000,+5
0.0518,descent,1.3025,51.6797,43.3301,-10.9920,-12.3660,0.025015,0.040055,0.089973,0.000027,0.6000,+5
0.0530,descent,1.3025,51.6797,43.3301,-10.9920,-10.9920,0.025015,0.040000,0.089973,0.000027,0.6000,+5
