time_s,pose_id,converged,thumb_CMC1_act_rad,thumb_CMC2_act_rad,thumb_MCP_act_rad,thumb_IP_act_rad,spread_index_act_rad,spread_middle_act_rad,spread_ring_act_rad,spread_pinky_act_rad,index_MCP_act_rad,index_PIP_act_rad,index_DIP_act_rad,middle_MCP_act_rad,middle_PIP_act_rad,middle_DIP_act_rad,ring_MCP_act_rad,ring_PIP_act_rad,ring_DIP_act_rad,pinky_MCP_act_rad,pinky_PIP_act_rad,pinky_DIP_act_rad,thumb_CMC1_ref_rad,thumb_CMC2_ref_rad,thumb_MCP_ref_rad,thumb_IP_ref_rad,spread_index_ref_rad,spread_middle_ref_rad,spread_ring_ref_rad,spread_pinky_ref_rad,index_MCP_ref_rad,index_PIP_ref_rad,index_DIP_ref_rad,middle_MCP_ref_rad,middle_PIP_ref_rad,middle_DIP_ref_rad,ring_MCP_ref_rad,ring_PIP_ref_rad,ring_DIP_ref_rad,pinky_MCP_ref_rad,pinky_PIP_ref_rad,pinky_DIP_ref_rad
0.3667,1,0,0.903180,-0.028664,0.820236,0.648685,-0.010891,-0.000000,0.010891,0.016337,0.872037,1.093489,1.093489,0.786233,1.100464,1.100464,0.975563,1.092785,1.092785,0.953179,1.089808,1.089808,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.4000,1,0,0.903749,-0.046905,0.815165,0.646027,-0.010891,-0.000000,0.010891,0.016337,0.871105,1.092785,1.092785,0.787165,1.103187,1.103187,0.951314,1.097711,1.097711,0.941054,1.103292,1.103292,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.4333,1,0,0.907738,-0.058197,0.811362,0.636722,-0.011812,-0.000000,0.011812,0.017717,0.871105,1.089267,1.089267,0.802088,1.113395,1.113395,0.927064,1.099118,1.099118,0.932660,1.104085,1.104085,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.4667,1,0,0.911727,-0.061672,0.807558,0.626087,-0.012067,-0.000000,0.012067,0.018101,0.880431,1.084341,1.084341,0.817010,1.118840,1.118840,0.906546,1.097007,1.097007,0.927064,1.100120,1.100120,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.5000,1,0,0.912867,-0.061672,0.803755,0.616783,-0.011658,-0.000000,0.011658,0.017487,0.900017,1.082230,1.082230,0.820741,1.118159,1.118159,0.888825,1.095600,1.095600,0.924266,1.095361,1.095361,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.5333,1,0,0.912867,-0.061672,0.802487,0.610136,-0.011300,-0.000000,0.011300,0.016950,0.908411,1.078712,1.078712,0.820741,1.115437,1.115437,0.872970,1.095600,1.095600,0.924266,1.094567,1.094567,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.5667,1,0,0.912867,-0.060803,0.802487,0.607478,-0.011198,-0.000000,0.011198,0.016797,0.908411,1.074490,1.074490,0.820741,1.115437,1.115437,0.861778,1.094896,1.094896,0.924266,1.092188,1.092188,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.6000,1,0,0.912867,-0.040825,0.802487,0.607478,-0.011147,-0.000000,0.011147,0.016720,0.908411,1.070268,1.070268,0.820741,1.114756,1.114756,0.855250,1.094193,1.094193,0.924266,1.089808,1.089808,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.6333,1,0,0.914006,-0.012161,0.805023,0.607478,-0.011147,-0.000000,0.011147,0.016720,0.907478,1.066046,1.066046,0.820741,1.113395,1.113395,0.854317,1.092785,1.092785,0.945718,1.086636,1.086636,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.6667,1,0,0.920275,0.006949,0.825307,0.610136,-0.011147,-0.000000,0.011147,0.016720,0.914007,1.063935,1.063935,0.821674,1.112034,1.112034,0.855250,1.092082,1.092082,0.978361,1.084256,1.084256,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
