time_s,pose_id,converged,thumb_CMC1_act_rad,thumb_CMC2_act_rad,thumb_MCP_act_rad,thumb_IP_act_rad,spread_index_act_rad,spread_middle_act_rad,spread_ring_act_rad,spread_pinky_act_rad,index_MCP_act_rad,index_PIP_act_rad,index_DIP_act_rad,middle_MCP_act_rad,middle_PIP_act_rad,middle_DIP_act_rad,ring_MCP_act_rad,ring_PIP_act_rad,ring_DIP_act_rad,pinky_MCP_act_rad,pinky_PIP_act_rad,pinky_DIP_act_rad,thumb_CMC1_ref_rad,thumb_CMC2_ref_rad,thumb_MCP_ref_rad,thumb_IP_ref_rad,spread_index_ref_rad,spread_middle_ref_rad,spread_ring_ref_rad,spread_pinky_ref_rad,index_MCP_ref_rad,index_PIP_ref_rad,index_DIP_ref_rad,middle_MCP_ref_rad,middle_PIP_ref_rad,middle_DIP_ref_rad,ring_MCP_ref_rad,ring_PIP_ref_rad,ring_DIP_ref_rad,pinky_MCP_ref_rad,pinky_PIP_ref_rad,pinky_DIP_ref_rad
0.0326,2,0,0.507148,0.196308,0.531188,0.369538,-0.008897,-0.000000,0.008897,0.013346,0.413169,0.588964,0.588964,0.267674,0.568948,0.568948,0.813280,1.048455,1.048455,0.890691,1.059668,1.059668,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.0668,2,0,0.508858,0.195439,0.552740,0.370867,-0.008897,-0.000000,0.008897,0.013346,0.413169,0.591075,0.591075,0.267674,0.572350,0.572350,0.817943,1.065343,1.065343,0.909344,1.063634,1.063634,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.0999,2,0,0.510567,0.195439,0.552740,0.378843,-0.008897,-0.000000,0.008897,0.013346,0.411303,0.590372,0.590372,0.267674,0.570989,0.570989,0.823539,1.076601,1.076601,0.918670,1.062841,1.062841,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.1330,2,0,0.511137,0.202388,0.547669,0.388148,-0.009306,-0.000000,0.009306,0.013959,0.411303,0.588261,0.588261,0.267674,0.569628,0.569628,0.829135,1.079416,1.079416,0.921468,1.062841,1.062841,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.1662,2,0,0.512277,0.205863,0.542598,0.386818,-0.009306,-0.000000,0.009306,0.013959,0.415967,0.590372,0.590372,0.268606,0.569628,0.569628,0.833798,1.078009,1.078009,0.921468,1.062841,1.062841,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.1993,2,0,0.512846,0.204994,0.542598,0.381501,-0.009050,-0.000000,0.009050,0.013576,0.424360,0.591779,0.591779,0.274202,0.569628,0.569628,0.838462,1.077305,1.077305,0.921468,1.069979,1.069979,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.2330,2,0,0.512846,0.204125,0.542598,0.381501,-0.008897,-0.000000,0.008897,0.013346,0.424360,0.592482,0.592482,0.278865,0.572350,0.572350,0.840327,1.079416,1.079416,0.921468,1.082670,1.082670,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.2660,2,0,0.512846,0.204125,0.542598,0.381501,-0.008846,-0.000000,0.008846,0.013269,0.422495,0.592482,0.592482,0.279798,0.584600,0.584600,0.842192,1.085045,1.085045,0.921468,1.086636,1.086636,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.2999,2,0,0.513986,0.209337,0.542598,0.381501,-0.008846,-0.000000,0.008846,0.013269,0.421562,0.592482,0.592482,0.279798,0.592767,0.592767,0.842192,1.085749,1.085749,0.921468,1.084256,1.084256,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.3330,2,0,0.519115,0.208469,0.543866,0.381501,-0.008846,-0.000000,0.008846,0.013269,0.424360,0.599519,0.599519,0.279798,0.593448,0.593448,0.842192,1.085045,1.085045,0.925199,1.080291,1.080291,0.872665,0.209440,0.610865,0.436332,-0.017453,0.000000,0.017453,0.017453,0.436332,0.610865,0.698132,0.436332,0.610865,0.610865,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
