Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0556,0.4000,0.899203,1.145771,1.150458,0.103748,47.0215,45.3516,0.495341,0.499414,0.499414
0.0567,0.4000,0.896544,1.145771,1.150458,0.103748,47.1094,45.3516,0.495264,0.499407,0.499407
0.0578,0.4000,0.894582,1.145771,1.150458,0.103748,47.1094,45.4395,0.495188,0.499401,0.499401
0.0589,0.4000,0.891917,1.145771,1.150458,0.103748,47.1973,45.4395,0.495112,0.499394,0.499394
0.0600,0.4000,0.889958,1.145771,1.150458,0.103748,47.1973,45.5273,0.495036,0.499388,0.499388
0.0612,0.4000,0.888006,1.145771,1.150458,0.103748,47.1973,45.6152,0.494960,0.499382,0.499382
0.0623,0.4000,0.885330,1.145771,1.150458,0.103748,47.2852,45.6152,0.494885,0.499376,0.499376
0.0633,0.4000,0.885169,1.145771,1.150458,0.103748,47.2852,45.6152,0.494810,0.499370,0.499370
0.0645,0.4000,0.883221,1.145771,1.150458,0.103748,47.2852,45.7031,0.494736,0.499364,0.499364
0.0656,0.4000,0.883060,1.145771,1.150458,0.103748,47.2852,45.7031,0.494661,0.499358,0.499358
0.0667,0.4000,0.882900,1.145771,1.150458,0.103748,47.2852,45.7031,0.494586,0.499352,0.499352
0.0678,0.4000,0.880219,1.145771,1.150458,0.103748,47.3730,45.7031,0.494512,0.499347,0.499347
0.0689,0.4000,0.880061,1.145771,1.150458,0.103748,47.3730,45.7031,0.494438,0.499341,0.499341
0.0700,0.4000,0.879903,1.145771,1.150458,0.103748,47.3730,45.7031,0.494364,0.499335,0.499335
0.0712,0.4000,0.882263,1.145771,1.150458,0.103748,47.2852,45.7031,0.494289,0.499329,0.499329
0.0723,0.4000,0.882103,1.145771,1.150458,0.103748,47.2852,45.7031,0.494214,0.499323,0.499323
0.0733,0.4000,0.881944,1.145771,1.150458,0.103748,47.2852,45.7031,0.494140,0.499318,0.499318
0.0745,0.4000,0.881784,1.145771,1.150458,0.103748,47.2852,45.7031,0.494065,0.499312,0.499312
0.0756,0.4000,0.881624,1.145771,1.150458,0.103748,47.2852,45.7031,0.493990,0.499306,0.499306
0.0767,0.4000,0.881464,1.145771,1.150458,0.103748,47.2852,45.7031,0.493916,0.499300,0.499300
0.0778,0.4000,0.883090,1.145771,1.150458,0.103748,47.2852,45.6152,0.493841,0.499294,0.499294
0.0789,0.4000,0.882930,1.145771,1.150458,0.103748,47.2852,45.6152,0.493767,0.499288,0.499288
