Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0011,0.4000,0.979899,1.263963,1.264414,0.033755,44.5605,45.2637,0.499902,0.499992,0.499992
0.0023,0.4000,0.977294,1.263278,1.263728,0.033718,44.6484,45.2637,0.499805,0.499984,0.499984
0.0033,0.4000,0.978750,1.263278,1.263728,0.033718,44.6484,45.1758,0.499708,0.499976,0.499976
0.0045,0.4000,0.978519,1.263278,1.263728,0.033718,44.6484,45.1758,0.499611,0.499968,0.499968
0.0056,0.4000,0.981675,1.263278,1.263728,0.033718,44.6484,45.0000,0.499514,0.499959,0.499959
0.0067,0.4000,0.979082,1.263278,1.263728,0.033718,44.7363,45.0000,0.499417,0.499951,0.499951
0.0078,0.4000,0.978852,1.263278,1.263728,0.033718,44.7363,45.0000,0.499321,0.499942,0.499942
0.0089,0.4000,0.977967,1.263278,1.263728,0.033718,44.8242,44.9121,0.499225,0.499934,0.499934
0.0100,0.4000,0.979453,1.263278,1.263728,0.033718,44.8242,44.8242,0.499129,0.499925,0.499925
0.0111,0.4000,0.979224,1.263278,1.263728,0.033718,44.8242,44.8242,0.499033,0.499916,0.499916
0.0122,0.4000,0.978360,1.263278,1.263728,0.033718,44.9121,44.7363,0.498938,0.499907,0.499907
0.0133,0.4000,0.978132,1.263278,1.263728,0.033718,44.9121,44.7363,0.498843,0.499898,0.499898
0.0145,0.4000,0.979633,1.263278,1.263728,0.033718,44.9121,44.6484,0.498748,0.499888,0.499888
0.0156,0.4000,0.979404,1.263278,1.263728,0.033718,44.9121,44.6484,0.498652,0.499879,0.499879
0.0167,0.4000,0.980908,1.263278,1.263728,0.033718,44.9121,44.5605,0.498557,0.499869,0.499869
0.0178,0.4000,0.980678,1.263278,1.263728,0.033718,44.9121,44.5605,0.498462,0.499860,0.499860
0.0189,0.4000,0.982185,1.263278,1.263728,0.033718,44.9121,44.4727,0.498367,0.499850,0.499850
0.0200,0.4000,0.981955,1.263278,1.263728,0.033718,44.9121,44.4727,0.498271,0.499840,0.499840
0.0211,0.4000,0.983466,1.263278,1.263728,0.033718,44.9121,44.3848,0.498176,0.499830,0.499830
0.0222,0.4000,0.983234,1.263278,1.263728,0.033718,44.9121,44.3848,0.498081,0.499820,0.499820
0.0233,0.4000,0.984748,1.263278,1.263728,0.033718,44.9121,44.2969,0.497986,0.499810,0.499810
0.0245,0.4000,0.984515,1.263278,1.263728,0.033718,44.9121,44.2969,0.497890,0.499800,0.499800
0.0256,0.4000,0.986033,1.263278,1.263728,0.033718,44.9121,44.2090,0.497795,0.499790,0.499790
0.0267,0.4000,0.985799,1.263278,1.263728,0.033718,44.9121,44.2090,0.497700,0.499779,0.499779
0.0278,0.4000,0.987320,1.263278,1.263728,0.033718,44.9121,44.1211,0.497604,0.499769,0.499769
0.0294,0.4000,0.987085,1.263278,1.263728,0.033718,44.9121,44.1211,0.497509,0.499758,0.499758
0.0301,0.4000,0.986850,1.263278,1.263728,0.033718,44.9121,44.1211,0.497414,0.499747,0.499747
0.0312,0.4000,0.988374,1.263278,1.263728,0.033718,44.9121,44.0332,0.497319,0.499736,0.499736
0.0324,0.4000,0.988138,1.263278,1.263728,0.033718,44.9121,44.0332,0.497223,0.499725,0.499725
0.0334,0.4000,0.989664,1.263278,1.263728,0.033718,44.9121,43.9453,0.497128,0.499714,0.499714
0.0345,0.4000,0.989427,1.263278,1.263728,0.033718,44.9121,43.9453,0.497033,0.499703,0.499703
0.0357,0.4000,0.990956,1.263278,1.263728,0.033718,44.9121,43.8574,0.496937,0.499692,0.499692
