Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0011,0.4000,1.056667,1.002464,1.042804,0.287237,43.5938,42.6270,0.499892,0.499984,0.499984
0.0022,0.4000,1.054614,1.002464,1.042804,0.287237,43.5938,42.7148,0.499785,0.499969,0.499969
0.0033,0.4000,1.052566,1.002464,1.042804,0.287237,43.5938,42.8027,0.499678,0.499954,0.499954
0.0045,0.4000,1.050524,1.002464,1.042804,0.287237,43.5938,42.8906,0.499571,0.499939,0.499939
0.0056,0.4000,1.046745,1.002464,1.042804,0.287237,43.5938,43.0664,0.499464,0.499925,0.499925
0.0066,0.4000,1.045197,1.002464,1.042804,0.287237,43.5059,43.2422,0.499356,0.499911,0.499911
0.0078,0.4000,1.043186,1.002464,1.042804,0.287237,43.5059,43.3301,0.499249,0.499897,0.499897
0.0089,0.4000,1.041180,1.002464,1.042804,0.287237,43.5059,43.4180,0.499142,0.499884,0.499884
0.0100,0.4000,1.039181,1.002464,1.042804,0.287237,43.5059,43.5059,0.499035,0.499871,0.499871
0.0111,0.4000,1.037188,1.002464,1.042804,0.287237,43.5059,43.5937,0.498928,0.499858,0.499858
0.0122,0.4000,1.035727,1.002464,1.042804,0.287237,43.4180,43.7695,0.498821,0.499846,0.499846
0.0133,0.4000,1.033753,1.002464,1.042804,0.287237,43.4180,43.8574,0.498713,0.499834,0.499834
0.0145,0.4000,1.031786,1.002464,1.042804,0.287237,43.4180,43.9453,0.498606,0.499822,0.499822
0.0156,0.4000,1.028143,1.002464,1.042804,0.287237,43.4180,44.1211,0.498499,0.499811,0.499811
0.0167,0.4000,1.026193,1.002464,1.042804,0.287237,43.4180,44.2090,0.498392,0.499800,0.499800
0.0178,0.4000,1.026499,1.002464,1.042804,0.287237,43.3301,44.2969,0.498285,0.499789,0.499789
0.0189,0.4000,1.024564,1.002464,1.042804,0.287237,43.3301,44.3848,0.498178,0.499778,0.499778
0.0200,0.4000,1.024293,1.002464,1.042804,0.287237,43.3301,44.3848,0.498070,0.499767,0.499767
0.0211,0.4000,1.022364,1.002464,1.042804,0.287237,43.3301,44.4727,0.497963,0.499757,0.499757
0.0222,0.4000,1.020441,1.002464,1.042804,0.287237,43.3301,44.5605,0.497856,0.499747,0.499747
0.0233,0.4000,1.020172,1.002464,1.042804,0.287237,43.3301,44.5605,0.497749,0.499737,0.499737
0.0245,0.4000,1.020515,1.002464,1.042804,0.287237,43.2422,44.6484,0.497642,0.499727,0.499727
0.0256,0.4000,1.018608,1.002604,1.042968,0.287343,43.2422,44.7363,0.497534,0.499717,0.499717
0.0266,0.4000,1.016706,1.002604,1.042968,0.287343,43.2422,44.8242,0.497427,0.499708,0.499708
0.0278,0.4000,1.016438,1.002604,1.042968,0.287343,43.2422,44.8242,0.497320,0.499698,0.499698
0.0289,0.4000,1.016171,1.002604,1.042968,0.287343,43.2422,44.8242,0.497213,0.499689,0.499689
0.0300,0.4000,1.014276,1.002604,1.042968,0.287343,43.2422,44.9121,0.497106,0.499680,0.499680
0.0311,0.4000,1.016273,1.002604,1.042968,0.287343,43.1543,44.9121,0.496998,0.499670,0.499670
0.0322,0.4000,1.016004,1.002604,1.042968,0.287343,43.1543,44.9121,0.496890,0.499661,0.499661
0.0333,0.4000,1.015736,1.002604,1.042968,0.287343,43.1543,44.9121,0.496783,0.499652,0.499652
0.0345,0.4000,1.013850,1.002604,1.042968,0.287343,43.1543,45.0000,0.496675,0.499643,0.499643
0.0356,0.4000,1.013583,1.002604,1.042968,0.287343,43.1543,45.0000,0.496568,0.499634,0.499634
0.0366,0.4000,1.013316,1.002604,1.042968,0.287343,43.1543,45.0000,0.496460,0.499625,0.499625
0.0379,0.4000,1.014665,1.002604,1.042968,0.287343,43.1543,44.9121,0.496353,0.499616,0.499616
0.0389,0.4000,1.016651,1.002604,1.042968,0.287343,43.0664,44.9121,0.496245,0.499607,0.499607
0.0401,0.4000,1.016381,1.002604,1.042968,0.287343,43.0664,44.9121,0.496137,0.499597,0.499597
0.0413,0.4000,1.016111,1.002604,1.042968,0.287343,43.0664,44.9121,0.496029,0.499588,0.499588
0.0425,0.4000,1.015841,1.002604,1.042968,0.287343,43.0664,44.9121,0.495921,0.499579,0.499579
