Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0011,0.4000,1.011921,1.036767,1.068367,0.257918,44.1211,44.2090,0.499898,0.499989,0.499989
0.0023,0.4000,1.011666,1.036767,1.068367,0.257918,44.1211,44.2090,0.499796,0.499978,0.499978
0.0033,0.4000,1.013127,1.036767,1.068367,0.257918,44.1211,44.1211,0.499694,0.499967,0.499967
0.0045,0.4000,1.014591,1.036767,1.068367,0.257918,44.1211,44.0332,0.499592,0.499956,0.499956
0.0056,0.4000,1.014334,1.036767,1.068367,0.257918,44.1211,44.0332,0.499489,0.499945,0.499945
0.0067,0.4000,1.014076,1.036767,1.068367,0.257918,44.1211,44.0332,0.499387,0.499933,0.499933
0.0078,0.4000,1.015544,1.035940,1.067626,0.258171,44.1211,43.9453,0.499285,0.499922,0.499922
0.0089,0.4000,1.017014,1.035940,1.067626,0.258171,44.1211,43.8574,0.499183,0.499910,0.499910
0.0101,0.4000,1.016754,1.035940,1.067626,0.258171,44.1211,43.8574,0.499081,0.499898,0.499898
0.0112,0.4000,1.018227,1.035940,1.067626,0.258171,44.1211,43.7695,0.498979,0.499886,0.499886
0.0122,0.4000,1.021444,1.035940,1.067626,0.258171,44.1211,43.5937,0.498877,0.499874,0.499874
0.0134,0.4000,1.022925,1.035940,1.067626,0.258171,44.1211,43.5059,0.498774,0.499861,0.499861
0.0145,0.4000,1.022661,1.035940,1.067626,0.258171,44.1211,43.5059,0.498672,0.499848,0.499848
0.0156,0.4000,1.024145,1.035940,1.067626,0.258171,44.1211,43.4180,0.498570,0.499835,0.499835
0.0167,0.4000,1.023879,1.035940,1.067626,0.258171,44.1211,43.4180,0.498467,0.499822,0.499822
0.0179,0.4000,1.025365,1.035940,1.067626,0.258171,44.1211,43.3301,0.498365,0.499809,0.499809
0.0189,0.4000,1.025098,1.035940,1.067626,0.258171,44.1211,43.3301,0.498263,0.499796,0.499796
0.0202,0.4000,1.026587,1.035940,1.067626,0.258171,44.1211,43.2422,0.498161,0.499782,0.499782
0.0213,0.4000,1.028077,1.035940,1.067626,0.258171,44.1211,43.1543,0.498058,0.499769,0.499769
0.0226,0.4000,1.027808,1.035940,1.067626,0.258171,44.1211,43.1543,0.497956,0.499755,0.499755
0.0236,0.4000,1.027539,1.035940,1.067626,0.258171,44.1211,43.1543,0.497854,0.499741,0.499741
0.0245,0.4000,1.029031,1.035940,1.067626,0.258171,44.1211,43.0664,0.497751,0.499727,0.499727
0.0258,0.4000,1.030525,1.035940,1.067626,0.258171,44.1211,42.9785,0.497649,0.499713,0.499713
0.0269,0.4000,1.030253,1.035940,1.067626,0.258171,44.1211,42.9785,0.497547,0.499699,0.499699
0.0279,0.4000,1.031750,1.035940,1.067626,0.258171,44.1211,42.8906,0.497444,0.499684,0.499684
0.0289,0.4000,1.031476,1.035940,1.067626,0.258171,44.1211,42.8906,0.497342,0.499670,0.499670
0.0300,0.4000,1.032974,1.035940,1.067626,0.258171,44.1211,42.8027,0.497240,0.499655,0.499655
0.0312,0.4000,1.034474,1.035940,1.067626,0.258171,44.1211,42.7148,0.497138,0.499640,0.499640
0.0323,0.4000,1.031997,1.035940,1.067626,0.258171,44.2090,42.7148,0.497036,0.499626,0.499626
0.0334,0.4000,1.033505,1.035940,1.067626,0.258171,44.2090,42.6270,0.496934,0.499610,0.499610
0.0345,0.4000,1.035015,1.035940,1.067626,0.258171,44.2090,42.5391,0.496832,0.499595,0.499595
0.0357,0.4000,1.032544,1.035940,1.067626,0.258171,44.2969,42.5391,0.496731,0.499580,0.499580
0.0369,0.4000,1.032270,1.035940,1.067626,0.258171,44.2969,42.5391,0.496630,0.499565,0.499565
0.0379,0.4000,1.031594,1.035940,1.067626,0.258171,44.3848,42.4512,0.496530,0.499549,0.499549
0.0391,0.4000,1.031320,1.035940,1.067626,0.258171,44.3848,42.4512,0.496429,0.499534,0.499534
0.0400,0.4000,1.030654,1.035940,1.067626,0.258171,44.4727,42.3633,0.496330,0.499518,0.499518
