time_s,type,k,run,phase,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,qdot_0,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6,qdot_7,qdot_8,qdot_9,qdot_10,qdot_11,qdot_12,qdot_13,qdot_14,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,note,velocity
35.4656,state,10.0,1,press_down,0.08283496254582476,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,0.0,0.0,0.0,0.0,0.014410634127489491,-7.468399011835503e-250,0.02398082392240207,0.02398082392240207,7.66089813740634e-173,0.02398082392240207,0.0,0.02398082392240207,0.02384449986927754,0.023980823922402104,0.014699849250050122,0.010337940407497262,0.0,0.0,0.02398082392240207,1.0163319714122885,-1.9191259182003166,-0.003185624595014722,-0.00038824212426494465,-0.0011768882331025998,-0.0005299486702144793,-5.4817278392602266e-05,-0.002507907070817132,-0.0019880268439415962,0.05224406101991138,0.06603150368530578,-0.0023098278858478833,-0.0010429355551596498,-0.0013000948039651307,-0.0015903155983001452,,
35.4945,state,10.0,1,press_down,0.08283496254582476,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.0050246774284248615,-2.6040697174911854e-250,0.02398082392240207,0.02398082392240207,2.6711900123158394e-173,0.02398082392240207,0.0,0.02398082392240207,0.023933290664210512,0.023980823922402104,0.018565456940147957,0.013126061586661512,0.0,0.0,0.02398082392240207,1.0194399178950437,-1.9176135865351704,-0.00318563270307527,-0.0003881692318508549,-0.0011768769472995707,-0.0005299466704578651,-5.4825436683734e-05,-0.0025079250101667397,-0.0019914202068261498,0.05226453855877284,0.06601230547403283,-0.0021550223813090693,-0.0010432308246802289,-0.0013000954409080154,-0.0015903167049141187,,
35.5235,state,10.0,1,press_down,0.08283496254582476,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,0.0,0.0,0.0,0.0,0.004344745378627832,-1.0088699633405269e-250,0.02398082392240207,0.02398082392240207,1.0348737407833188e-173,0.02398082392240207,0.0,0.02398082392240207,0.023962408564269743,0.023980823922402104,0.01363579445110866,0.008775954000206202,0.0,0.0,0.02398082392240207,1.0196719921999138,-1.9175091613743853,-0.0031856423216431126,-0.0003881094066277121,-0.0011768693453512004,-0.00052994517947918,-5.483002877754807e-05,-0.0025079403915050633,-0.0019925383315003284,0.052269045935484267,0.06605207236954223,-0.0022943264921545165,-0.0010429541985165253,-0.0013001035150185455,-0.0015903220749257166,,
35.5524,state,10.0,1,press_down,0.08283496254582476,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.01713414668607781,-3.517712050813193e-251,0.02398082392240207,0.02398082392240207,3.6083816163677944e-174,0.02398082392240207,0.0,0.02398082392240207,0.02397440288405462,0.023980823922402104,0.011253310821707772,0.013027202704547977,0.0,0.0,0.02398082392240207,1.0154350759736779,-1.9195664464806648,-0.003185596768643125,-0.0003884628834438713,-0.0011769205842127569,-0.0005299545603958264,-5.4794983018644604e-05,-0.0025078520036512356,-0.0019929457417803206,0.05223963022191328,0.0660555344338878,-0.0021539735247781975,-0.00104319433997583,-0.0013000845851647079,-0.001590307349305685,,
35.5813,state,10.0,1,press_down,0.08283496254582476,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,0.0,0.0,0.0,0.0,0.005974307538946197,-1.226550350598516e-251,0.02398082392240207,0.02398082392240207,1.25816487328064e-174,0.02398082392240207,0.0,0.02398082392240207,0.02397858504476727,0.023980823922402104,0.017144932115859476,0.016324054012152936,0.0,0.0,0.02398082392240207,1.0191335085148046,-1.917768485259494,-0.0031855593671689694,-0.0003887172800041275,-0.0011769548823239362,-0.0005299610768952437,-5.4772768485457084e-05,-0.002507787342402883,-0.0019930688426864035,0.05226346700019621,0.06602261216402604,-0.0023692388644112033,-0.0010428663888586301,-0.0013000592931034758,-0.0015902898581978413,,
35.6103,state,10.0,1,press_down,0.08283496254582476,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.004712651540415131,-4.751907366119986e-252,0.02398082392240207,0.02398082392240207,4.874388504490087e-175,0.02398082392240207,0.0,0.02398082392240207,0.023979956535333996,0.023980823922402104,0.014889303331112167,0.0127674290326988,0.0,0.0,0.02398082392240207,1.0195545341954144,-1.9175693779575127,-0.0031855412481549147,-0.0003888298159328867,-0.0011769691751872442,-0.0005299638795169476,-5.476407429702415e-05,-0.002507758382294396,-0.0019931048786607183,0.052267951251277076,0.06604202519657446,-0.0021512790204141438,-0.0010431337627156572,-0.0013000441223507415,-0.0015902797680407337,,
35.6392,state,10.0,1,press_down,0.08436894333371046,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.025717028281633424,-1.6568876479184166e-252,0.02398082392240207,0.02398082392240207,1.699594180186976e-175,0.02398082392240207,0.0,0.02398082392240207,0.023980521483232223,0.023980823922402104,0.017120157902836414,0.01095053052217984,0.0,0.0,0.02398082392240207,1.0007729979742714,-1.9267365057917623,-0.003185302470230455,-0.0003902601001824078,-0.0011771462059682882,-0.0005299990561189697,-5.4658175533675246e-05,-0.00250738805214599,-0.001992919062124932,0.052184130963158805,0.06598298298885198,-0.0021327170051638703,-0.0010428667781761892,-0.0012998311550627116,-0.0015901396372909227,,
35.6681,state,10.0,1,press_down,0.08436894333371046,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.019958744832632058,-5.777210004971517e-253,0.02398082392240207,0.02398082392240207,5.926118475506333e-176,0.02398082392240207,0.0,0.02398082392240207,0.02398071846838411,0.023980823922402104,0.021588657596652853,0.019437441545567275,0.0,0.0,0.02398082392240207,1.002676186320289,-1.925807033381121,-0.0031853170807518622,-0.00039013724417549773,-0.0011771276901849652,-0.0005299957358426016,-5.467128492384781e-05,-0.0025074185640272103,-0.0019929437021735017,0.05219540474432542,0.06595459708130448,-0.002217152194067377,-0.0010428813178361862,-0.0012998343724738674,-0.0015901427658357953,,
35.6969,state,10.0,1,press_down,0.08436894333371046,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.02264137925599608,-2.238209525181758e-253,0.02398082392240207,0.02398082392240207,2.2958997176525983e-176,0.02398082392240207,0.0,0.02398082392240207,0.023980783067354874,0.023980823922402104,0.009396184119686582,0.009278665172435703,0.0,0.0,0.02398082392240207,1.0018020578120792,-1.9262487787052929,-0.0031853319615787446,-0.00039006758082796257,-0.0011771208813592577,-0.0005299941881269576,-5.467426865113965e-05,-0.002507437344893879,-0.001992956647957846,0.052196002543009226,0.06604768755895453,-0.0021161477687509454,-0.0010428988900791154,-0.0012998529403875385,-0.0015901544321031843,,
35.7258,state,10.0,1,press_down,0.08436894333371046,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.025475150535321137,-7.804154058573373e-254,0.02398082392240207,0.02398082392240207,8.005307321771385e-177,0.02398082392240207,0.0,0.02398082392240207,0.023980809677127957,0.023980823922402104,0.015787117002616043,0.003235270498535079,0.0,0.0,0.02398082392240207,1.000856018519747,-1.926695705620172,-0.0031853265556839806,-0.0003901328669415215,-0.001177132039382467,-0.0005299960723541683,-5.466571373426436e-05,-0.0025074216614810645,-0.0019929488323643775,0.05218539153236023,0.06599375121915087,-0.002056033931769271,-0.001042894494958025,-0.001299857209745132,-0.0015901563020209665,,
35.7547,state,10.0,1,press_down,0.08590292412159617,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.024559756669504898,-3.023489181603831e-254,0.02398082392240207,0.02398082392240207,3.101420077195951e-177,0.02398082392240207,0.0,0.02398082392240207,0.023980818403491023,0.023980823922402104,0.009569983104559096,0.015943571470351907,0.0,0.0,0.02398082392240207,0.9893571340814163,-1.932351704307855,-0.0031850754866921856,-0.0003916028193334423,-0.0011773110414331936,-0.000530031914060401,-5.4559840299205513e-05,-0.0025070391335791395,-0.001992735108707643,0.05215988695267099,0.0660281391769207,-0.0021819100293837914,-0.0010426133992170483,-0.001299626544798998,-0.0015900053513548187,,
35.7849,state,10.0,1,press_down,0.08743690490948143,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6366020269725409,-0.0015339807878856182,0.0,0.0,0.0,0.041270929073587086,-1.0542254915008498e-254,0.02398082392240207,0.02398082392240207,1.081398314611506e-177,0.02398082392240207,0.0,0.02398082392240207,0.014160434793613905,0.023980823922402104,0.014573277656937824,0.00752054171970693,0.0,0.0,0.02398082392240207,0.9720163277349948,-1.940841526426296,-0.0031848064999181205,-0.0003932464161547194,-0.00117751804797466,-0.0005300725577372422,-5.4432463607641273e-05,-0.0025066132331463945,-0.001618301375431203,0.052092439791818546,0.06601315481384616,-0.0020975919337853613,-0.0010423173365558848,-0.0012994016791772634,-0.0015898561349725303,,
35.8170,state,10.0,1,press_down,0.09203884727313853,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.08958555457534431,-3.30827129901155e-255,0.02398082392240207,0.02398082392240207,3.393542497189581e-178,0.02398082392240207,0.0,0.02398082392240207,0.015680125359734357,0.023980823922402104,0.00737077066606809,0.019392073134776838,0.0,0.0,0.02398082392240207,0.9205642607336207,-1.9659758273574968,-0.0031839768897293833,-0.00039823800498454623,-0.0011781415206429387,-0.0005301951626175975,-5.404715318543308e-05,-0.002505311578229799,-0.0016754797713264,0.05187852617418658,0.06590371180295641,-0.0022139960760823923,-0.0010414109315594283,-0.0012987077414428603,-0.001589396722120501,,
35.8469,state,10.0,1,press_down,0.09664078963679565,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.11175412432772294,-1.1535228759669481e-255,0.02398082392240207,0.02398082392240207,1.1832551043331218e-178,0.02398082392240207,0.0,0.02398082392240207,0.02108654929583079,0.023980823922402104,0.015080898999050794,0.006761597810939106,0.0,0.0,0.02398082392240207,0.8777925373620262,-1.9869053332145725,-0.003183110068758819,-0.00040342005963025444,-0.0011787886378030203,-0.0005303218758739621,-5.363992173207637e-05,-0.0025039506703466827,-0.0018807257930970897,0.051727194497445145,0.06576905930857148,-0.0020866604849603433,-0.001040478752372423,-0.0012980062884543875,-0.0015889314015269367,,
35.8758,state,10.0,1,press_down,0.09970875121256659,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,0.0,0.0,0.0,0.0,0.13268161961428884,-4.0220855701182125e-256,0.02398082392240207,0.02398082392240207,4.125755440192357e-179,0.02398082392240207,0.0,0.02398082392240207,0.022971652760388196,0.023980823922402104,0.01105722477865797,0.013210306418502472,0.0,0.0,0.02398082392240207,0.8472474922459646,-2.001856971551697,-0.003182551825322864,-0.0004066468801625747,-0.001179182860483983,-0.0005303996843200143,-5.339280579700782e-05,-0.0025030945725356,-0.0019520781480949281,0.051616816174068395,0.06574432219508718,-0.0023322338640910196,-0.0010395880421898785,-0.0012975405343378442,-0.001588624764384056,,
35.9046,state,10.0,1,press_down,0.102776712788338,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.1338248799891207,-1.558238358375042e-256,0.02398082392240207,0.02398082392240207,1.5984021901337334e-179,0.02398082392240207,0.0,0.02398082392240207,0.023589850337329972,0.023980823922402104,0.012530800777644669,0.019808104764258243,0.0,0.0,0.02398082392240207,0.8232648907828789,-2.013618167333578,-0.0031819845857849567,-0.00040997515688523747,-0.001179595398986058,-0.0005304802635011038,-5.312805404410013e-05,-0.0025022102837779837,-0.001975140900098792,0.051551482382596055,0.06570027927479187,-0.002214215790316809,-0.001039283350025504,-0.0012970945149794418,-0.0015883289576764227,,
35.9335,state,10.0,1,press_down,0.1058446743641094,-0.006135923151542363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.12844863742696483,-5.433241201021946e-257,0.02398082392240207,0.02398082392240207,5.57328382308254e-180,0.02398082392240207,0.0,0.02398082392240207,0.023844499862638837,0.023980823922402104,0.017590365320938967,0.016082730670517017,0.0,0.0,0.02398082392240207,0.8014344997230074,-2.0243339727699885,-0.003181434857870775,-0.00041305404157008287,-0.0011799643344283328,-0.0005305534101213344,-5.289517349686139e-05,-0.0025013830155132615,-0.0019843833926121318,0.051499899096727725,0.06563582901420886,-0.0021760909507407677,-0.0010387022149601674,-0.0012966328859702102,-0.0015880265306774108,,
35.9624,state,10.0,1,press_down,0.1089126359398808,-0.009203884727313764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.1250626999660263,-0.0023980823922402092,0.02398082392240207,0.02398082392240207,1.943283909666985e-180,0.02398082392240207,0.0,0.02398082392240207,0.02393329066189574,0.023980823922402104,0.008531463533134344,0.013799059551535509,0.0,0.0,0.02398082392240207,0.7909409672894467,-2.0109511354702128,-0.003180470658235513,-0.0004188791880903613,-0.0011807067604051131,-0.0005306954627312373,-5.239610375239688e-05,-0.0024998293275542813,-0.001986901409176085,0.05138321824707206,0.06564443404325565,-0.002151575026280617,-0.0010377210895819895,-0.0012959740535227553,-0.0015875813881221768,,
35.9913,state,10.0,1,press_down,0.11198059751565176,-0.012271846303085168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992039904884192,0.6381360077604264,-0.0015339807878856182,0.0,0.0,0.0,0.12190265933530911,-0.0439228852472107,0.02398082392240207,0.02398082392240207,7.528680025490153e-181,0.02398082392240207,0.0,0.02398082392240207,0.023962408563372953,0.023980823922402104,0.017995425165654756,0.005346038399196009,0.0,0.0,0.02398082392240207,0.7866236055644312,-1.9846403818543987,-0.003179525647595955,-0.00042439637400707,-0.0011813956619492322,-0.0005308280502983778,-5.193187351249701e-05,-0.002498340772638101,-0.001987183145156154,0.0511710754955237,0.0654637811947651,-0.002065745606780249,-0.001036766624671301,-0.001295308527183132,-0.0015871357412871494,,
