Time_s,Force_Ref_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0011,0.5000,0.853167,0.902094,0.293054,47.9883,41.7480,29.998988,29.998988,29.998988
0.0022,0.5000,0.853167,0.902094,0.293054,48.0762,41.7480,29.997977,29.997977,29.997977
0.0033,0.5000,0.853167,0.902094,0.293054,48.1641,41.7480,29.996965,29.996965,29.996965
0.0045,0.5000,0.853167,0.902094,0.293054,48.3398,41.6602,29.995953,29.995953,29.995953
0.0056,0.5000,0.853167,0.902094,0.293054,48.4277,41.6602,29.994941,29.994941,29.994941
0.0067,0.5000,0.853167,0.902094,0.293054,48.5156,41.5723,29.993930,29.993930,29.993930
0.0078,0.5000,0.853167,0.902094,0.293054,48.6035,41.5723,29.992918,29.992918,29.992918
0.0089,0.5000,0.853167,0.902094,0.293054,48.6914,41.5723,29.991906,29.991906,29.991906
0.0100,0.5000,0.853167,0.902094,0.293054,48.7793,41.5723,29.990894,29.990894,29.990894
0.0111,0.5000,0.853167,0.902094,0.293054,48.7793,41.5723,29.989883,29.989883,29.989883
0.0122,0.5000,0.853167,0.902094,0.293054,48.8672,41.4844,29.988871,29.988871,29.988871
0.0133,0.5000,0.853167,0.902094,0.293054,48.9551,41.4844,29.987859,29.987859,29.987859
0.0145,0.5000,0.853167,0.902094,0.293054,49.0430,41.4844,29.986847,29.986847,29.986847
0.0156,0.5000,0.853167,0.902094,0.293054,49.1309,41.4844,29.985836,29.985836,29.985836
0.0167,0.5000,0.853167,0.902094,0.293054,49.2188,41.4844,29.984824,29.984824,29.984824
0.0178,0.5000,0.853167,0.902094,0.293054,49.2188,41.4844,29.983812,29.983812,29.983812
0.0189,0.5000,0.853167,0.902094,0.293054,49.3066,41.4844,29.982800,29.982800,29.982800
0.0200,0.5000,0.853167,0.902094,0.293054,49.3945,41.4844,29.981789,29.981789,29.981789
0.0211,0.5000,0.853167,0.902094,0.293054,49.3945,41.4844,29.980777,29.980777,29.980777
0.0222,0.5000,0.853167,0.902094,0.293054,49.3945,41.4844,29.979765,29.979765,29.979765
