Time_s,Force_Ref_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0011,0.5000,0.784363,0.816785,0.227841,49.3945,44.1211,29.999185,29.999185,29.999185
0.0022,0.5000,0.784363,0.816785,0.227841,49.3066,44.1211,29.998371,29.998371,29.998371
0.0033,0.5000,0.784363,0.816785,0.227841,49.3066,44.1211,29.997556,29.997556,29.997556
0.0044,0.5000,0.784363,0.816785,0.227841,49.1309,44.1211,29.996741,29.996741,29.996741
0.0056,0.5000,0.784363,0.816785,0.227841,49.1309,44.1211,29.995927,29.995927,29.995927
0.0067,0.5000,0.784363,0.816785,0.227841,49.0430,44.1211,29.995112,29.995112,29.995112
0.0078,0.5000,0.784363,0.816785,0.227841,48.9551,44.1211,29.994298,29.994298,29.994298
0.0089,0.5000,0.784363,0.816785,0.227841,48.9551,44.0332,29.993483,29.993483,29.993483
0.0100,0.5000,0.784363,0.816785,0.227841,48.8672,44.0332,29.992668,29.992668,29.992668
0.0111,0.5000,0.784363,0.816785,0.227841,48.8672,44.0332,29.991854,29.991854,29.991854
0.0122,0.5000,0.784363,0.816785,0.227841,48.7793,44.0332,29.991039,29.991039,29.991039
0.0133,0.5000,0.784363,0.816785,0.227841,48.6914,44.0332,29.990224,29.990224,29.990224
0.0144,0.5000,0.784363,0.816785,0.227841,48.6035,44.0332,29.989410,29.989410,29.989410
0.0156,0.5000,0.784363,0.816785,0.227841,48.6035,44.0332,29.988595,29.988595,29.988595
0.0167,0.5000,0.784363,0.816785,0.227841,48.5156,44.0332,29.987780,29.987780,29.987780
0.0178,0.5000,0.784363,0.816785,0.227841,48.4277,44.0332,29.986966,29.986966,29.986966
0.0189,0.5000,0.784363,0.816785,0.227841,48.3398,43.9453,29.986151,29.986151,29.986151
0.0200,0.5000,0.784363,0.816785,0.227841,48.3398,43.9453,29.985336,29.985336,29.985336
0.0211,0.5000,0.784363,0.816785,0.227841,48.2520,43.9453,29.984522,29.984522,29.984522
0.0222,0.5000,0.784363,0.816785,0.227841,48.2520,43.9453,29.983707,29.983707,29.983707
0.0233,0.5000,0.784363,0.816785,0.227841,48.1641,43.9453,29.982893,29.982893,29.982893
0.0244,0.5000,0.784363,0.816785,0.227841,47.9883,43.9453,29.982078,29.982078,29.982078
0.0256,0.5000,0.784363,0.816785,0.227841,47.9883,43.9453,29.981263,29.981263,29.981263
0.0267,0.5000,0.784363,0.816785,0.227841,47.9004,43.9453,29.980449,29.980449,29.980449
0.0278,0.5000,0.784363,0.816785,0.227841,47.8125,43.8574,29.979634,29.979634,29.979634
0.0289,0.5000,0.784363,0.816785,0.227841,47.8125,43.8574,29.978819,29.978819,29.978819
0.0300,0.5000,0.784363,0.816785,0.227841,47.7246,43.8574,29.978005,29.978005,29.978005
0.0311,0.5000,0.784363,0.816785,0.227841,47.6367,43.8574,29.977190,29.977190,29.977190
0.0322,0.5000,0.784363,0.816785,0.227841,47.5488,43.8574,29.976375,29.976375,29.976375
0.0333,0.5000,0.784363,0.816785,0.227841,47.5488,43.8574,29.975561,29.975561,29.975561
0.0344,0.5000,0.784363,0.816785,0.227841,47.4609,43.8574,29.974746,29.974746,29.974746
0.0356,0.5000,0.784363,0.816785,0.227841,47.3730,43.8574,29.973931,29.973931,29.973931
0.0367,0.5000,0.784363,0.816785,0.227841,47.2852,43.8574,29.973117,29.973117,29.973117
0.0378,0.5000,0.784363,0.816785,0.227841,47.2852,43.8574,29.972302,29.972302,29.972302
0.0389,0.5000,0.784363,0.816785,0.227841,47.1973,43.8574,29.971488,29.971488,29.971488
0.0400,0.5000,0.784363,0.816785,0.227841,47.1094,43.8574,29.970673,29.970673,29.970673
