Time_s,Force_Ref_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0011,0.5000,0.875808,0.923807,0.293902,47.3730,42.3633,29.998923,29.998923,29.998923
0.0022,0.5000,0.875808,0.923807,0.293902,47.3730,42.3633,29.997847,29.997847,29.997847
0.0033,0.5000,0.875808,0.923807,0.293902,47.3730,42.3633,29.996770,29.996770,29.996770
0.0044,0.5000,0.875808,0.923807,0.293902,47.4609,42.3633,29.995694,29.995694,29.995694
0.0055,0.5000,0.875808,0.923807,0.293902,47.4609,42.3633,29.994617,29.994617,29.994617
0.0066,0.5000,0.875808,0.923807,0.293902,47.4609,42.3633,29.993540,29.993540,29.993540
0.0077,0.5000,0.875808,0.923807,0.293902,47.5488,42.3633,29.992464,29.992464,29.992464
0.0088,0.5000,0.875808,0.923807,0.293902,47.5488,42.3633,29.991387,29.991387,29.991387
0.0100,0.5000,0.875808,0.923807,0.293902,47.7246,42.3633,29.990310,29.990310,29.990310
0.0111,0.5000,0.875808,0.923807,0.293902,47.8125,42.3633,29.989234,29.989234,29.989234
0.0122,0.5000,0.875808,0.923807,0.293902,47.9004,42.3633,29.988157,29.988157,29.988157
0.0133,0.5000,0.875808,0.923807,0.293902,47.9883,42.3633,29.987081,29.987081,29.987081
0.0144,0.5000,0.875808,0.923807,0.293902,48.0762,42.3633,29.986004,29.986004,29.986004
0.0155,0.5000,0.875808,0.923807,0.293902,48.1641,42.3633,29.984927,29.984927,29.984927
0.0166,0.5000,0.875808,0.923807,0.293902,48.2520,42.3633,29.983851,29.983851,29.983851
0.0177,0.5000,0.875808,0.923807,0.293902,48.4277,42.3633,29.982774,29.982774,29.982774
0.0189,0.5000,0.875499,0.923303,0.293238,48.5156,42.3633,29.981698,29.981698,29.981698
0.0200,0.5000,0.875499,0.923303,0.293238,48.6914,42.4512,29.980623,29.980623,29.980623
0.0211,0.5000,0.875499,0.923303,0.293238,48.7793,42.4512,29.979547,29.979547,29.979547
0.0222,0.5000,0.875499,0.923303,0.293238,48.9551,42.4512,29.978471,29.978471,29.978471
0.0233,0.5000,0.875499,0.923303,0.293238,49.0430,42.5391,29.977396,29.977396,29.977396
0.0248,0.5000,0.875499,0.923303,0.293238,49.1309,42.6270,29.976320,29.976320,29.976320
0.0257,0.5000,0.875499,0.923303,0.293238,49.2188,42.7148,29.975244,29.975244,29.975244
0.0269,0.5000,0.875499,0.923303,0.293238,49.3066,42.7148,29.974168,29.974168,29.974168
0.0278,0.5000,0.875499,0.923303,0.293238,49.3945,42.8027,29.973093,29.973093,29.973093
0.0289,0.5000,0.875499,0.923303,0.293238,49.4824,42.8906,29.972017,29.972017,29.972017
0.0301,0.5000,0.875499,0.923303,0.293238,49.6582,43.0664,29.970941,29.970941,29.970941
0.0311,0.5000,0.875499,0.923303,0.293238,49.7461,43.2422,29.969865,29.969865,29.969865
0.0322,0.5000,0.875499,0.923303,0.293238,49.8340,43.3301,29.968790,29.968790,29.968790
0.0333,0.5000,0.875499,0.923303,0.293238,49.9219,43.3301,29.967714,29.967714,29.967714
0.0344,0.5000,0.875499,0.923303,0.293238,50.0098,43.5059,29.966638,29.966638,29.966638
0.0355,0.5000,0.875499,0.923303,0.293238,50.0098,43.5937,29.965563,29.965563,29.965563
