Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm
0.0008,descent,0.4367,-0.1547,23.3789,30.5859,-45.3420,32.9760,0.013058,0.011871,0.084991,0.000009,10.00
0.0018,descent,0.4367,-0.1547,23.2910,30.4980,-45.3420,28.8540,0.013179,0.012156,0.084991,0.000009,10.00
0.0029,descent,0.4367,-0.1547,23.2031,30.4980,-43.9680,26.1060,0.013210,0.012308,0.084996,0.000004,10.00
0.0040,descent,0.4367,-0.1547,23.1152,30.4980,-45.3420,24.7320,0.013300,0.012434,0.084995,0.000005,10.00
0.0051,descent,0.4367,-0.1547,23.1152,30.4980,-45.3420,20.6100,0.013376,0.012665,0.084995,0.000005,10.00
0.0062,descent,0.4367,-0.1547,23.0273,30.4980,-45.3420,20.6100,0.013399,0.012688,0.084999,0.000001,10.00
0.0073,descent,0.4367,-0.1547,23.0273,30.4980,-45.3420,17.8620,0.013449,0.012842,0.084999,0.000001,10.00
0.0085,descent,0.4367,-0.1547,22.9395,30.4980,-45.3420,16.4880,0.013497,0.012943,0.084993,0.000007,10.00
0.0096,descent,0.4367,-0.1547,22.8516,30.4980,-45.3420,15.1140,0.013545,0.013044,0.084993,0.000007,10.00
0.0107,descent,0.4367,-0.1547,22.8516,30.4102,-45.3420,12.3660,0.013620,0.013230,0.084979,0.000021,10.00
0.0118,descent,0.4367,-0.1547,22.7637,30.4102,-46.7160,9.6180,0.013737,0.013434,0.084979,0.000021,10.00
0.0129,descent,0.4367,-0.1547,22.6758,30.4102,-46.7160,8.2440,0.013785,0.013535,0.084974,0.000026,10.00
0.0140,descent,0.4367,-0.1547,22.6758,30.4102,-46.7160,8.2440,0.013785,0.013535,0.084995,0.000005,10.00
0.0151,descent,0.4367,-0.1547,22.6758,30.4102,-46.7160,6.8700,0.013810,0.013612,0.084995,0.000005,10.00
