Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_task_Nm,Param,Mode
0.0010,descent,0.5216,82.8809,15.8203,79.6920,2.7480,0.003502,-0.020110,0.084980,0.000020,55.000000,0,sigmoid
0.0015,descent,0.5216,82.8809,15.8203,79.6920,1.3740,0.003603,-0.110059,0.084976,0.000024,55.000000,0,sigmoid
0.0027,descent,0.5216,82.8809,15.7324,75.5700,-2.7480,0.004496,-0.019172,0.084976,0.000024,55.000000,0,sigmoid
0.0038,descent,0.5216,82.8809,15.7324,74.1960,-4.1220,0.004730,-0.004091,0.084985,0.000015,55.000000,0,sigmoid
0.0048,descent,0.5216,82.9688,15.7324,72.8220,-5.4960,0.004779,-0.003460,0.084985,0.000015,55.000000,0,sigmoid
0.0059,descent,0.5216,82.9688,15.6445,70.0740,-6.8700,0.005337,-0.002893,0.084994,0.000006,55.000000,0,sigmoid
0.0070,descent,0.5216,82.9688,15.6445,68.7000,-8.2440,0.005571,-0.002700,0.084994,0.000006,55.000000,0,sigmoid
0.0081,descent,0.5216,82.9688,15.5566,65.9520,-10.9920,0.006230,-0.002047,0.084992,0.000008,55.000000,0,sigmoid
0.0093,descent,0.5216,82.9688,15.4687,61.8300,-13.7400,0.007023,-0.001294,0.084992,0.000008,55.000000,0,sigmoid
0.0103,descent,0.5216,82.9688,15.4687,59.0820,-15.1140,0.007391,-0.001000,0.084979,0.000021,55.000000,0,sigmoid
0.0114,descent,0.5343,82.9688,15.4687,56.3340,-15.1140,0.007658,-0.000798,0.084992,0.000008,55.000000,0,sigmoid
0.0126,descent,0.5343,82.9688,15.4687,53.5860,-16.4880,0.008026,-0.000504,0.084992,0.000008,55.000000,0,sigmoid
0.0137,descent,0.5343,82.9688,15.3809,50.8380,-17.8620,0.008585,0.000056,0.084988,0.000012,55.000000,0,sigmoid
0.0148,descent,0.5343,82.9688,15.3809,49.4640,-17.8620,0.008719,0.000157,0.084988,0.000012,55.000000,0,sigmoid
0.0159,descent,0.5343,82.9688,15.2930,46.7160,-19.2360,0.009278,0.000718,0.084995,0.000005,55.000000,0,sigmoid
0.0171,descent,0.5343,82.8809,15.2930,42.5940,-20.6100,0.009965,0.001304,0.084995,0.000005,55.000000,0,sigmoid
0.0181,descent,0.5343,82.8809,15.2051,39.8460,-21.9840,0.010524,0.001865,0.084976,0.000024,55.000000,0,sigmoid
0.0193,descent,0.5343,82.8809,15.1172,35.7240,-23.3580,0.011217,0.002527,0.084986,0.000014,55.000000,0,sigmoid
0.0203,descent,0.5343,82.8809,15.1172,32.9760,-24.7320,0.011585,0.002821,0.084986,0.000014,55.000000,0,sigmoid
0.0215,descent,0.5343,82.8809,15.0293,30.2280,-26.1060,0.012145,0.003382,0.084995,0.000005,55.000000,0,sigmoid
0.0226,descent,0.5343,82.7930,15.0293,27.4800,-26.1060,0.012597,0.003775,0.084995,0.000005,55.000000,0,sigmoid
0.0237,descent,0.5343,82.7930,14.9414,24.7320,-27.4800,0.013157,0.004336,0.084964,0.000036,55.000000,0,sigmoid
0.0248,descent,0.5343,82.7930,14.9414,21.9840,-27.4800,0.013424,0.004538,0.084964,0.000036,55.000000,0,sigmoid
0.0259,descent,0.5343,82.7930,14.8535,19.2360,-28.8540,0.013984,0.005100,0.084976,0.000024,55.000000,0,sigmoid
0.0271,descent,0.5343,82.7930,14.8535,17.8620,-30.2280,0.014219,0.005293,0.084976,0.000024,55.000000,0,sigmoid
0.0281,descent,0.5343,82.7051,14.8535,15.1140,-30.2280,0.014672,0.005686,0.084993,0.000007,55.000000,0,sigmoid
0.0293,descent,0.5343,82.7051,14.7656,10.9920,-31.6020,0.015365,0.006349,0.084993,0.000007,55.000000,0,sigmoid
0.0303,descent,0.5343,82.6172,14.6777,8.2440,-32.9760,0.016111,0.007102,0.084976,0.000024,55.000000,0,sigmoid
0.0314,descent,0.5343,82.6172,14.5898,5.4960,-32.9760,0.016578,0.007572,0.084974,0.000026,55.000000,0,sigmoid
