Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_displacement_m,Press_type,Angle_deg
0.0008,descent,1.1443,0.6054,97.4707,53.4375,46.7160,20.6100,0.037998,0.038217,-0.000016,vertical,-60
0.0019,descent,1.1443,0.6054,97.4707,53.3496,45.3420,17.8620,0.038278,0.038589,-0.000000,vertical,-60
0.0030,descent,1.1443,0.6054,97.4707,53.3496,43.9680,15.1140,0.038375,0.038774,-0.000000,vertical,-60
0.0041,descent,1.1443,0.6054,97.3828,53.3496,41.2200,12.3660,0.038703,0.039168,-0.000004,vertical,-60
0.0052,descent,1.1443,0.6054,97.3828,53.3496,39.8460,9.6180,0.038800,0.039352,-0.000004,vertical,-60
0.0063,descent,1.1443,0.6054,97.3828,53.3496,37.0980,6.8700,0.038941,0.039563,0.000018,vertical,-60
0.0074,descent,1.1443,0.6054,97.3828,53.3496,34.3500,4.1220,0.039082,0.040410,0.000018,vertical,-60
0.0085,descent,1.1443,0.6054,97.2949,53.2617,28.8540,0.0000,0.039709,0.240492,0.000007,vertical,-60
0.0096,descent,1.1443,0.6054,97.2949,53.1738,26.1060,-2.7480,0.040035,0.056418,0.000007,vertical,-60
0.0107,descent,1.1443,0.6054,97.2949,53.1738,23.3580,-5.4960,0.040176,0.041113,0.000009,vertical,-60
0.0119,descent,1.1443,0.6054,97.2949,53.1738,20.6100,-6.8700,0.040291,0.041238,0.000009,vertical,-60
0.0132,descent,1.1443,0.6054,97.2070,53.0859,17.8620,-9.6180,0.040805,0.041827,0.000002,vertical,-60
0.0141,descent,1.1443,0.6054,97.2070,53.0859,15.1140,-10.9920,0.040919,0.041959,0.000005,vertical,-60
0.0153,descent,1.1443,0.6054,97.2070,52.9980,12.3660,-12.3660,0.041220,0.042285,0.000005,vertical,-60
0.0163,descent,1.1443,0.6054,97.2070,52.9980,10.9920,-15.1140,0.041318,0.042470,-0.000003,vertical,-60
0.0174,descent,1.1443,0.6054,97.1191,52.9980,8.2440,-16.4880,0.041620,0.042789,-0.000003,vertical,-60
0.0185,descent,1.1443,0.6054,97.1191,52.9102,2.7480,-17.8620,0.057534,0.043170,0.000011,vertical,-60
0.0196,descent,1.1443,0.6054,97.0312,52.9102,0.0000,-19.2360,0.242312,0.043490,0.000011,vertical,-60
0.0207,descent,1.1443,0.6054,97.0312,52.8223,-1.3740,-20.6100,0.148137,0.043791,0.000012,vertical,-60
0.0219,descent,1.1443,0.6054,97.0312,52.8223,-4.1220,-21.9840,0.043322,0.043924,0.000013,vertical,-60
0.0230,descent,1.1443,0.6054,97.0312,52.8223,-5.4960,-21.9840,0.042737,0.043951,0.000013,vertical,-60
0.0241,descent,1.1443,0.6054,96.9434,52.7344,-6.8700,-23.3580,0.043177,0.044441,0.000021,vertical,-60
0.0252,descent,1.1443,0.6054,96.9434,52.7344,-8.2440,-23.3580,0.043221,0.044468,0.000021,vertical,-60
0.0264,descent,1.1443,0.6054,96.9434,52.7344,-9.6180,-24.7320,0.043292,0.044574,0.000017,vertical,-60
0.0274,descent,1.1443,0.6054,96.9434,52.6465,-10.9920,-24.7320,0.043524,0.044798,0.000017,vertical,-60
0.0285,descent,1.1443,0.6054,96.8555,52.6465,-13.7400,-26.1060,0.043828,0.045120,0.000022,vertical,-60
0.0300,descent,1.1443,0.6054,96.8555,52.6465,-13.7400,-26.1060,0.043828,0.045120,0.000022,vertical,-60
0.0309,descent,1.1443,0.6054,96.8555,52.5586,-15.1140,-26.1060,0.044061,0.045344,0.000017,vertical,-60
0.0319,descent,1.1443,0.6054,96.8555,52.5586,-15.1140,-27.4800,0.044088,0.045424,0.000011,vertical,-60
