Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_d_Nmrad,Alpha
0.0008,descent,1.3416,47.4609,43.7695,-23.3580,0.0000,0.001733,0.205090,0.084990,0.000010,0.134170,2.0
0.0018,descent,1.3416,47.4609,43.7695,-23.3580,0.0000,0.001733,0.205090,0.084988,0.000012,0.134170,2.0
0.0029,descent,1.3416,47.4609,43.7695,-21.9840,0.0000,0.001718,0.205090,0.084988,0.000012,0.134170,2.0
0.0040,descent,1.3416,47.4609,43.7695,-21.9840,0.0000,0.001718,0.205090,0.084994,0.000006,0.134170,2.0
0.0051,descent,1.3416,47.3730,43.7695,-21.9840,0.0000,0.001755,0.205086,0.084991,0.000009,0.134170,2.0
0.0062,descent,1.3416,47.3730,43.7695,-21.9840,0.0000,0.001755,0.205086,0.084991,0.000009,0.134170,2.0
0.0073,descent,1.3416,47.3730,43.7695,-21.9840,0.0000,0.001755,0.205086,0.084991,0.000009,0.134170,2.0
0.0085,descent,1.3416,47.3730,43.7695,-20.6100,0.0000,0.001741,0.205086,0.084991,0.000009,0.134170,2.0
0.0096,descent,1.3416,47.2852,43.8574,-20.6100,1.3740,0.001782,0.110447,0.084995,0.000005,0.134170,2.0
0.0108,descent,1.3416,47.2852,43.8574,-20.6100,1.3740,0.001782,0.110447,0.084995,0.000005,0.134170,2.0
0.0118,descent,1.3416,47.2852,43.9453,-20.6100,2.7480,0.001787,0.020204,0.084985,0.000015,0.134170,2.0
0.0129,descent,1.3416,47.1973,43.9453,-20.6100,2.7480,0.001824,0.020199,0.084985,0.000015,0.134170,2.0
0.0140,descent,1.3416,47.1973,43.9453,-20.6100,2.7480,0.001824,0.020199,0.084992,0.000008,0.134170,2.0
0.0151,descent,1.3416,47.1973,44.0332,-20.6100,4.1220,0.001829,0.005110,0.084995,0.000005,0.134170,2.0
0.0162,descent,1.3416,47.1973,44.1211,-20.6100,5.4960,0.001833,0.004281,0.084995,0.000005,0.134170,2.0
0.0174,descent,1.3416,47.1094,44.1211,-20.6100,6.8700,0.001870,0.004214,0.084996,0.000004,0.134170,2.0
0.0185,descent,1.3416,47.1094,44.2090,-20.6100,6.8700,0.001875,0.004068,0.084996,0.000004,0.134170,2.0
0.0196,descent,1.3416,47.1094,44.2090,-20.6100,6.8700,0.001875,0.004068,0.084992,0.000008,0.134170,2.0
